stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1644,"Jagatpur Industrial Area, Cuttack",Groundwater,ODISHA,2017,Safe,0.84,None,26.0,,7.75,473.0,0.3,2.0,2.0,2.0,
1645,"Madhupatna- Kalyan Nagar Area, Cuttack",Groundwater,ODISHA,2017,Safe,1.12,None,29.0,,8.3,576.0,0.4,2.0,2.0,0.17,
1646,"Bidanashi - Tulasipur Area, Cuttack",Groundwater,ODISHA,2017,Safe,0.98,None,26.0,,8.0,177.0,0.35,2.0,2.0,1.6,
1647,"Badambari Area, Cuttack",Groundwater,ODISHA,2017,Safe,2.79,None,25.5,,8.0,483.0,1.0,2.0,2.0,0.655,
1648,"Ranihat- Mangalabagh Area, Cuttack",Groundwater,ODISHA,2017,Safe,0.99,None,26.5,,8.1,377.5,0.35,3.0,3.0,5.43,
1649,"Khandagiri Area, Bhubaneswar",Groundwater,ODISHA,2017,Safe,4.18,None,29.0,,7.3,570.0,1.5,2.0,2.0,3.35,
1650,"Capital Hospital Area, Bhubaneswar",Groundwater,ODISHA,2017,Safe,0.57,None,29.5,,7.15,260.5,0.2,2.0,2.0,3.31,
1651,"Old Town- Samantaraaipur Area, Bhubaneswar",Groundwater,ODISHA,2017,Unsafe,11.53,High Fecal Coliform,28.5,,7.45,605.0,0.9,100.0,1805.0,2.68,
1652,"Kalpna - Laxminagar Area, Bhubaneswar",Groundwater,ODISHA,2017,Unsafe,3.96,pH Out of Range,29.0,,5.8,102.5,0.45,2.0,2.0,4.73,
1654,"Secretariat- Governor House- Oldbus Stand Area, Bhubaneswar",Groundwater,ODISHA,2017,Safe,0.85,None,26.0,,6.9,209.0,0.3,2.0,2.0,3.27,
1655,"Near Sea Beach, Puri",Groundwater,ODISHA,2017,Safe,1.03,None,27.5,,7.5,10543.5,0.35,2.0,12.5,0.36,
1656,"Near Jagannath Temple, Puri",Groundwater,ODISHA,2017,Safe,2.42,None,27.0,,7.7,1197.5,0.75,2.0,66.0,7.275,
1658,"Near River Kushabhadra, Puri, Orissa",Groundwater,ODISHA,2017,Unsafe,28.0,High Fecal Coliform,28.0,,8.15,386.0,1.8,100.0,4601.0,0.93,
3964,"Near Mkcg Medical College, Berhampur",Groundwater,ODISHA,2017,Unsafe,5.75,High Fecal Coliform,26.5,,8.05,664.0,0.6,100.0,816.5,0.295,
3965,"Near Bus Stand, Berhampur",Groundwater,ODISHA,2017,Safe,2.55,None,26.5,,8.0,1111.5,0.6,9.5,176.0,2.165,
3966,"Near Badabazar, Berhampur",Groundwater,ODISHA,2017,Safe,1.34,None,28.0,,7.55,1224.5,0.4,6.5,45.0,7.065,
3967,"Near Railway Station Stand, Berhampur",Groundwater,ODISHA,2017,Safe,2.31,None,26.5,,7.65,1444.5,0.7,71.0,71.0,13.765,
3969,"Near Railway Station, Sambalpur",Groundwater,ODISHA,2017,Safe,1.12,None,30.0,,7.8,359.0,0.4,2.0,2.0,3.78,
3971,Angul Township,Groundwater,ODISHA,2017,Safe,1.28,None,27.5,,7.6,1371.0,0.45,3.5,3.5,15.245,
3972,"Nalco Township, Talcher",Groundwater,ODISHA,2017,Safe,0.98,None,28.0,,8.05,423.0,0.35,2.0,2.0,0.685,
3973,"Mahanadi Coal Field Area, Talcher",Groundwater,ODISHA,2017,Safe,3.62,None,27.0,,7.7,645.0,1.3,2.0,2.0,4.625,
3974,"Kaniha, Talcher",Groundwater,ODISHA,2017,Safe,1.54,None,27.5,,8.05,387.0,0.55,2.0,2.0,0.235,
3975,Talcher Town,Groundwater,ODISHA,2017,Safe,1.82,None,28.0,,7.8,762.0,0.65,2.0,2.0,5.29,
3976,"Meramundali Area, Talcher",Groundwater,ODISHA,2017,Safe,1.18,None,28.0,,8.3,737.5,0.35,2.0,40.5,2.8,
2437,Chilka Lake (Ramsar Site),Pond/Tank,ODISHA,2017,Unsafe,22.16,"High BOD, High Total Coliform",,27.5,6.8,7.85,500.0,1.75,1.04,2701.0,4601.0
2438,Anshupa,Pond/Tank,ODISHA,2017,Unsafe,31.8,"pH Out of Range, High BOD, High Total Coliform",,27.5,9.35,7.85,238.0,2.25,2.12,12245.0,18050.0
3953,Chilka At Rambha,Pond/Tank,ODISHA,2017,Unsafe,22.16,"High BOD, High Total Coliform",,21.0,7.5,8.0,500.0,1.45,0.88,2701.0,2701.0
3954,Tampada Lake At Chhatrapur,Pond/Tank,ODISHA,2017,Unsafe,25.23,"pH Out of Range, High BOD, High Total Coliform",,23.0,6.0,8.0,500.0,7.25,2.305,4601.0,8039.0
3955,Anshupa At Subaranapur,Pond/Tank,ODISHA,2017,Unsafe,24.44,"High BOD, High Total Coliform",,28.0,6.95,7.85,208.5,2.35,2.23,5539.0,9050.0
3956,Anshupa At Bishnupur,Pond/Tank,ODISHA,2017,Unsafe,22.32,"High BOD, High Total Coliform",,28.0,6.95,7.8,159.5,2.15,1.52,2895.0,7150.0
3957,Anshupa At Saraandagarh,Pond/Tank,ODISHA,2017,Unsafe,25.8,"High BOD, High Total Coliform",,27.5,6.75,7.85,187.5,2.15,1.325,7245.0,12200.0
2431,Bindusagar ( Religious Pond Of Bhubaneswar City),Pond/Tank,ODISHA,2017,Unsafe,41.86,"pH Out of Range, High BOD, High Total Coliform",,30.0,5.9,8.05,447.5,3.9,3.33,80850.0,81400.0
2433,Markanda Pokhari ( Riligious Pond Of Puri City),Canal,ODISHA,2017,Unsafe,36.55,"pH Out of Range, High BOD, High Total Coliform",,27.0,12.8,8.35,500.0,8.7,4.59,8022.5,12085.0
2434,Indradyumna Tank ( Riligious Pond Of Puri City),Canal,ODISHA,2017,Unsafe,35.62,"pH Out of Range, High BOD, High Total Coliform",,27.0,11.05,8.1,500.0,8.4,3.07,12010.0,27055.0
2435,Swetaganga ( Riligious Pond Of Puri City),Canal,ODISHA,2017,Unsafe,27.48,"pH Out of Range, High BOD, High Total Coliform",,25.5,9.8,7.9,500.0,6.85,4.125,5504.0,17511.5
2436,Parvati Sagar ( Riligious Pond Of Puri City),Canal,ODISHA,2017,Unsafe,29.2,"pH Out of Range, High BOD, High Total Coliform",,27.0,10.8,7.85,500.0,8.3,2.445,4722.5,8565.0
3962,Jagannath Sagar Pond Of Jeypore,Canal,ODISHA,2017,Unsafe,25.21,"High BOD, High Total Coliform",,27.0,6.5,7.6,325.5,4.05,3.39,6501.0,17615.0
3963,Raniguda Pond,Canal,ODISHA,2017,Unsafe,30.77,"pH Out of Range, High BOD, High Total Coliform",,25.0,10.35,7.9,500.0,19.35,3.295,8001.0,8010.0
GEN-BB7024,3950,Coastal,ODISHA,2017,Unsafe,33.49,High BOD,,,,,28.0,19.05,7.45,83.2,120.0
GEN-AF8D9C,3952,Coastal,ODISHA,2017,Unsafe,33.5,High BOD,,,,,27.0,17.95,7.9,85.75,119.95
GEN-BF5CD8,3958,Coastal,ODISHA,2017,Unsafe,33.52,High BOD,,,,,26.0,17.55,11.4,80.15,112.65
