stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1644,"JAGATPUR INDUSTRIAL AREA, CUTTACK",Groundwater,ODISHA,2018,26.5,,8.1,754.0,0.25,8.2,2.0,2.0,,,,
,1645,Groundwater,ODISHA,2018,,,,,25.0,18.0,195.1,217.65,,0.3,1.65,2.0
,1646,Groundwater,ODISHA,2018,,,,,25.0,17.45,80.5,87.7,,0.4,1.7,2.0
,1647,Groundwater,ODISHA,2018,,,,,24.0,17.85,113.2,201.8,,0.65,1.6,2.0
,1648,Groundwater,ODISHA,2018,,,,,25.0,17.9,112.7,162.15,,0.4,1.95,6.0
,1649,Groundwater,ODISHA,2018,,,,,26.0,16.7,194.7,312.2,,1.1,3.4,2.0
,1650,Groundwater,ODISHA,2018,,,,,26.0,18.1,48.85,131.65,,0.7,2.35,66.0
,1652,Groundwater,ODISHA,2018,,,,,27.0,16.4,141.4,312.2,,2.0,3.3,2.0
,1655,Groundwater,ODISHA,2018,,,,,22.0,17.55,1244.1,9255.1,,1.9,3.65,2.0
,1656,Groundwater,ODISHA,2018,,,,,23.0,17.5,510.65,525.6,,0.55,6.6,2.0
,1658,Groundwater,ODISHA,2018,,,,,23.0,17.0,171.7,297.3,,0.55,1.75,2.0
,3964,Groundwater,ODISHA,2018,,,,,22.0,16.9,136.05,427.15,,0.4,1.65,471.0
,3965,Groundwater,ODISHA,2018,,,,,22.0,14.85,545.35,616.2,,0.35,1.9,2.0
,3966,Groundwater,ODISHA,2018,,,,,18.0,13.7,455.95,719.75,,0.35,11.35,2.0
,3967,Groundwater,ODISHA,2018,,,,,20.0,16.7,490.45,772.7,,0.6,4.8,2.0
,3969,Groundwater,ODISHA,2018,,,,,27.0,17.75,586.05,634.1,,3.1,4.55,2.0
,3971,Groundwater,ODISHA,2018,,,,,26.0,17.15,563.9,568.15,,1.5,4.9,3.5
,3973,Pond/Tank,ODISHA,2018,,,,24.0,16.65,201.5,285.6,0.7,1.75,,,
,3974,Pond/Tank,ODISHA,2018,,,,26.0,17.3,261.75,269.1,0.6,1.55,,,
,3975,Pond/Tank,ODISHA,2018,,,,26.0,17.0,467.7,494.6,2.5,5.85,,,
,3976,Pond/Tank,ODISHA,2018,,,,26.0,16.9,464.05,518.65,1.35,3.25,,,
,3977,Pond/Tank,ODISHA,2018,,,,26.0,16.65,695.45,823.1,0.5,1.6,,,
,3978,Pond/Tank,ODISHA,2018,,,,23.0,16.7,454.45,496.6,0.25,3.55,,,
,3979,Pond/Tank,ODISHA,2018,,,,26.0,16.95,309.75,368.15,0.4,5.7,,,
,3980,Pond/Tank,ODISHA,2018,,,,18.0,14.25,76.3,257.65,0.4,4.9,,,
,3981,Pond/Tank,ODISHA,2018,,,,18.0,14.55,103.05,157.1,0.4,2.7,,,
,3982,Pond/Tank,ODISHA,2018,,,,18.0,14.05,10.0,94.65,1.95,2.95,,,
,3983,Pond/Tank,ODISHA,2018,,,,17.0,13.45,82.4,88.05,2.05,4.25,,,
,3984,Pond/Tank,ODISHA,2018,,,,17.0,15.25,72.95,162.6,0.45,2.85,,,
,3985,Pond/Tank,ODISHA,2018,,,,17.0,16.3,97.55,164.75,1.0,1.3,,,
,3986,Pond/Tank,ODISHA,2018,,,,17.0,15.35,151.1,166.7,0.4,1.3,,,
,3987,Pond/Tank,ODISHA,2018,,,,17.0,15.95,92.45,352.7,0.5,1.3,,,
,3988,Pond/Tank,ODISHA,2018,,,,26.0,18.9,972.45,969.7,0.95,2.05,,,
,3989,Pond/Tank,ODISHA,2018,,,,26.0,18.35,686.4,1480.8,2.0,3.05,,,
,3990,Pond/Tank,ODISHA,2018,,,,23.0,15.9,146.65,156.15,2.1,2.85,,,
,3991,Pond/Tank,ODISHA,2018,,,,22.0,15.5,132.0,149.1,1.55,3.0,,,
,3992,Pond/Tank,ODISHA,2018,,,,23.0,15.25,120.85,117.1,0.35,1.55,,,
,3993,Pond/Tank,ODISHA,2018,,,,21.0,14.75,75.05,245.65,7.45,1.7,,,
,3994,Pond/Tank,ODISHA,2018,,,,24.0,16.4,173.55,229.65,1.4,1.8,,,
,3995,Pond/Tank,ODISHA,2018,,,,24.0,16.8,130.8,172.25,0.4,1.25,,,
,3996,Pond/Tank,ODISHA,2018,,,,24.0,16.5,69.55,91.1,0.4,1.8,,,
,2437,Pond/Tank,ODISHA,2018,,,,,,24.0,,32.0,5.1,,,
,2438,Pond/Tank,ODISHA,2018,,,,,,23.0,,32.0,5.4,,,
,3953,Pond/Tank,ODISHA,2018,,,,,,11.0,,26.0,6.2,,,
,3955,Pond/Tank,ODISHA,2018,,,,,,23.0,,32.0,6.3,,,
,3956,Pond/Tank,ODISHA,2018,,,,,,22.0,,32.0,3.4,,,
,3957,Pond/Tank,ODISHA,2018,,,,,,23.0,,32.0,4.8,,,
,3963,Pond/Tank,ODISHA,2018,,,,,,21.0,,34.0,2.3,,,
1455,"RUSHIKULYA AT GANJAM U/S, ORISSA",River,ODISHA,2018,18.0,8.35,7.9,1132.5,1.6,3.9,1751.0,2151.0,,,,
1456,"RUSHIKULYA AT GANJAM D/S, ORISSA",River,ODISHA,2018,18.0,8.45,7.95,17228.0,2.0,0.87,851.0,1751.0,,,,
1642,"NAGAVALLI AT JAYKAYPUR D/S, ORISSA",River,ODISHA,2018,24.5,6.65,7.55,1289.0,1.8,0.825,1835.0,8350.0,,,,
1643,"NAGAVALLI AT RAYAGADA D/S, ORISSA",River,ODISHA,2018,22.0,7.3,7.5,309.5,1.3,1.52,872.5,1835.0,,,,
2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",River,ODISHA,2018,22.5,8.2,7.65,218.5,1.1,0.49,17600.0,27340.0,,,,
2425,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL,",River,ODISHA,2018,19.0,4.05,7.6,219.5,0.85,0.775,1210.0,1789.0,,,,
2426,MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),River,ODISHA,2018,25.5,7.3,7.5,232.5,1.0,2.205,360.0,860.0,,,,
2427,GUNUPUR (INTERSTATE BOUNDRY),River,ODISHA,2018,24.0,7.6,7.5,198.0,0.9,0.645,1210.0,1760.0,,,,
GURADIH NALLAH AT PANPOSH,ODISHA,River,ODISHA,2018,26.0,4.4,7.7,416.0,6.8,3.708,7900.0,17000.0,,,,
