stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1397,WELL AT MUTHIALPET AREA(I),Groundwater,PUDUCHERRY,2016,30.5,,7.4,291.0,,6.8,,,,,,
1398,"WELL AT THENGAITHITTU AREA, (II)",Groundwater,PUDUCHERRY,2016,31.0,,7.3,1237.5,,0.0,,,,,,
1453,WELL AT MUTHARAPLATYAM (PWD),Groundwater,PUDUCHERRY,2016,31.0,,7.3,468.0,,3.85,,,,,,
1454,"WELL AT KALAPET, PONDI. UNIVER. ADMN. BLOCK",Groundwater,PUDUCHERRY,2016,31.0,,7.35,170.0,,1.1,,,,,,
1687,NEHRU STATUE,Groundwater,PUDUCHERRY,2016,28.0,,7.2,1323.0,,1.35,4.0,17.0,,,,
1688,KATTERIKUPPAM,Groundwater,PUDUCHERRY,2016,30.0,,7.25,510.0,,1.15,,,,,,
1689,"CHUNMBAR RIVER, PONDICHERRY",Groundwater,PUDUCHERRY,2016,28.5,,7.55,805.0,5.5,0.05,130.0,180.5,,,,
2009,KURUMBAPET,Groundwater,PUDUCHERRY,2016,31.5,,7.1,482.0,,5.35,,,,,,
2010,METTUPALAYAM,Groundwater,PUDUCHERRY,2016,30.5,,7.25,662.5,,4.5,,,,,,
2011,URUVAIYAR,Groundwater,PUDUCHERRY,2016,30.5,,7.15,4005.0,,0.0,,,,,,
2012,KARUVADIKUPPAM,Groundwater,PUDUCHERRY,2016,30.5,,7.0,1867.0,,1.35,,13.0,,,,
2013,"T.R.PATTINAM, KARAIKAL",Groundwater,PUDUCHERRY,2016,27.5,,7.55,1498.5,,1.1,,,,,,
2014,"VADAMATTAM, KARAIKAL",Groundwater,PUDUCHERRY,2016,27.25,,7.65,1312.5,,0.35,,,,,,
2446,PALLUR,Groundwater,PUDUCHERRY,2016,27.0,,7.5,220.0,,8.9,,,,,,
2447,PANTHAKKAL,Groundwater,PUDUCHERRY,2016,27.0,,7.2,105.0,,1.5,,,,,,
1685,"ARASALAR KARAIKAL REGION, PONDICHERRY",River,PUDUCHERRY,2016,25.5,9.8,8.15,6.0,0.05,,,,,,,
2442,GAUTAMI-GODAVARI,River,PUDUCHERRY,2016,26.0,6.3,8.0,0.0,0.1,,,,,,,
2445,MAHE,River,PUDUCHERRY,2016,27.0,6.6,7.3,2.0,1.1,,,,,,,
1396,OSTERI LAKE,Pond/Tank,PUDUCHERRY,2016,,29.5,7.3,7.3,235.0,6.75,0.2,110.0,258.5,,,
1686,BAHOUR LAKE,Pond/Tank,PUDUCHERRY,2016,,30.0,6.05,7.5,519.0,2.0,0.0,170.0,350.0,,,
