stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1898,"PETROL PUMP OPP. HERO CYCLE, LUDHIANA",Groundwater,PUNJAB,2017,17.0,,7.3,1139.5,0.0,2.0,2.0,2.0,,8.5,,
1899,"BHAGWAN SINGH, H.NO.907, DASMESH NAGAR, GALI NO. 6, LUDHIANA",Groundwater,PUNJAB,2017,,,7.55,753.0,0.0,2.0,2.0,7.785,,,,
1901,"DUSSHERA GROUND INDUSTRIAL ESTATE, LUDHIANA",Groundwater,PUNJAB,2017,30.0,,7.85,766.5,0.0,2.0,2.0,9.85,,,,
1902,"SHUKLA TEA STAL POINT, LUDHIANA",Groundwater,PUNJAB,2017,16.0,,6.65,1433.0,0.0,2.0,2.0,3.76,,,,
1903,"PUNJAB AGRICULTUREAL UNIVERSITY, LUDHIANA",Groundwater,PUNJAB,2017,,,7.45,727.5,0.0,2.0,2.0,3.9,,,,
2916,"NEAR LANDFILL SITE, AMRITSAR, PUNJAB",Groundwater,PUNJAB,2017,,,7.35,860.0,0.0,2.0,2.0,2.2,,,,
2917,"NEAR HARMANDIR SAHEB, AMRITSAR, PUNJAB",Groundwater,PUNJAB,2017,,,7.3,1239.0,0.0,2.0,2.0,5.65,,,,
2918,"DERA BASSI, PUNJAB",Groundwater,PUNJAB,2017,,,7.15,2779.0,0.0,2.0,2.0,10.45,,,,
2919,"DERA BASSI, PUNJAB",Groundwater,PUNJAB,2017,,,7.2,2796.5,0.0,2.0,2.0,12.05,,,,
2920,"HAMIRA VILLAGE, PUNJAB",Groundwater,PUNJAB,2017,,,7.3,964.0,0.0,2.0,2.0,1.7,,,,
2921,"HAMIRA VILLAGE, PUNJAB",Groundwater,PUNJAB,2017,,,7.65,536.0,0.0,2.0,2.0,3.8,,,,
2922,"LEATHER COMPLEX, JALANDHAR, PUNJAB",Groundwater,PUNJAB,2017,,,7.4,1944.5,0.0,2.0,2.0,4.8,,,,
2923,"LEATHER COMPLEX, JALANDHAR, PUNJAB",Groundwater,PUNJAB,2017,,,7.2,1759.5,0.0,2.0,2.0,5.15,,,,
2924,"MANDI GOBINDGARH, PUNJAB",Groundwater,PUNJAB,2017,23.0,,8.0,925.0,0.0,2.0,2.0,5.05,,,,
2925,"MANDI GOBINDGARH, PUNJAB",Groundwater,PUNJAB,2017,23.0,,7.6,1802.0,0.0,2.0,2.0,3.15,,,,
2926,"NANGAL, PUNJAB",Groundwater,PUNJAB,2017,29.0,,7.05,1237.5,0.0,2.0,2.0,9.2,,,,
2927,"NANGAL, PUNJAB",Groundwater,PUNJAB,2017,29.0,,7.05,1286.5,0.0,2.0,2.0,10.4,,,,
2928,"ROPAR, PUNJAB",Groundwater,PUNJAB,2017,29.0,,7.15,685.0,0.0,2.0,2.0,2.65,,,,
2929,"ROPAR, PUNJAB",Groundwater,PUNJAB,2017,29.0,,7.4,528.0,0.0,2.0,2.0,2.2,,,,
2930,"TOANSA, PUNJAB",Groundwater,PUNJAB,2017,32.0,,7.45,1471.5,0.0,2.0,2.0,3.3,,,,
2931,"TOANSA, PUNJAB",Groundwater,PUNJAB,2017,32.0,,7.35,607.0,0.0,2.0,2.0,12.7,,,,
1297,"HARIKE LAKE AT HARIKE VILLAGE, PUNJAB",Canal,PUNJAB,2017,,22.5,6.7,7.4,309.0,1.8,0.665,1135.0,395.0,,,
1382,"HARIKE LAKE D-S FROM CANAL, PUNJAB",Canal,PUNJAB,2017,,20.0,6.65,7.2,301.0,1.85,1.18,370.0,505.0,,,
2912,"RANJIT SAGAR RESERVOIR, PUNJAB",Canal,PUNJAB,2017,,19.5,6.8,7.25,317.0,1.3,1.05,186.5,430.0,,,
,20025,River,PUNJAB,2017,,,,,,,,7.1,,,,
,20026,River,PUNJAB,2017,,,,,,,,7.65,,,,
,20027,River,PUNJAB,2017,,,,,,,,6.95,,,,
,20028,River,PUNJAB,2017,,,,,,,,7.5,,,,
,1698,River,PUNJAB,2017,,,,19.0,18.7,6.25,7.95,393.5,5.135,,,
,1703,River,PUNJAB,2017,,,,9.0,14.8,5.75,209.1,687.0,24.09,,,
,1704,River,PUNJAB,2017,,,,19.0,17.3,5.95,179.65,747.5,25.555,,,
,1705,River,PUNJAB,2017,,,,18.0,16.9,6.25,162.05,744.5,24.25,,,
1017,"SATLUJ AT 100M U/S OF HEADWORKS, NANGAL",River,PUNJAB,2017,20.0,8.0,7.815,249.0,,0.4,156.5,345.0,,,,
1293,"SATLUJ AT 1 KM. D/S OF ZENITH, PUNJAB",River,PUNJAB,2017,21.0,7.4,7.6,315.0,2.0,0.7,515.0,1055.0,,,,
1814,"SATLUJ AT D/S KIRATPUR SAHIB, PUNJAB",River,PUNJAB,2017,20.5,7.6,7.8,303.5,,1.1,800.0,1505.0,,,,
1018,"SATLUJ AT 100M D/S , NANGAL",River,PUNJAB,2017,21.0,7.7,7.93,279.0,1.0,0.6,285.0,460.0,,,,
1019,SATLUJ AT U/S HEAD WORKS ROPAR,River,PUNJAB,2017,20.0,7.65,7.82,292.0,,0.7,440.0,1040.0,,,,
1380,"SATLUJ AT D/S NFL, PUNJAB",River,PUNJAB,2017,22.5,7.65,7.85,301.0,,0.8,365.0,575.0,,,,
1690,"SATLUJ AT U/S BUDHA NALLAH (UPPER), PUNJAB",River,PUNJAB,2017,25.5,6.55,7.45,463.5,1.5,0.8,1050.0,2365.0,,,,
1020,"SATLUJ AT 100M D/S BUDHA NALA CONFL., LUDHIANA",River,PUNJAB,2017,25.5,3.55,7.38,1232.5,69.0,7.8,113500.0,205500.0,,,,
