stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1898,"Petrol Pump Opp. Hero Cycle, Ludhiana",Groundwater,PUNJAB,2018,Safe,0.0,None,,,6.8,1215.0,0.0,19.2,,,
GEN-FC4DDC,1902,Groundwater,PUNJAB,2018,Unsafe,8.28,High Fecal Coliform,,,,,,6.8,690.0,690.5,
GEN-944626,1903,Groundwater,PUNJAB,2018,Safe,3.22,None,,,,,,7.3,267.65,271.0,
GEN-340A39,2916,Groundwater,PUNJAB,2018,Safe,5.01,None,,,,,,7.1,374.6,633.0,
GEN-DFB84A,2917,Groundwater,PUNJAB,2018,Unsafe,6.39,High Fecal Coliform,,,,,,7.1,519.15,598.5,
GEN-6D19C1,2922,Groundwater,PUNJAB,2018,Unsafe,9.66,High Fecal Coliform,,,,,,7.2,778.35,937.5,
GEN-A4666C,2923,Groundwater,PUNJAB,2018,Safe,3.58,None,,,,,,7.4,195.95,811.5,
GEN-46FC94,4135,Groundwater,PUNJAB,2018,Safe,3.58,None,,,,,,7.1,290.15,338.0,
GEN-93DA57,4136,Groundwater,PUNJAB,2018,Unsafe,8.37,High Fecal Coliform,,,,,,6.8,661.45,878.0,
GEN-0777AC,4142,Groundwater,PUNJAB,2018,Safe,3.32,None,,,,,,7.0,265.65,334.0,
GEN-8B5C84,4150,River,PUNJAB,2018,Unsafe,33.16,"High BOD, High Fecal Coliform",,,,,7.1,100.0,1033.0,0.0,2.0
GEN-37588C,4153,River,PUNJAB,2018,Unsafe,25.44,High BOD,,,,,6.2,100.0,373.5,5.9,17.0
GEN-BD22C2,4154,River,PUNJAB,2018,Unsafe,26.99,High BOD,,,,,6.5,100.0,439.0,8.85,18.3
1023,"Ghaggar At Mubarakpur Rest House (Patiala), Punjab",River,PUNJAB,2018,Unsafe,48.0,"High BOD, High Fecal Coliform, High Total Coliform",21.5,28.5,7.75,714.0,12.0,0.65,3100.0,19500.0,
1024,Ghaggar At 100M D/S Conf. With R. Saraswati (Patiala),River,PUNJAB,2018,Unsafe,66.4,"Low DO, High BOD, High Fecal Coliform, High Total Coliform",22.0,3.4,7.55,1336.5,62.0,1.16,8150.0,39000.0,
1473,"Ghaggar At Ratanheri, D/S Of Patiala Nadi",River,PUNJAB,2018,Unsafe,64.0,"Low DO, High BOD, High Fecal Coliform, High Total Coliform",20.0,4.0,7.55,1397.0,36.0,0.805,11850.0,42000.0,
1698,"D/S Chhatbir, Punjab",River,PUNJAB,2018,Unsafe,57.0,"Low DO, High BOD, High Fecal Coliform, High Total Coliform",21.5,3.8,7.5,846.5,21.5,1.075,3750.0,21500.0,
1704,"D/S Sardulgarh, Punjab",River,PUNJAB,2018,Unsafe,65.6,"Low DO, High BOD, High Fecal Coliform, High Total Coliform",22.0,3.1,7.7,1108.5,26.5,0.815,4900.0,23000.0,
1705,"U/S Sardulgarh, Punjab",River,PUNJAB,2018,Unsafe,55.56,"Low DO, High BOD, High Fecal Coliform, High Total Coliform",21.0,3.4,7.6,1061.0,23.5,0.805,3550.0,18700.0,
"DHANAULA DRAIN FALLING INTO
LASSARA DRAIN NEAR VIL",Punjab,River,PUNJAB,2018,Unsafe,75.0,"High BOD, High Fecal Coliform, High Total Coliform",22.0,,7.7,5240.0,197.5,1.255,90500.0,167000.0,
"HUDIARA DRAIN AT VILL. DHAHUKE
(WHERE IT ENTERS PA",Punjab,River,PUNJAB,2018,Unsafe,75.0,"High BOD, High Fecal Coliform, High Total Coliform",24.5,,7.0,968.45,87.0,4.0,88950.0,116500.0,
"SAGARPARA DRAIN AT VILL SAGRA
DIST, PATIALA",Punjab,River,PUNJAB,2018,Unsafe,75.0,"High BOD, High Fecal Coliform, High Total Coliform",21.5,,7.5,2280.0,197.0,1.41,14850.0,36550.0,
"OUTLET OF NADIALA DRAIN INTO
DHAKANSU NALLAH, PUNJ",Punjab,River,PUNJAB,2018,Unsafe,63.6,"Low DO, High BOD, High Fecal Coliform, High Total Coliform",20.5,4.1,7.55,1824.5,43.0,1.345,9500.0,37500.0,
"OUTLET OF SHREYANS PAPER MILL
FALLING INTO TALLEWA",Punjab,River,PUNJAB,2018,Unsafe,70.4,"Low DO, High BOD, High Fecal Coliform, High Total Coliform",23.0,2.4,7.85,2590.5,80.0,1.2,9400.0,38000.0,
"OUTLET OF KHANNA
PAPER/R.C.PAPER INTO TUNG DHAB
DR",Punjab,River,PUNJAB,2018,Unsafe,75.0,"High BOD, High Fecal Coliform, High Total Coliform",23.5,,7.05,1901.0,140.0,4.45,112300.0,179700.0,
SATLUJ JALANDHAR,Punjab,River,PUNJAB,2018,Unsafe,25.2,High BOD,,,7.35,,91.5,,6.8,170.0,
"SATLUJ LUDHIANA -1, BHATTIAN",Punjab,River,PUNJAB,2018,Unsafe,50.0,High BOD,26.0,,7.135,,126.0,,,,
"SATLUJ LUDHIANA-2, BALLOKE",Punjab,River,PUNJAB,2018,Unsafe,50.0,High BOD,,,6.88,,155.5,,,,
"SATLUJ LUDIHANA-3, JAMALPUR",Punjab,River,PUNJAB,2018,Unsafe,50.0,High BOD,32.0,,7.02,,169.5,,,,
