stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1415,"WELL OF LOOMJI, CHAUDHARY, NEAR NAYAGAON, PALI, (U/S 1 KM. FROM PALI TOWN), RAJASTHAN",Groundwater,RAJASTHAN,2022,26.0,,7.675,5915.5,,6.845,112.0,275.0,,4027.0,1.015,
1706,"RIICO PUMP HOUSE NEAR MONTO MOTORS, MIA, ALWAR, RAJASTHAN",Groundwater,RAJASTHAN,2022,29.0,,7.46,1360.5,,2.965,2.95,5.5,,795.0,0.86,
1707,"BORE WELL IN MODI ALKALIS & CHEMICALS, MIA, ALWAR, RAJASTHAN",Groundwater,RAJASTHAN,2022,29.5,,7.375,2401.0,,2.805,2.75,5.0,,1891.5,0.56,
1708,"KOTHI WALA WELL IN VILLAGE BAGAR RAJPUT, ALWAR, RAJASTHAN",Groundwater,RAJASTHAN,2022,28.5,,7.31,2106.5,,1.475,6.5,20.0,,1029.5,0.485,
1710,"BOREWELL OF SHRI DULI CHAND DAYMA S/O SH. CHETRAM DAYMA, NEAR GOVT. SCHOOL, VILLAGE- ALUPUR (ALAMPUR), BHIWADI, DISTT- ALWAR, TEHSIL- TIJARA",Groundwater,RAJASTHAN,2022,27.0,,7.575,1906.0,,2.4,29.0,71.0,,994.0,0.8,
1713,"BOREWELL OF SH JAGDISH BHATI, NEAR SANJEEV ENTERPRISES, RIA, VILLAGE- GHATAL,BHIWADI, DISTRICT - ALWAR",Groundwater,RAJASTHAN,2022,28.5,,7.6,1246.0,,2.93,31.0,66.5,,780.0,0.51,
1715,HAND PUMP NEAR SECONDARY SCHOOL ABOUT 300MT. FROM,Groundwater,RAJASTHAN,2022,27.5,,7.755,2110.0,,2.055,9.4,15.5,,1371.5,0.9,
1720,"CHAUDHARY KA WELL VILLAGE PANIALA, KOTAPUTALI NEAR ASSOCIATED ALCOHOL BREVERIES LTD JAIPUR, RAJASTHAN",Groundwater,RAJASTHAN,2022,26.0,,7.94,3860.0,,4.11,8.9,14.5,,2505.0,0.385,
1721,"PHED WELL NEAR RAILWAY LINE JHOTAWARA, JAIPUR, RAJASTHAN",Groundwater,RAJASTHAN,2022,27.5,,8.38,701.0,,2.43,6.4,14.0,,455.5,,
1723,"HAND PUMP OF VIDHANI VILLAGE GONER ROAD JAIPUR, RAJASTHAN",Groundwater,RAJASTHAN,2022,26.5,,8.25,9795.0,,5.86,5.3,7.95,,6365.0,1.665,
1724,"WELL OF GOOJARON KI TALAI, MOHANA ROAD SANGANER JAIPUR, RAJASTHAN",Groundwater,RAJASTHAN,2022,27.0,,8.35,561.5,,1.075,11.0,18.5,,365.0,0.3,
1725,"PUBLIC HAND PUMP BEFORE SANGANER PULIA, RAJASTHAN",Groundwater,RAJASTHAN,2022,26.5,,7.52,4630.0,,5.15,7.95,11.5,,3005.0,0.365,
