stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
5291,CHANGU LAKE,Pond/Tank,SIKKIM,2022,,5.5,9.2,7.15,109.0,2.15,3.25,39.5,86.0
5290,MENMOITSO LAKE,Pond/Tank,SIKKIM,2022,,4.5,8.65,7.05,112.5,2.15,3.35,53.5,111.5
1802,RIVER DIKCHU BEFORE CONFLUENCS WITH RIVER TEESTA NEAR NHPC HYDROELECTRIC POWER PROJECT DIKCHU,River,SIKKIM,2022,10.5,8.95,6.9,197.5,2.25,3.0,72.5,135.0,
1801,RIVER TEESTA AFTER CONFLUENCS OF RIVERS LACHENCHU AND LACHUNGCHU AT CHUNGTHANG,River,SIKKIM,2022,8.5,8.65,7.25,192.5,1.85,2.1,65.0,97.5,
1807,RIVER TEESTA AFTER CONFLUENCS WITH RANICHU AT SINGTAM,River,SIKKIM,2022,17.0,8.95,7.1,191.5,2.2,3.35,97.5,189.5,
1808,RIVER TEESTA AFTER CONFLUENCS WITH RONGPOCHU AFTER MEETING THE INDUSTRIAL EFFLUENTS FROM THE TOWN RANGPO,River,SIKKIM,2022,18.0,8.65,7.2,181.0,2.25,3.35,95.0,172.5,
1809,RIVER TEESTA AT MELLI DOWNSTREAM MELLI,River,SIKKIM,2022,18.0,8.95,7.15,192.0,2.2,3.55,92.5,175.0,
2034,RIVER RANGIT AT DAM SITE (NHPC),River,SIKKIM,2022,15.5,9.1,7.2,210.0,1.9,2.95,70.0,111.0,
2035,RIVER RANGIT AT LEGSHIP,River,SIKKIM,2022,16.0,9.0,7.2,194.5,1.9,2.8,68.0,108.0,
2036,RIVER RANGIT AT RESHI,River,SIKKIM,2022,16.5,8.75,6.8,192.5,2.1,2.9,60.5,115.0,
2037,RIVER RANGIT AT JORETHANG,River,SIKKIM,2022,18.5,8.9,7.0,157.5,1.95,3.0,71.5,117.5,
2038,RIVER RANGIT AT TRIVENI MELLI,River,SIKKIM,2022,19.0,8.3,7.2,195.0,1.85,3.0,80.0,157.5,
1805,RIVER AFTER CONFLUENCE OF RANICHU AND RORACHU AT RANIPOOL,River,SIKKIM,2022,16.0,8.9,7.0,185.0,5.4,3.5,97.5,192.5,
1806,RIVER RANICHU BEFORE CONFLUENCE WITH TEESTA AT SINGTAM,River,SIKKIM,2022,17.0,8.75,7.0,193.0,2.25,3.25,75.0,167.5,
1803,"RIVER MANEY KHOLA AT BURTUK NEAR ARMY BASE CAMP, 4 KM U/S OF GANGTOK",River,SIKKIM,2022,11.5,8.6,6.7,187.0,2.4,3.15,92.5,170.5,
1804,"RIVER MANEY KHOLA AFTER CONFLUENCS WITH RAY KHOLA AT ADAMPOOL AFTER MEETING WASTE OF STP, GANGTOK",River,SIKKIM,2022,13.5,8.65,7.05,177.5,5.45,3.55,98.5,205.0,
5281,RIVER RANGPO U/S DAM SITE,River,SIKKIM,2022,14.5,8.65,7.3,182.0,1.75,3.55,77.5,121.0,
5282,RIVER RANGPO D/S DAM SITE,River,SIKKIM,2022,15.0,5.45,6.9,174.0,11.7,3.5,94.0,152.0,
5283,RIVER RONGLI U/S DAM SITE,River,SIKKIM,2022,16.5,8.55,7.15,145.0,1.85,3.3,96.5,180.0,
5284,RIVER RONGLI D/S DAM SITE,River,SIKKIM,2022,17.5,9.05,6.95,114.5,1.95,3.75,90.0,145.0,
5285,RIVER RANGPO AT POWER HOUSE D/S OF GATI INFRA PVT. LTD.,River,SIKKIM,2022,16.0,9.1,6.9,106.0,5.15,3.45,78.0,150.0,
5286,RIVER RANGPO AT U/S OF RORATHANG BAZAR (ABOVE SWISS GARNIER),River,SIKKIM,2022,17.0,8.05,6.8,92.0,1.95,3.55,110.0,201.5,
5287,RIVER RANGPO AT D/S OF RORATHANG BRIDGE,River,SIKKIM,2022,17.5,9.0,6.95,89.0,2.0,3.5,96.5,159.0,
5288,RIVER RANGPO AT D/S OF PHARMA PLANT KUMREK,River,SIKKIM,2022,18.0,8.1,7.05,108.0,2.4,3.4,107.5,151.0,
5289,RIVER RANGPO AT D/S OF POWER HOUSE OF MADHYA BHARAT,River,SIKKIM,2022,19.0,8.35,6.85,92.5,2.4,3.5,94.5,187.5,
