stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
5291,Changu Lake,Pond/Tank,SIKKIM,2022,Unsafe,21.69,"pH Out of Range, High BOD",,5.5,9.2,7.15,109.0,2.15,3.25,39.5,86.0
5290,Menmoitso Lake,Pond/Tank,SIKKIM,2022,Unsafe,22.41,"Low DO, pH Out of Range, High BOD",,4.5,8.65,7.05,112.5,2.15,3.35,53.5,111.5
1802,River Dikchu Before Confluencs With River Teesta Near Nhpc Hydroelectric Power Project Dikchu,River,SIKKIM,2022,Safe,5.39,None,10.5,8.95,6.9,197.5,2.25,3.0,72.5,135.0,
1801,River Teesta After Confluencs Of Rivers Lachenchu And Lachungchu At Chungthang,River,SIKKIM,2022,Safe,4.45,None,8.5,8.65,7.25,192.5,1.85,2.1,65.0,97.5,
1807,River Teesta After Confluencs With Ranichu At Singtam,River,SIKKIM,2022,Safe,5.43,None,17.0,8.95,7.1,191.5,2.2,3.35,97.5,189.5,
1808,River Teesta After Confluencs With Rongpochu After Meeting The Industrial Effluents From The Town Rangpo,River,SIKKIM,2022,Safe,5.51,None,18.0,8.65,7.2,181.0,2.25,3.35,95.0,172.5,
1809,River Teesta At Melli Downstream Melli,River,SIKKIM,2022,Safe,5.39,None,18.0,8.95,7.15,192.0,2.2,3.55,92.5,175.0,
2034,River Rangit At Dam Site (Nhpc),River,SIKKIM,2022,Safe,4.59,None,15.5,9.1,7.2,210.0,1.9,2.95,70.0,111.0,
2035,River Rangit At Legship,River,SIKKIM,2022,Safe,4.58,None,16.0,9.0,7.2,194.5,1.9,2.8,68.0,108.0,
2036,River Rangit At Reshi,River,SIKKIM,2022,Safe,5.0,None,16.5,8.75,6.8,192.5,2.1,2.9,60.5,115.0,
2037,River Rangit At Jorethang,River,SIKKIM,2022,Safe,4.71,None,18.5,8.9,7.0,157.5,1.95,3.0,71.5,117.5,
2038,River Rangit At Triveni Melli,River,SIKKIM,2022,Safe,4.55,None,19.0,8.3,7.2,195.0,1.85,3.0,80.0,157.5,
1805,River After Confluence Of Ranichu And Rorachu At Ranipool,River,SIKKIM,2022,Unsafe,12.53,High BOD,16.0,8.9,7.0,185.0,5.4,3.5,97.5,192.5,
1806,River Ranichu Before Confluence With Teesta At Singtam,River,SIKKIM,2022,Safe,5.43,None,17.0,8.75,7.0,193.0,2.25,3.25,75.0,167.5,
1803,"River Maney Khola At Burtuk Near Army Base Camp, 4 Km U/S Of Gangtok",River,SIKKIM,2022,Safe,5.83,None,11.5,8.6,6.7,187.0,2.4,3.15,92.5,170.5,
1804,"River Maney Khola After Confluencs With Ray Khola At Adampool After Meeting Waste Of Stp, Gangtok",River,SIKKIM,2022,Unsafe,12.66,High BOD,13.5,8.65,7.05,177.5,5.45,3.55,98.5,205.0,
5281,River Rangpo U/S Dam Site,River,SIKKIM,2022,Safe,4.29,None,14.5,8.65,7.3,182.0,1.75,3.55,77.5,121.0,
5282,River Rangpo D/S Dam Site,River,SIKKIM,2022,Unsafe,20.5,High BOD,15.0,5.45,6.9,174.0,11.7,3.5,94.0,152.0,
5283,River Rongli U/S Dam Site,River,SIKKIM,2022,Safe,4.64,None,16.5,8.55,7.15,145.0,1.85,3.3,96.5,180.0,
5284,River Rongli D/S Dam Site,River,SIKKIM,2022,Safe,4.8,None,17.5,9.05,6.95,114.5,1.95,3.75,90.0,145.0,
5285,River Rangpo At Power House D/S Of Gati Infra Pvt. Ltd.,River,SIKKIM,2022,Unsafe,11.87,High BOD,16.0,9.1,6.9,106.0,5.15,3.45,78.0,150.0,
5286,River Rangpo At U/S Of Rorathang Bazar (Above Swiss Garnier),River,SIKKIM,2022,Safe,4.93,None,17.0,8.05,6.8,92.0,1.95,3.55,110.0,201.5,
5287,River Rangpo At D/S Of Rorathang Bridge,River,SIKKIM,2022,Safe,4.95,None,17.5,9.0,6.95,89.0,2.0,3.5,96.5,159.0,
5288,River Rangpo At D/S Of Pharma Plant Kumrek,River,SIKKIM,2022,Safe,5.88,None,18.0,8.1,7.05,108.0,2.4,3.4,107.5,151.0,
5289,River Rangpo At D/S Of Power House Of Madhya Bharat,River,SIKKIM,2022,Safe,5.86,None,19.0,8.35,6.85,92.5,2.4,3.5,94.5,187.5,
