stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
32,"WELL AT MUSIRI, TAMIL NADU",Groundwater,TAMIL NADU,2017,27.0,,7.3,841.5,1.6,2.0,78.0,127.0,,1.0,,
1449,"COLLECTOR WELL AT THIRUPUVANAM FOR MADURAI WAT. SUPPLY SCHEME, TAMILNADU",Groundwater,TAMIL NADU,2017,,,,,,,,0.0,,,,
1420,"KODAI KANAL LAKE, TAMILNADU",Pond/Tank,TAMIL NADU,2017,,21.0,5.8,7.15,114.0,4.2,0.77,42.0,55.0,,,
1421,"UDHAGAMADALEM LAKE (OOTY), TAMILNADU",Pond/Tank,TAMIL NADU,2017,,16.0,5.2,7.4,523.0,13.8,1.0,780.0,1750.0,,,
1452,"YERCAUD LAKE, SALEM, TAMILNADU",Pond/Tank,TAMIL NADU,2017,,22.0,6.7,7.55,367.5,4.8,1.0,734.0,1595.0,,,
3007,"VEERANAM LAKE AT CUDDALORE, TAMILNADU",Pond/Tank,TAMIL NADU,2017,,29.5,6.8,8.3,848.0,3.3,1.0,605.0,1065.0,,,
3008,"POONDI LAKE AT THIRUVALLUR, TAMILNADU",Pond/Tank,TAMIL NADU,2017,,30.0,5.1,7.55,1035.5,23.5,0.69,231.0,1080.0,,,
3009,"REDD HILLS AT THIRUVALLUR, TAMILNADU",Pond/Tank,TAMIL NADU,2017,,29.0,5.6,7.4,546.0,24.0,0.505,166.0,585.0,,,
3010,"PORUR LAKE AT THIRUVALLUR, TAMILNADU",Pond/Tank,TAMIL NADU,2017,,31.0,6.6,7.95,584.0,7.5,0.515,204.0,1015.0,,,
3011,"PULICATE LAKE AT THIRUVALLUR, TAMILNADU",Pond/Tank,TAMIL NADU,2017,,30.5,4.75,7.4,30479.5,7.65,0.5,601.0,1072.5,,,
31,CAUVERY AT MUSIRI,River,TAMIL NADU,2017,30.5,6.95,8.08,996.0,2.45,,575.0,1330.0,,,,
3016,"CAUVERY AT PETTAIVAITHALAI, TRICHY, TAMILNADU",River,TAMIL NADU,2017,30.0,7.15,8.15,601.5,2.25,,435.0,1285.0,,,,
1202,"CAUVERY AT TIRUCHIRAPPALLI U/S, TAMILNADU",River,TAMIL NADU,2017,30.0,7.5,8.05,513.5,2.0,,460.0,940.0,,,,
1325,"CAUVERY AT TIRUCHIRAPPALLI D/S, TAMILNADU",River,TAMIL NADU,2017,30.0,3.75,7.55,982.0,7.45,0.6,13745.0,24150.0,,,,
1203,"CAUVERY AT TRICHY, GRAND ANAICUT, TAMILNADU",River,TAMIL NADU,2017,29.5,5.4,8.05,831.5,7.0,0.65,3275.0,6290.0,,,,
