stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1159,TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINA,River,TAMIL NADU,2018,23.0,7.05,7.55,77.0,3.55,0.2,18.0,48.0,
1160,"TAMBIRAPARANI AT CHERANMADEVI, CAUSE WAY, TAMILNAD",River,TAMIL NADU,2018,25.0,6.8,7.35,121.0,3.9,1.505,38.0,74.0,
1161,"TAMBIRAPARANI AT TIRUNELVELI, COLLECTORATE, TAMILN",River,TAMIL NADU,2018,26.0,6.15,7.4,134.0,3.55,1.245,34.0,93.5,
1162,"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",River,TAMIL NADU,2018,29.0,7.0,7.75,386.0,3.5,0.52,42.0,128.0,
1328,"TAMBIRAPARANI AT PAPPANKULAM, TAMILNADU",River,TAMIL NADU,2018,24.0,6.5,7.35,84.5,3.6,0.255,23.0,68.5,
1329,"TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM, TAMILN",River,TAMIL NADU,2018,23.5,6.95,7.55,69.0,3.5,0.195,18.0,49.5,
1450,"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMIL",River,TAMIL NADU,2018,24.0,6.3,7.5,774.0,4.4,1.85,2.0,230.0,
3025,"TAMBIRAPARANI AT ERAL, THOTHUKUDI, TAMILNADU",River,TAMIL NADU,2018,29.0,6.9,7.85,322.5,3.4,0.15,43.0,130.0,
3026,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI, TA",River,TAMIL NADU,2018,24.0,6.95,7.5,76.0,3.95,0.225,22.0,66.0,
3027,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT,",River,TAMIL NADU,2018,29.0,6.8,8.05,275.5,3.5,0.505,37.0,99.0,
3028,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI, TAMILNADU",River,TAMIL NADU,2018,26.0,5.55,7.45,155.0,3.25,2.055,38.5,118.5,
3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF K",River,TAMIL NADU,2018,26.5,5.65,7.45,158.0,4.3,2.31,51.0,148.5,
