stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
32,"Well At Musiri, Tamil Nadu",Groundwater,TAMIL NADU,2020,Safe,11.1,None,28.0,,7.8,502.0,2.0,,,,
4810,"Suriyampalayam Borewell (Hand Pump) Owned By Erode Corporation Loated Opposite To M/S. Pioneer Processing India Pvt. Ltd., Bhavani Main Road, R.N. Pudur Post, Erode",Groundwater,TAMIL NADU,2020,Safe,0.01,None,27.5,,7.75,2670.0,,,,6.0,
4811,"Borewell Located At M/S. Phoenix Textile Processors, Vendipalayam, Erode",Groundwater,TAMIL NADU,2020,Safe,0.02,None,31.0,,8.0,2365.0,,3.45,2.0,6.5,
4814,"House Of Thiru Murugan, S/O. Esakki, No.16B, Meenakshipuram, Anna Nagar, Tirunelveli",Groundwater,TAMIL NADU,2020,Unsafe,16.82,High BOD,25.0,,7.9,1584.0,6.0,,20.0,74.5,
4815,"Municipal Corporation Bore Well Located In Perumalpuram Street, Naranammalpuram, Tirunelveli",Groundwater,TAMIL NADU,2020,Unsafe,12.7,High BOD,25.0,,7.65,1009.0,4.55,,9.5,31.0,
4816,Author Ã‚Â– Mukkani Agragaram Street Infront Of Thiru N. Samuthrapandi House Bore Well,Groundwater,TAMIL NADU,2020,Safe,0.06,None,27.0,,6.9,1360.0,,0.32,6.0,14.0,
4817,Eral Ã‚Â– Charmam Arunachala Swamy Temple West Of Bore Well,Groundwater,TAMIL NADU,2020,Safe,0.06,None,30.0,,7.0,976.0,,,6.0,12.0,
4818,"Alwarthirunagari Ã‚Â– Veterinary Dispensary, West Car Street Near Over Head Tank Of Bore Well",Groundwater,TAMIL NADU,2020,Safe,5.65,None,30.0,,7.3,917.0,2.0,0.32,2.0,92.0,
4819,Srivaikundam Ã‚Â– Block Development Office Ã‚Â– Open Well,Groundwater,TAMIL NADU,2020,Safe,5.63,None,29.0,,7.0,327.0,2.0,,11.0,26.0,
4820,Srivaikundam Ã‚Â– Tneb Sub Station 33 Kva,Groundwater,TAMIL NADU,2020,Safe,5.6,None,29.0,,7.1,1770.0,2.0,0.32,7.0,17.0,
4821,Borewell Near Kambarasampettai Intake Well (Trichy Upstream),Groundwater,TAMIL NADU,2020,Safe,1.24,None,24.0,,8.1,679.0,,,130.0,280.0,
4822,Borewell Near Thogur Intake Well (Trichy Downstream),Groundwater,TAMIL NADU,2020,Safe,0.03,None,23.0,,7.8,498.0,,,2.0,11.0,
4824,"Paramasivam Water Service Station, Block No.13 Bsnl Exchange Opposite, Mettur Dam Ã‚Â– 636 402.",Groundwater,TAMIL NADU,2020,Safe,0.02,None,27.0,,7.7,1590.0,,2.2745,2.0,8.0,
4825,"M. Kaliappan, Sangilimuniyappan Kovil, Erikkadu, Mettur",Groundwater,TAMIL NADU,2020,Safe,0.08,None,28.5,,7.9,1554.0,,9.532,,41.5,
4826,"Sakthi Nagar, Near Municipality Sewage Treatment Plant, Kompurankadu, Mettur",Groundwater,TAMIL NADU,2020,Safe,0.06,None,30.5,,7.85,866.5,,2.8105,4.0,23.0,
4907,"Kombupallam, Sathyamangalam",Groundwater,TAMIL NADU,2020,Safe,0.11,None,29.0,,7.5,159.0,,0.32,11.0,27.0,
4909,"Thalavaipettai, Bhavani",Groundwater,TAMIL NADU,2020,Safe,0.21,None,28.0,,7.5,480.0,,0.32,22.0,49.0,
4910,Perur Chettipalaym Panchayat Located Adjacent To Noyyal At Perur-Vedapatty Road (Opp Vinaygar Temple),Groundwater,TAMIL NADU,2020,Safe,0.02,None,26.0,,7.1,62.0,,0.32,2.0,5.0,
4911,"Borewell At Pasupathy Pudur Village, Palani Taluk, Dindigul Dist.",Groundwater,TAMIL NADU,2020,Safe,0.02,None,25.0,,7.8,2920.0,,0.32,2.0,6.0,
4912,"Bore Well At Vanniarvalasu Village, Near Elementary School, Thoppampatti Panchayat Union, Palani Taluk, Dindigul Dist",Groundwater,TAMIL NADU,2020,Unsafe,20.04,High BOD,33.0,,8.1,1860.0,7.0,4.08,79.0,220.0,
1420,"Kodai Kanal Lake, Tamilnadu",Pond/Tank,TAMIL NADU,2020,Unsafe,20.81,"pH Out of Range, High BOD",,24.0,6.25,6.9,125.0,3.0,1.34,42.5,78.0
1421,"Udhagamadalem Lake (Ooty), Tamilnadu",Pond/Tank,TAMIL NADU,2020,Unsafe,22.86,"pH Out of Range, High BOD",,20.0,5.6,7.3,431.0,6.55,0.5,116.0,287.0
1452,"Yercaud Lake, Salem, Tamilnadu",Pond/Tank,TAMIL NADU,2020,Unsafe,20.12,High BOD,,22.0,6.5,7.25,332.0,1.05,0.495,142.5,375.0
3007,"Veeranam Lake At Cuddalore, Tamilnadu",Pond/Tank,TAMIL NADU,2020,Unsafe,20.51,"pH Out of Range, High BOD",,25.0,6.35,8.15,500.0,1.25,0.495,62.5,175.0
3008,"Poondi Lake At Thiruvallur, Tamilnadu",Pond/Tank,TAMIL NADU,2020,Unsafe,21.54,"pH Out of Range, High BOD",,29.0,6.0,7.75,486.5,2.5,0.685,2.0,86.0
