stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
15,WELL AT KUYYURA,Groundwater,TELANGANA,2020,27.0,,6.79,740.0,,1.8,,,,,448.0,0.645
16,WELL AT TADAVAI A.P.,Groundwater,TELANGANA,2020,28.0,,7.78,622.0,,9.4,,,,,381.0,0.53
27,WELL AT PEDDAVOORA,Groundwater,TELANGANA,2020,25.5,,7.465,706.0,,4.745,,,,,415.33,0.33
1515,"B/W. - NAGARAM(V), PALVONCHA, KHAMMAM DIST.",Groundwater,TELANGANA,2020,29.5,,7.27,1552.5,,8.05,,,,,899.0,0.8
1525,"B/W - IDA , NEAR CHAITANYA CHLORIDES , PASHAMAYLAM , MEDAK DIST.",Groundwater,TELANGANA,2020,26.0,,7.255,4615.0,,9.32,,,,,2614.5,0.4
1793,"O/W - BHOOMAIAH NEAR ASHPONDS OF NTPC , KUNDANPALLY (V) , RAMAGUNDAM , KARIMNAGAR",Groundwater,TELANGANA,2020,28.5,,7.7,1926.0,,1.26,,,,,1170.0,1.22
1794,"B/W - MANAKONDUR (V) , KARIMNAGAR DIST.",Groundwater,TELANGANA,2020,28.0,,7.21,1219.5,,4.6,,,,,708.5,1.83
1795,"B/W. - PANCHAYAT OFFICE , , BOLLARAM (V) MEDAK DIST.",Groundwater,TELANGANA,2020,25.0,,7.32,2215.0,,9.31,,,,,1285.0,
1810,"B/W - SRI RAMNAGAR COLONY, SHAKKAR NAGAR, BODHAN, NIZAMABAD DIST.",Groundwater,TELANGANA,2020,26.5,,7.295,2182.0,,19.79,,,,,1252.0,0.4
1811,"B/W. - PRIMARY SCHOOL - RUDRAVELLI (V) , BIBINAGAR (M), NALGONDA DIST.",Groundwater,TELANGANA,2020,26.5,,7.35,1597.0,,13.29,,,,,914.0,0.31
3088,"B/W AT J.NARASIMHA RAOÃ‚Â’S HOUSE, 14NOS. AREA, RAMAVARAM, NEAR MWS DUMPSITE,",Groundwater,TELANGANA,2020,29.5,,7.31,1422.0,,7.4,,,,,933.0,0.9
3094,"B/W AT AKBARNAGAR, RAMAGUNDAM, KARIMNAGAR",Groundwater,TELANGANA,2020,28.0,,8.075,915.5,,1.4,,,,,526.0,0.97
4260,"BORE WELL NEAR MSW DUMP YARD, MEDAK TOWN MEDAK DISTRICT",Groundwater,TELANGANA,2020,29.5,,7.42,882.5,,9.77,,,,,523.5,0.31
4261,"BORE WELL AT M/S SHALINI STEELS LTD, IDA BOLLARAM, JINNARAM MANDAL, SANGAREDDY DISTRICT",Groundwater,TELANGANA,2020,29.5,,6.77,3859.0,,22.36,,,,,2267.0,0.45
4262,"BOREWELL NEAR GRAMPANCHYAT OFFICE, KISTAIPALLY VILLAGE JINNARM MANDAL, SANGAREDDY DISTRICT",Groundwater,TELANGANA,2020,28.5,,7.065,2013.5,,18.88,,,,,1181.0,0.43
4263,"BOREWELL NEAR MPP SCHOOL GADDAPOTHARAM VILLAGE, JINNARAM MANDAL, SANGAREDDY DISTRICT",Groundwater,TELANGANA,2020,28.5,,6.76,3285.0,,22.24,,,,,1883.0,0.405
