stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
15,Well At Kuyyura,Groundwater,TELANGANA,2020,Safe,0.0,None,27.0,,6.79,740.0,,1.8,,,
16,Well At Tadavai A.P.,Groundwater,TELANGANA,2020,Safe,0.0,None,28.0,,7.78,622.0,,9.4,,,
27,Well At Peddavoora,Groundwater,TELANGANA,2020,Safe,0.0,None,25.5,,7.465,706.0,,4.745,,,
1515,"B/W. - Nagaram(V), Palvoncha, Khammam Dist.",Groundwater,TELANGANA,2020,Safe,0.0,None,29.5,,7.27,1552.5,,8.05,,,
1525,"B/W - Ida , Near Chaitanya Chlorides , Pashamaylam , Medak Dist.",Groundwater,TELANGANA,2020,Safe,0.0,None,26.0,,7.255,4615.0,,9.32,,,
1793,"O/W - Bhoomaiah Near Ashponds Of Ntpc , Kundanpally (V) , Ramagundam , Karimnagar",Groundwater,TELANGANA,2020,Safe,0.0,None,28.5,,7.7,1926.0,,1.26,,,
1794,"B/W - Manakondur (V) , Karimnagar Dist.",Groundwater,TELANGANA,2020,Safe,0.0,None,28.0,,7.21,1219.5,,4.6,,,
1795,"B/W. - Panchayat Office , , Bollaram (V) Medak Dist.",Groundwater,TELANGANA,2020,Safe,0.0,None,25.0,,7.32,2215.0,,9.31,,,
1810,"B/W - Sri Ramnagar Colony, Shakkar Nagar, Bodhan, Nizamabad Dist.",Groundwater,TELANGANA,2020,Safe,0.0,None,26.5,,7.295,2182.0,,19.79,,,
1811,"B/W. - Primary School - Rudravelli (V) , Bibinagar (M), Nalgonda Dist.",Groundwater,TELANGANA,2020,Safe,0.0,None,26.5,,7.35,1597.0,,13.29,,,
3088,"B/W At J.Narasimha Raoã‚Â’S House, 14Nos. Area, Ramavaram, Near Mws Dumpsite,",Groundwater,TELANGANA,2020,Safe,0.0,None,29.5,,7.31,1422.0,,7.4,,,
3094,"B/W At Akbarnagar, Ramagundam, Karimnagar",Groundwater,TELANGANA,2020,Safe,0.0,None,28.0,,8.075,915.5,,1.4,,,
4260,"Bore Well Near Msw Dump Yard, Medak Town Medak District",Groundwater,TELANGANA,2020,Safe,0.0,None,29.5,,7.42,882.5,,9.77,,,
4261,"Bore Well At M/S Shalini Steels Ltd, Ida Bollaram, Jinnaram Mandal, Sangareddy District",Groundwater,TELANGANA,2020,Safe,0.0,None,29.5,,6.77,3859.0,,22.36,,,
4262,"Borewell Near Grampanchyat Office, Kistaipally Village Jinnarm Mandal, Sangareddy District",Groundwater,TELANGANA,2020,Safe,0.0,None,28.5,,7.065,2013.5,,18.88,,,
