stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1729,"Near Pragati Vidyabhawan, Agartala",Canal,TRIPURA,2016,Unsafe,38.08,"pH Out of Range, High BOD",,27.5,0.75,8.6,308.5,24.45,3.3,470.0,920.0
3387,"Gilatali Canal, West Tripura",Canal,TRIPURA,2016,Unsafe,22.23,"pH Out of Range, High BOD",,26.5,5.85,7.4,133.0,2.6,0.4,285.0,390.0
3388,"Palatana Canal At D/S Of Pollution Outfall, South Tripura",Canal,TRIPURA,2016,Unsafe,22.69,"pH Out of Range, High BOD",,27.75,5.7,6.9,73.5,1.25,1.0,275.0,390.0
3389,"Ghandha Charra Canal At Domburnagar, Dhalai",Canal,TRIPURA,2016,Unsafe,21.12,"pH Out of Range, High BOD",,26.75,6.2,7.45,140.0,1.55,0.4,240.0,390.0
3390,"Samanu Charra Canal At Chawmanu, Dhalai",Canal,TRIPURA,2016,Unsafe,27.77,"pH Out of Range, High BOD",,27.25,4.05,7.5,127.0,1.95,0.45,285.0,390.0
1405,"Well At Udaipur (Tubewell), Tripura",Groundwater,TRIPURA,2016,Safe,0.0,None,27.0,,7.6,150.5,0.0,0.8,0.0,0.0,
1406,"Well Around Udaipur (Tubewell), Tripura",Groundwater,TRIPURA,2016,Safe,0.0,None,27.0,,7.25,280.0,0.0,0.05,0.0,0.0,
1730,"Kunjban, Agartala, Tripura",Groundwater,TRIPURA,2016,Safe,0.0,None,27.0,,6.5,216.0,0.0,0.25,0.0,0.0,
1731,"Lankamura, Tripura",Groundwater,TRIPURA,2016,Safe,0.0,None,27.25,,6.65,105.0,0.0,0.0,0.0,0.0,
1732,"A.D.Nagar, Agartala, Tripura",Groundwater,TRIPURA,2016,Safe,0.0,None,27.0,,6.7,115.5,0.0,0.0,0.0,0.0,
1733,"Shibnagar, Agartala, Tripura",Groundwater,TRIPURA,2016,Safe,0.0,None,27.25,,6.6,152.5,0.0,0.0,0.0,0.0,
