stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1405,"WELL AT UDAIPUR (TUBEWELL), TRIPURA",Groundwater,TRIPURA,2022,22.5,,5.58,102.0,,0.505,,,,58.0,,
1406,"WELL AROUND UDAIPUR (TUBEWELL), TRIPURA",Groundwater,TRIPURA,2022,23.0,,5.555,110.5,,0.455,,,,65.0,,
1730,"KUNJBAN, AGARTALA, TRIPURA",Groundwater,TRIPURA,2022,22.25,,6.6,545.5,,0.32,,,,54.0,,
1731,"LANKAMURA, TRIPURA",Groundwater,TRIPURA,2022,22.75,,6.465,95.5,,0.32,,,,55.0,,
1732,"A.D.NAGAR, AGARTALA, TRIPURA",Groundwater,TRIPURA,2022,22.0,,6.065,125.0,,0.32,,,,74.0,,
1733,"SHIBNAGAR, AGARTALA, TRIPURA",Groundwater,TRIPURA,2022,22.25,,6.585,113.0,,0.32,,,,65.0,,
1734,"GANDHIGRAM, AGARTALA, TRIPURA",Groundwater,TRIPURA,2022,22.5,,6.4,111.0,,0.32,,,,63.0,,
3423,"TUBE WELL AT HAPANIA, WEST TRIPURA",Groundwater,TRIPURA,2022,23.0,,6.39,78.0,,0.32,,,,42.0,,
3424,"TUBE WELL AT NAGICHERRA, WEST TRIPURA",Groundwater,TRIPURA,2022,22.0,,6.04,90.5,,0.32,,,,48.0,,
3425,"TUBE WELL AT BODHJUNG NAGAR, WEST TRIPURA",Groundwater,TRIPURA,2022,22.5,,5.73,108.5,,0.68,,,,62.0,,
3426,"TUBE WELL AT B.C.MANU, SOUTH TRIPURA",Groundwater,TRIPURA,2022,22.75,,5.855,100.0,,0.32,,,,55.0,,
3427,"TUBE WELL AT SHANTIR BAZAR, SOUTH TRIPURA",Groundwater,TRIPURA,2022,22.25,,6.285,83.5,,0.39,,,,48.0,,
3428,"TUBE WELL AT BAGAFA, SOUTH TRIPURA",Groundwater,TRIPURA,2022,22.25,,6.12,92.5,,0.425,,,,52.0,,
3430,"TUBE WELL AT JAWAHANAGAR, DHALAI",Groundwater,TRIPURA,2022,21.75,,6.31,92.5,,0.47,,,,53.0,,
3431,"TUBE WELL AT KULAI, DHALAI",Groundwater,TRIPURA,2022,21.75,,6.62,80.5,,0.32,,,,48.0,,
3432,"TUBE WELL AT CHURAIBARI (INTERSTATE BOUNDRY), NORTH TRIPURA",Groundwater,TRIPURA,2022,22.25,,5.96,103.0,,0.68,,,,60.0,,
3433,"TUBE WELL AT KAMESWAR, INDUSTRIAL ESTATE AREA, NORTH TRIPURA",Groundwater,TRIPURA,2022,22.25,,6.91,101.5,,0.78,,,,55.0,,
3434,"TUBE WELL AT KUMARGHAT, INDUSTRIAL ESTATE AREA, NORTH TRIPURA",Groundwater,TRIPURA,2022,22.25,,6.24,101.0,,0.76,,,,56.0,,
3435,"TUBE WELL AT GOUR NAGAR, NORTH TRIPURA",Groundwater,TRIPURA,2022,22.25,,6.34,103.5,,0.32,,,,57.0,,
3436,"TUBE WELL AT KAILASHAHAR, NORTH TRIPURA",Groundwater,TRIPURA,2022,22.25,,5.99,92.0,,0.32,,,,51.0,,
4185,TUBE WELL AT JIRANIA,Groundwater,TRIPURA,2022,21.5,,6.035,122.0,,0.505,,,,73.0,,
4186,TUBE WELL AT DUKLI INDUSTRIAL AREA,Groundwater,TRIPURA,2022,21.75,,6.17,130.0,,0.32,,,,74.0,,
4187,TUBE WELL AT BADHARGHAT,Groundwater,TRIPURA,2022,21.75,,6.425,124.0,,0.32,,,,69.0,,
4188,TUBE WELL AT ARUNDHATI NAGAR,Groundwater,TRIPURA,2022,21.25,,6.53,119.5,,0.32,,,,65.0,,
4189,TUBE WELL AT NANADANNAGAR,Groundwater,TRIPURA,2022,21.25,,6.59,107.0,,0.32,,,,58.0,,
4190,TUBE WELL AT DEBENDRA CHANDRA NAGAR,Groundwater,TRIPURA,2022,21.0,,5.91,111.0,,0.67,,,,65.0,,
4191,TUBE WELL AT SURYAMONI NAGAR,Groundwater,TRIPURA,2022,21.25,,6.63,100.5,,0.32,,,,55.0,,
4200,TUBE WELL AT BISHALGARH,Groundwater,TRIPURA,2022,21.75,,6.1,100.0,,0.57,,,,55.0,,
4201,TUBE WELL AT SONAMURA,Groundwater,TRIPURA,2022,21.5,,5.81,110.5,,0.56,,,,66.0,,
4202,TUBE WELL AT BISHRAMGANJ,Groundwater,TRIPURA,2022,21.75,,6.115,126.0,,0.32,,,,69.0,,
4203,TUBE WELL AT KARBOOK,Groundwater,TRIPURA,2022,20.75,,5.895,113.0,,0.32,,,,64.0,,
4204,TUBE WELL AT AMARPUR,Groundwater,TRIPURA,2022,21.25,,5.83,107.5,,0.485,,,,61.0,,
4205,"TUBE WELL AT AMAR SAGAR, UDAIPUR",Groundwater,TRIPURA,2022,21.25,,6.59,109.0,,0.52,,,,54.0,,
