stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1736,"Ground Water Quality Station Sardarnagar, U.P",Groundwater,UTTAR PRADESH,2020,Unsafe,25.53,High BOD,24.0,,6.9,662.0,4.6,,,,
1737,"Ground Water Quality Station Captanganj, U.P",Groundwater,UTTAR PRADESH,2020,Unsafe,34.24,"pH Out of Range, High BOD",23.0,,5.8,624.0,5.2,,,,
1738,"Site 1, Industrial Area Near M/S Woodwarm Chemical Ltd., Unnao, U.P",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,28.0,,7.9,605.0,,,,,
1739,"Site 2, Industrial Area Near M/S Amin Sons, Unnao, U.P",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,27.0,,7.4,1024.0,,,,,
1740,"At Roadways Bus Station, Unnao, U.P",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,28.0,,7.4,652.0,,,,,
1741,"Magawara Industrial Area Near M/S Jamjam Tanners, Unnao, U.P",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,27.9,,7.5,848.0,,,,,
1746,"Nagar Palika Tube Well, Sultanpur, U.P",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,19.0,,7.7,788.0,,,,,
1747,"India Marka Hand Pump In Sarowni Block At Raibareilly, U.P",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,20.0,,7.9,859.0,,,,,
1749,"Tube Well At Meerut City, U.P",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,,,,,,,,,
1750,"Tube Well At Bagpat City, U.P",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,,,,,,,,,
1752,"Sahibabad Industrial Area, Ghaziabad, U.P",Groundwater,UTTAR PRADESH,2020,Safe,6.1,None,20.0,,7.65,2250.0,1.1,0.43,,,
1753,"Meerut Road Industrial Area Ghaziabad, U.P",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,20.0,,7.6,1225.0,,0.335,,,
1754,"Hapur Road Industrial Area Ghaziabad, U.P",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,20.0,,7.6,700.0,,0.34,,,
1755,"Pilkhua Industrial Area Ghaziabad, U.P",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,20.0,,7.55,1342.0,,0.32,,,
1756,"Gopiganj Industrial Area Bhadohi, Varanasi, U.P",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,25.5,,7.6,437.0,,1.34,,,
1758,"Ground Around Stp Dinapur, Varanasi, U.P",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,26.0,,7.6,456.0,,1.38,,,
1759,"Iffco, Phoolpur, Allahabad, U.P",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,25.55,,7.2,1172.0,,0.88,,,
2467,"Chandpur Industrial Area, Lahartara, Varanasi",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,26.5,,7.7,495.0,,1.59,,,
2468,"Bhadohi Industrial Area, Development Authority, Sant Ravidas Nagar",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,25.5,,7.8,480.0,,1.25,,,
2469,"At Industrial Area. Naini, Allahabad",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,25.65,,7.25,1308.5,,0.885,,,
2470,"At Industrial Area, Fatehpur",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,25.6,,6.95,1917.5,,1.105,,,
2471,"Gorakhpur Industrial Development Authority Area (Gida), Gorakhpur",Groundwater,UTTAR PRADESH,2020,Unsafe,17.76,High BOD,24.0,,7.2,518.0,3.2,,,,
2472,"Village Daurala, Meerut",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,,,,,,,,,
2473,"Khekra, Baghpat",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,,,,,,,,,
2477,Near Arya Kanya Inter College. Jalaun,Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,19.2,,7.1,975.0,,,,,
2480,"Near Brahman Majra, Pilkhani",Groundwater,UTTAR PRADESH,2020,Safe,0.0,None,18.0,,7.2,290.0,,,,,
1364,"Ramgarh Lake, U.P.",Pond/Tank,UTTAR PRADESH,2020,Unsafe,48.0,"High BOD, High Total Coliform",,20.0,7.8,8.15,462.0,5.5,,23000.0,40000.0
2499,"Samarpur Jheel, Raebareli",Pond/Tank,UTTAR PRADESH,2020,Unsafe,30.75,"pH Out of Range, High BOD, High Total Coliform",,24.5,4.15,8.0,335.0,4.3,0.84,4400.0,6050.0
2500,"Maahil Pond, Urai Tehsil, Jalaun",Pond/Tank,UTTAR PRADESH,2020,Unsafe,55.24,"pH Out of Range, High BOD, High Total Coliform",,27.0,2.2,8.15,500.0,37.0,,13700.0,32000.0
2501,"Laxmi Pond, Jhansi",Pond/Tank,UTTAR PRADESH,2020,Unsafe,61.63,"pH Out of Range, High BOD, High Total Coliform",,25.0,1.8,8.0,500.0,58.0,,18550.0,63500.0
10150,Uttar Pradesh,River,UTTAR PRADESH,2020,Unsafe,8.93,High Fecal Coliform,,8.95,7.75,174.5,1.5,,1000.0,2000.0,8.0
1062,"Ganga At Garhmukteshwar, U.P",River,UTTAR PRADESH,2020,Unsafe,38.15,"High BOD, High Fecal Coliform, High Total Coliform",18.7,8.95,7.75,212.5,9.8,0.5,3570.0,4840.0,330.0
10149,River Ganga At Gharmukteshwar,River,UTTAR PRADESH,2020,Unsafe,7.47,High Fecal Coliform,18.5,9.35,7.65,200.0,2.1,9.4,520.0,910.0,187.0
2488,"Ganga U/S, Anoopshahar",River,UTTAR PRADESH,2020,Unsafe,7.18,High Fecal Coliform,21.0,8.35,7.0,1182.0,1.85,0.35,540.0,1140.0,2.0
2489,"Ganga D/S, Anoopshahar",River,UTTAR PRADESH,2020,Unsafe,9.37,"High Fecal Coliform, High Total Coliform",21.0,8.45,7.15,210.0,1.8,4.1,810.0,2670.0,35.0
1145,"Ganga At Narora (Bulandsahar), U.P.",River,UTTAR PRADESH,2020,Unsafe,11.65,High Fecal Coliform,22.0,8.6,7.1,190.0,2.6,0.42,1065.0,2025.0,11.0
2490,"Ganga At Kachhla Ghat, Aligarh",River,UTTAR PRADESH,2020,Safe,4.73,None,20.0,9.75,7.4,1004.0,1.6,4.72,230.0,325.0,2.0
10151,River Ganga At Farrukabad,River,UTTAR PRADESH,2020,Unsafe,12.54,"High Fecal Coliform, High Total Coliform",23.0,9.35,7.8,242.0,1.9,,1510.0,2850.0,2.0
1063,"Ganga At Kannauj U/S (Rajghat), U.P",River,UTTAR PRADESH,2020,Unsafe,27.81,"High Fecal Coliform, High Total Coliform",23.0,8.85,8.05,286.5,2.4,,6050.0,3100.0,2.0
1066,"Ganga At Kannauj D/S, U.P",River,UTTAR PRADESH,2020,Unsafe,23.92,"High Fecal Coliform, High Total Coliform",23.0,8.45,7.95,335.0,2.65,,3150.0,6800.0,2.0
1146,"Ganga At Bithoor (Kanpur), U.P.",River,UTTAR PRADESH,2020,Unsafe,23.3,"High Fecal Coliform, High Total Coliform",23.5,9.1,8.1,278.0,2.8,,3000.0,6350.0,54.0
1067,"Ganga At Kanpur U/S (Ranighat), U.P",River,UTTAR PRADESH,2020,Unsafe,38.57,"High BOD, High Fecal Coliform, High Total Coliform",25.5,9.15,8.01,284.0,4.6,,5300.0,10450.0,32.5
10154,River Ganga At Bathing Ghat (Bharaoghat),River,UTTAR PRADESH,2020,Unsafe,36.67,"High Fecal Coliform, High Total Coliform",25.5,8.9,8.095,281.5,2.95,,7150.0,12650.0,61.5
