stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
2470,"AT INDUSTRIAL AREA, FATEHPUR",Groundwater,UTTAR PRADESH,2021,25.45,,7.15,1951.5,1.0,1.1,2.0,2.0,,197.5,0.35,
2469,"AT INDUSTRIAL AREA. NAINI, ALLAHABAD",Groundwater,UTTAR PRADESH,2021,25.35,,7.25,1207.5,1.0,0.875,2.0,2.0,,257.0,0.4,
2468,"BHADOHI INDUSTRIAL AREA, DEVELOPMENT AUTHORITY, SANT RAVIDAS NAGAR",Groundwater,UTTAR PRADESH,2021,25.0,,7.75,516.0,,,,,,306.5,,
2467,"CHANDPUR INDUSTRIAL AREA, LAHARTARA, VARANASI",Groundwater,UTTAR PRADESH,2021,24.5,,7.8,549.0,,,,,,319.0,,
1756,"GOPIGANJ INDUSTRIAL AREA BHADOHI, VARANASI, U.P",Groundwater,UTTAR PRADESH,2021,25.25,,7.75,489.0,,,,,,291.0,,
1758,"GROUND AROUND STP DINAPUR, VARANASI, U.P",Groundwater,UTTAR PRADESH,2021,24.75,,7.65,488.0,,,,,,267.0,,
1754,"HAPUR ROAD INDUSTRIAL AREA GHAZIABAD, U.P",Groundwater,UTTAR PRADESH,2021,21.5,,7.3,710.0,1.0,0.305,2.0,2.0,,357.5,0.2,
1759,"IFFCO, PHOOLPUR, ALLAHABAD, U.P",Groundwater,UTTAR PRADESH,2021,25.3,,7.15,1140.0,1.0,0.895,2.0,2.0,,238.5,0.4,
1747,"INDIA MARKA HAND PUMP IN SAROWNI BLOCK AT RAIBAREILLY, U.P",Groundwater,UTTAR PRADESH,2021,17.5,,8.15,934.0,,,2.0,2.0,,585.0,1.2,
2475,"INDUSTRIAL AREA, SULTANPUR ROAD",Groundwater,UTTAR PRADESH,2021,18.0,,8.0,919.5,,,2.0,2.0,,715.0,0.7,
1760,"M/S KANORIA CHEMICAL SONBHADRA, U.P",Groundwater,UTTAR PRADESH,2021,,,8.0,2600.0,,,,,,1306.0,,
1753,"MEERUT ROAD INDUSTRIAL AREA GHAZIABAD, U.P",Groundwater,UTTAR PRADESH,2021,22.0,,7.35,849.0,1.0,0.3,2.0,2.0,,537.5,0.2,
1757,"MIRZAPUR INDUSTRIAL AREA, U.P",Groundwater,UTTAR PRADESH,2021,,,7.3,694.0,,,,346.0,,345.0,,
1746,"NAGAR PALIKA TUBE WELL, SULTANPUR, U.P",Groundwater,UTTAR PRADESH,2021,17.5,,8.0,776.0,,,2.0,2.0,,508.0,0.65,
2477,NEAR ARYA KANYA INTER COLLEGE. JALAUN,Groundwater,UTTAR PRADESH,2021,23.0,,7.5,948.0,,,,,,568.0,,
2481,"NEAR PEER BEGRAJ INDSTRIAL AREA, MUZAFFARNAGAR",Groundwater,UTTAR PRADESH,2021,21.5,,7.5,462.5,,,,,,348.5,,
1755,"PILKHUA INDUSTRIAL AREA GHAZIABAD, U.P",Groundwater,UTTAR PRADESH,2021,21.5,,7.2,1380.0,1.0,0.3,2.0,2.0,,836.0,0.2,
1752,"SAHIBABAD INDUSTRIAL AREA, GHAZIABAD, U.P",Groundwater,UTTAR PRADESH,2021,22.5,,7.1,2086.0,1.1,0.35,2.0,2.0,,1192.0,0.2,
1751,"TUBE WELL IN INDUSTRIAL AREA AT GAJRAULA, MORADABAD, U.P",Groundwater,UTTAR PRADESH,2021,,,7.4,742.0,1.0,0.3,2.0,24.0,,464.0,0.4,
1761,"TUBE WELL IN SINGRAULI INDUSTRIAL AREA, U.P",Groundwater,UTTAR PRADESH,2021,,,7.4,186.0,,,,,,94.0,,
2474,UNCHAHAAR (NEAR THERMAL POWER PLANT),Groundwater,UTTAR PRADESH,2021,19.0,,7.85,861.0,,,2.0,2.0,,582.0,0.75,
1364,"RAMGARH LAKE, U.P.",Pond/Tank,UTTAR PRADESH,2021,,20.5,8.3,8.55,503.5,6.0,,35000.0,59500.0,,,
2499,"SAMARPUR JHEEL, RAEBARELI",Pond/Tank,UTTAR PRADESH,2021,,22.5,6.4,7.9,311.0,4.5,0.86,3950.0,7100.0,,,
2501,"LAXMI POND, JHANSI",Pond/Tank,UTTAR PRADESH,2021,,20.0,5.15,7.8,626.5,10.5,,,,,,
2500,"MAAHIL POND, URAI TEHSIL, JALAUN",Pond/Tank,UTTAR PRADESH,2021,,20.6,2.95,8.2,1263.0,24.0,,4300.0,6300.0,,,
3050,WATER WORKS- GHAZIABAD,Drain/STP/WTP,UTTAR PRADESH,2021,13.5,6.5,7.2,727.5,,,135.0,1950.0,,,,
30006,RIVER GANGA AT BIJNOR (U.P.),River,UTTAR PRADESH,2021,19.5,8.8,6.85,196.0,1.6,0.42,85100.0,1700.0,176.5,,,
10150,"RIVER GANGA AT MADHYA GANGA BARRAGE, BIJNOR",River,UTTAR PRADESH,2021,,9.25,7.95,10905.5,1.25,,785.0,1170.0,2.0,,,
1062,"RIVER GANGA AT GARHMUKTESHWAR, U.P",River,UTTAR PRADESH,2021,23.5,8.8,7.5,330.5,2.05,0.35,461.0,801.0,141.0,,,
10149,RIVER GANGA AT GHARMUKTESHWAR,River,UTTAR PRADESH,2021,23.5,9.3,7.3,288.0,1.5,3.95,230.0,565.0,95.0,,,
2488,"RIVER GANGA U/S, ANOOPSHAHAR",River,UTTAR PRADESH,2021,25.0,7.85,7.1,146.0,1.95,,655.0,1265.0,,,,
2489,"RIVER GANGA D/S, ANOOPSHAHAR",River,UTTAR PRADESH,2021,25.0,8.45,7.2,146.0,1.35,,715.0,1515.0,430.0,,,
1145,RIVER GANGA AT NARORA (BULANDSAHAR),River,UTTAR PRADESH,2021,24.5,7.7,7.3,153.0,2.0,,810.0,1800.0,,,,
2490,"RIVER GANGA AT KACHHLA GHAT, ALIGARH",River,UTTAR PRADESH,2021,24.0,8.6,7.55,139.0,1.2,,245.0,405.0,2.0,,,
10151,RIVER GANGA AT FARRUKABAD,River,UTTAR PRADESH,2021,21.5,9.15,8.25,307.0,2.9,,3325.0,8800.0,301.0,,,
1063,"RIVER GANGA AT KANNAUJ U/S (RAJGHAT), U.P",River,UTTAR PRADESH,2021,24.25,8.25,8.25,279.5,2.85,,1400.0,3050.0,1951.0,,,
1066,"RIVER GANGA AT KANNAUJ D/S, U.P",River,UTTAR PRADESH,2021,24.0,7.95,8.2,268.5,3.95,,1900.0,3250.0,1651.0,,,
1146,"RIVER GANGA AT BITHOOR (KANPUR), U.P.",River,UTTAR PRADESH,2021,23.75,8.85,8.35,252.0,3.15,,1800.0,3600.0,23.5,,,
1067,"RIVER GANGA AT KANPUR U/S (RANIGHAT), U.P",River,UTTAR PRADESH,2021,24.0,8.45,8.25,256.5,3.5,,2600.0,4750.0,11.0,,,
10154,RIVER GANGA AT BATHING GHAT (BHARAOGHAT),River,UTTAR PRADESH,2021,24.0,8.55,8.3,260.0,3.35,,2150.0,4000.0,40.0,,,
10155,RIVER GANGA AT D/S (SHUKLAGANJ),River,UTTAR PRADESH,2021,21.75,8.4,8.2,272.0,3.6,,2700.0,5250.0,27.0,,,
1068,"RIVER GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",River,UTTAR PRADESH,2021,21.75,7.7,8.05,297.5,4.25,,13900.0,29000.0,21.0,,,
10157,RIVER GANGA AT BATHING GHAT (JAJMAU BRIDGE),River,UTTAR PRADESH,2021,24.25,7.85,8.2,278.0,4.1,,13250.0,19650.0,26.0,,,
1147,"RIVER GANGA AT DALMAU (RAI BAREILLY), U.P.",River,UTTAR PRADESH,2021,22.0,8.7,8.0,275.5,4.0,0.83,1750.0,3150.0,236.0,,,
2498,"RIVER GANGA AT KALA KANKAR, RAEBARELI",River,UTTAR PRADESH,2021,22.0,9.05,8.0,279.0,3.75,0.81,1750.0,3150.0,231.0,,,
1046,"RIVER GANGA AT ALLAHABAD (RASOOLABAD), U.P.",River,UTTAR PRADESH,2021,24.35,9.25,8.1,286.5,2.65,0.605,1005.0,2350.0,,,,
2487,"RIVER GANGA AT KADAGHAT, ALLAHABAD",River,UTTAR PRADESH,2021,24.3,8.65,7.9,245.0,1.95,0.52,810.0,1480.0,,,,
1049,"RIVER GANGA AT ALLAHABAD D/S (SANGAM), U.P.",River,UTTAR PRADESH,2021,24.45,8.55,8.05,316.0,2.45,0.61,1040.0,2200.0,,,,
10158,"RIVER GANGA A/C TAMSA RIVER, SIRSA, SON BARSA",River,UTTAR PRADESH,2021,24.4,8.5,8.0,319.5,2.5,0.585,865.0,1600.0,,,,
