stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
3452,GROUND WATER AT BHAGWAN INDUSTRIAL AREA- 1,Groundwater,UTTARAKHAND,2021,18.0,,7.9,420.0,1.0,2.6,2.0,2.0,,260.0,0.2,0.001
3453,"GROUND WATER AT BHAGWAN INDUSTRIAL AREA- 2, SIKANDERPUR, LAKHESWARI, ROORKEE, HARIDWAR",Groundwater,UTTARAKHAND,2021,20.0,,7.9,640.5,1.0,1.95,2.0,2.0,,406.0,0.3,0.001
3448,GROUND WATER AT KASHIPUR BAJPUR ROAD- 1,Groundwater,UTTARAKHAND,2021,30.0,,7.2,320.0,6.0,0.3,,,,218.0,0.5,0.001
3449,GROUND WATER AT KASHIPUR BAJPUR ROAD- 2,Groundwater,UTTARAKHAND,2021,27.5,,7.45,332.0,2.15,0.6,,,,222.0,0.5,0.001
3446,GROUND WATER AT KASHIPUR MORADABAD ROAD- 1,Groundwater,UTTARAKHAND,2021,25.5,,7.4,360.0,1.45,0.3,,,,221.5,0.5,0.001
3447,GROUND WATER AT KASHIPUR MORADABAD ROAD- 2,Groundwater,UTTARAKHAND,2021,24.5,,7.3,362.0,1.85,0.6,,,,235.5,0.5,0.001
3442,GROUND WATER AT PANTNAGAR INDUSTRIAL AREA- 1,Groundwater,UTTARAKHAND,2021,28.0,,7.35,299.0,1.9,0.3,,,,187.5,0.8,0.001
3443,GROUND WATER AT PANTNAGAR INDUSTRIAL AREA- 2,Groundwater,UTTARAKHAND,2021,28.0,,7.5,286.5,2.2,0.3,,,,193.5,0.8,0.001
3454,"GROUND WATER AT ROORKEE INDUSTRIAL AREA- 1, CHC BHAGWANPUR,HARIDWAR",Groundwater,UTTARAKHAND,2021,20.5,,8.1,573.0,1.0,3.0,2.0,2.0,,357.5,0.2,0.001
3455,"GROUND WATER AT ROORKEE INDUSTRIAL AREA- 2, SUNEHRA",Groundwater,UTTARAKHAND,2021,20.0,,7.5,286.0,1.0,0.3,,,,183.0,0.2,0.001
3444,GROUND WATER AT SANTIPURI KICHHA- 1,Groundwater,UTTARAKHAND,2021,27.5,,7.3,328.0,2.55,0.3,,,,182.0,0.4,0.001
3445,GROUND WATER AT SANTIPURI KICHHA- 2,Groundwater,UTTARAKHAND,2021,27.5,,7.15,318.0,1.9,0.3,,,,209.5,0.6,0.001
3456,"GROUND WATER AT SELAQUI INDUSTRIAL AREA- 1, DEHRADUN",Groundwater,UTTARAKHAND,2021,19.0,,6.4,199.5,1.0,0.3,2.0,2.0,,125.5,0.5,0.001
3457,"GROUND WATER AT SELAQUI INDUSTRIAL AREA- 2, DEHRADUN",Groundwater,UTTARAKHAND,2021,19.5,,6.65,239.5,1.0,0.3,2.0,2.0,,156.5,0.4,0.001
3450,"GROUND WATER AT SIDCUL INDUSTRIAL AREA- 1, ROSHANABAD COLLECTORATE, HARIDWAR",Groundwater,UTTARAKHAND,2021,20.0,,7.25,578.0,1.0,1.2,2.0,2.0,,599.0,0.2,0.001
3451,"GROUND WATER AT SIDCUL INDUSTRIAL AREA- 2, SALEEMPUR CHOWK,ROORKEE,HARIDWAR",Groundwater,UTTARAKHAND,2021,20.0,,7.55,534.5,1.0,2.05,2.0,2.0,,334.5,0.2,0.001
3440,GROUND WATER AT SITAR GANJ INDUSTRIAL AREA- 1,Groundwater,UTTARAKHAND,2021,25.5,,7.35,473.5,3.05,0.3,2.0,2.0,,243.0,0.6,0.001
3441,GROUND WATER AT SITAR GANJ INDUSTRIAL AREA- 2,Groundwater,UTTARAKHAND,2021,25.5,,7.15,469.5,3.5,0.3,2.0,2.0,,240.0,0.7,0.001
1748,HANDPUMP IN VILLAGE DAMAUDA AT KASHIPUR NEAR M/S INDIA GLYCOLES LTD.,Groundwater,UTTARAKHAND,2021,27.0,,7.9,274.0,1.85,0.3,2.0,2.0,,169.5,0.4,0.001
3437,BHEEMTAL LAKE,Pond/Tank,UTTARAKHAND,2021,,17.0,8.2,7.6,185.0,1.3,0.345,120.0,375.0,,,
1362,NAINI LAKE AT NAINITAL (WATER INTAKE POINT),Pond/Tank,UTTARAKHAND,2021,,15.5,8.6,7.5,405.0,1.5,0.34,245.0,635.0,,,
2726,"UPPER GANGA CANAL D/S HARIKIPAURI, HARIDWAR",Canal,UTTARAKHAND,2021,20.65,10.1,7.7,237.0,1.6,0.3,51.0,90.0,33.0,,,
3998,"UPPER GANGA CANAL AT LAL TA RAO BRIDGE, HARIDWAR",Canal,UTTARAKHAND,2021,21.0,9.2,7.8,180.5,1.6,0.35,51.0,78.5,14.0,,,
3999,"UPPER GANGA CANAL AT DAM KOTHI, HARIDWAR",Canal,UTTARAKHAND,2021,21.0,9.0,7.65,388.0,1.6,0.4,39.0,73.5,9.2,,,
20048,SWARG ASHRAM - 1,Pond/Tank,UTTARAKHAND,2021,20.5,9.6,7.5,7.7,1.2,1.21,20.0,41.0,,,,
20049,LAKKAR GHAT- OXIDATION PONDS,Pond/Tank,UTTARAKHAND,2021,20.0,9.3,7.5,7.7,1.3,0.81,30.0,36.0,,,,
20050,JAGJITPUR,Pond/Tank,UTTARAKHAND,2021,20.4,9.35,8.0,7.75,1.6,0.36,66.0,112.0,,,,
1491,"RIVER BHAGIRATHI AT GANGOTRI,",River,UTTARAKHAND,2021,0.1,10.4,7.4,263.0,1.0,0.32,2.0,2.0,2.0,,,
1484,RIVER ALAKNANDA B/C MANDAKINI AT RUDRA PRAYAG,River,UTTARAKHAND,2021,15.0,10.0,7.6,174.0,1.0,0.345,2.0,2.0,2.0,,,
1486,RIVER ALAKNANDA A/C MANDAKINI AT RUDRAPRAYAG,River,UTTARAKHAND,2021,14.0,10.0,7.65,264.0,1.0,0.47,2.0,2.0,2.0,,,
1488,"RIVER BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,",River,UTTARAKHAND,2021,16.0,9.6,7.55,153.5,1.0,0.33,2.0,2.0,2.0,,,
1487,RIVER ALAKNANDA B/C TO BHAGIRATHI AT DEVPRAYAG,River,UTTARAKHAND,2021,16.0,9.8,7.65,149.5,1.0,0.57,2.0,2.0,2.0,,,
1489,RIVER ALAKNANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,River,UTTARAKHAND,2021,16.5,9.9,7.7,142.5,1.0,0.67,2.0,2.0,2.0,,,
1485,"RIVER MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,",River,UTTARAKHAND,2021,14.0,9.7,7.65,110.0,1.0,0.34,2.0,2.0,2.0,,,
1060,"RIVER GANGA AT RISHIKESH U/S,",River,UTTARAKHAND,2021,16.5,10.1,7.7,264.0,1.1,1.03,13.5,22.5,2.0,,,
