stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1766,"MINE PIT WATER ASSANSOL, WEST BENGAL",Groundwater,WEST BENGAL,2020,30.0,,7.77,676.0,,,,,,,376.0,0.51
1767,"DURGAPUR TOWN, NEAR IISCO, BURDWAN, WEST BENGAL",Groundwater,WEST BENGAL,2020,29.0,,7.48,293.0,,,,,,,188.0,0.33
1768,"DURGAPUR TOWN, BURDWAN, WEST BENGAL",Groundwater,WEST BENGAL,2020,28.0,,6.86,472.0,,,2.0,4.0,,,346.0,0.21
1769,"INSIDE HINDUSTAN LIVER FACTORY, HALDIA, WEST BENGAL",Groundwater,WEST BENGAL,2020,35.0,,6.65,1219.0,,0.5,,,,,704.0,0.28
1770,"NEAR IOC REFINERY HALDIA, WEST BENGAL",Groundwater,WEST BENGAL,2020,33.0,,6.88,1755.0,,0.4,,,,,1094.0,0.3
1771,"KALYANI INDUSTRIAL AREA, NADIA, WEST BENGAL",Groundwater,WEST BENGAL,2020,29.0,,7.73,904.0,,0.5,,,,,452.0,0.26
1772,"BARSAT MUNICIPALITY NORTH 24-P, WEST BENGAL",Groundwater,WEST BENGAL,2020,27.0,,8.1,390.0,,,,,,,220.0,0.28
1773,"TANGRA, CALCUTTA , WEST BENGAL",Groundwater,WEST BENGAL,2020,29.0,,7.08,1931.0,,0.7,80.0,230.0,,,1374.0,
1774,"TOPSIA CALCUTTA, WEST BENGAL",Groundwater,WEST BENGAL,2020,30.0,,7.12,1918.0,,0.7,,,,,1250.0,0.32
1775,"DHAPA CALCUTTA, WEST BENGAL",Groundwater,WEST BENGAL,2020,26.0,,7.03,1744.0,,1.5,,,,,854.0,0.38
1776,"GARIA CALCUTTA, WEST BENGAL",Groundwater,WEST BENGAL,2020,29.0,,7.16,1017.0,,0.7,,,,,488.0,0.73
1777,"BEHALA CALCUTTA, WEST BENGAL",Groundwater,WEST BENGAL,2020,29.0,,7.47,1048.0,,1.6,4.0,11.0,,,334.0,0.32
1778,"DOMJUR HOWRAH, WEST BENGAL",Groundwater,WEST BENGAL,2020,27.0,,7.28,776.0,,,,,,,308.0,0.28
1779,"DANKUNI (NEAR COAL COMPLEX), WEST BENGAL",Groundwater,WEST BENGAL,2020,28.0,,7.9,1081.0,,0.7,16.0,23.0,,,642.0,0.47
1813,"RISHRA, WEST BENGAL",Groundwater,WEST BENGAL,2020,28.0,,7.88,753.0,,,,,,,375.0,0.42
1931,COSSIPORE - NORTH KOLKATA,Groundwater,WEST BENGAL,2020,29.0,,7.43,1739.0,,1.4,,4.0,,,916.0,0.34
1932,CENTRAL KOLKATA,Groundwater,WEST BENGAL,2020,30.0,,7.15,565.0,,0.7,,,,,316.0,0.55
1933,"NEAR GALVANISATION UNIT, HOWRAH",Groundwater,WEST BENGAL,2020,30.0,,7.19,1683.0,,0.5,13.0,27.0,,,784.0,0.44
1934,CENTRAL HOWRAH- RESIDENTAIL AREA,Groundwater,WEST BENGAL,2020,29.0,,7.55,1027.0,,0.4,,,,,558.0,0.42
1935,INSIDE KOLKATA LEATHER COMPLEX,Groundwater,WEST BENGAL,2020,27.0,,7.27,1434.0,,2.7,,,,,532.0,0.39
1936,RESIDENTIAL AREA - SONARPUR,Groundwater,WEST BENGAL,2020,29.0,,7.5,927.0,,1.6,,,,,350.0,0.28
1937,RAJARHAT - NEW TOWNSHIP,Groundwater,WEST BENGAL,2020,30.0,,7.02,2084.0,,2.4,,,,,1066.0,0.66
1938,BSIRHAT MUNICIPALITY,Groundwater,WEST BENGAL,2020,27.0,,8.49,1367.0,,0.7,4.0,7.0,,,836.0,
1939,BARRAKPORE MUNICIPALITY,Groundwater,WEST BENGAL,2020,28.0,,7.66,409.0,,0.5,,,,,216.0,0.55
1940,NEAR THE PHOSPHATE COMPANY-RISHRA,Groundwater,WEST BENGAL,2020,29.0,,7.58,633.0,,,9.0,12.0,,,346.0,0.32
1941,"NEAR FLY ASH DUMPING SITE-KUNTIGHAT, BANDEL",Groundwater,WEST BENGAL,2020,28.0,,7.93,416.0,,0.5,,2.0,,,276.0,0.23
1942,NEAR EXIDE INDUSTRIES- HALDIA,Groundwater,WEST BENGAL,2020,32.0,,7.03,1313.0,,0.8,,,,,778.0,0.27
1943,"INSIDE TATA METALIKS, KHARAGPUR",Groundwater,WEST BENGAL,2020,29.0,,6.85,554.0,,0.4,,,,,292.0,
1944,KHARAGPUR INDUSTRIAL AREA,Groundwater,WEST BENGAL,2020,29.0,,6.83,128.0,,2.1,,,,,,
1945,ENGLISH BAZAR- MALDAH,Groundwater,WEST BENGAL,2020,25.0,,7.84,1125.0,,0.7,2.0,7.0,,,378.0,0.31
2510,GEOKHALI BUNGLOW MIDNAPUR-EAST,Groundwater,WEST BENGAL,2020,30.0,,7.14,1016.0,,0.8,,,,,592.0,0.3
2515,"SDO OFFICE, RANAGHAT",Groundwater,WEST BENGAL,2020,27.0,,7.6,589.0,,,,,,,272.0,0.37
2516,"SDO OFFICE, KRISHNANAGAR",Groundwater,WEST BENGAL,2020,28.0,,8.22,691.0,,,,,,,410.0,0.21
2526,FULBARI BARRAGE,Groundwater,WEST BENGAL,2020,,,7.78,11.0,,1.2,60.0,140.0,,,,
2528,GROUND WATER POINT INSIDE BURDWAN UNIVERSITY,Groundwater,WEST BENGAL,2020,30.0,,6.92,421.0,,0.5,,,,,356.0,
2529,GROUND WATER POINT NEAR BURDWAN STATION,Groundwater,WEST BENGAL,2020,30.0,,6.89,1239.0,,0.6,,,,,826.0,
2530,HOT SPRING AT BAKRESHWAR,Groundwater,WEST BENGAL,2020,63.0,,9.37,565.0,,,,,,,400.0,0.26
2533,SURI TOWN NEAR BUS STAND,Groundwater,WEST BENGAL,2020,31.0,,7.1,765.0,,,2.0,4.0,,,584.0,0.51
2535,VISVA BHARATI,Groundwater,WEST BENGAL,2020,31.0,,7.3,491.0,,,,,,,294.0,0.48
2536,NALHATI RAILWAY STATION OF BIRBHUM,Groundwater,WEST BENGAL,2020,30.0,,7.15,874.0,,0.6,2.0,6.0,,,728.0,0.51
2537,BOLPUR NEAR RAILWAY STATION,Groundwater,WEST BENGAL,2020,30.0,,6.97,297.0,,0.6,,,,,186.0,0.44
2538,MOREGRAM CROSSING,Groundwater,WEST BENGAL,2020,29.0,,7.5,293.0,,,,,,,204.0,0.23
2540,SATI GHAT AT BANKURA TOWN,Groundwater,WEST BENGAL,2020,29.0,,7.18,1164.0,,,,,,,760.0,0.47
2542,DWARIKA AT BISHNUPUR TOWN,Groundwater,WEST BENGAL,2020,28.5,,6.24,281.0,,0.6,,,,,216.0,0.21
2543,SDO OFFICE AT BISHNUPUR TOWN,Groundwater,WEST BENGAL,2020,28.0,,7.74,180.0,,0.7,,,,,172.0,0.36
2545,GROUND WATER POINT AT PURULIA RK MISSION,Groundwater,WEST BENGAL,2020,29.0,,6.94,1653.0,,,,,,,1230.0,
2546,ULUBERIA COLLEGE AT HOWRAH,Groundwater,WEST BENGAL,2020,29.0,,7.15,1020.0,,3.1,,,,,242.0,0.23
2547,"AMTOLA ON DIAMOND HARBOUR ROAD, 24 PARGANAS (S)",Groundwater,WEST BENGAL,2020,29.0,,7.02,6042.0,2.6,1.3,,,,,4012.0,0.7
2548,"HIDCO OFFICE, RAJARHAT",Groundwater,WEST BENGAL,2020,31.0,,7.41,253.0,2.3,1.4,8.0,17.0,,,24.0,0.34
4706,GROUND WATER AT KHARDAH,Groundwater,WEST BENGAL,2020,28.0,,7.52,1041.0,,0.4,,,,,644.0,0.51
4707,GROUND WATER AT NAIHATI,Groundwater,WEST BENGAL,2020,30.0,,7.91,231.0,,,,,,,148.0,0.32
4708,GROUND WATER AT BERHAMPORE,Groundwater,WEST BENGAL,2020,28.0,,7.91,864.0,,,7.0,9.0,,,490.0,0.35
4709,GROUND WATER AT CHINSURA,Groundwater,WEST BENGAL,2020,29.0,,7.94,289.0,,0.6,,,,,150.0,0.38
4712,BORE WELL INSIDE M/S UNITED PHOSPHOROUS LIMITED,Groundwater,WEST BENGAL,2020,32.0,,7.12,2262.0,1.1,0.5,,,,,1582.0,0.24
4713,TUB WELL BESIDE GREEN BELT CANAL POINT NO.8,Groundwater,WEST BENGAL,2020,32.0,,7.02,1387.0,,,,,,,876.0,0.23
4714,GROUND WATER AT ANGADPUR ANGADPUR DURGAPUR,Groundwater,WEST BENGAL,2020,28.0,,8.04,454.0,,,2.0,6.0,,,352.0,0.21
4715,GROUND WATER AT MUCHIPARA DURGAPUR,Groundwater,WEST BENGAL,2020,28.0,,7.63,232.0,,,,,,,118.0,0.34
4716,"GROUND WATER AT HURALALPUR, PURULIA",Groundwater,WEST BENGAL,2020,28.5,,7.41,1084.0,,0.5,,,,,678.0,0.31
4721,GROUND WATER AT MATIGARA BAZAAR,Groundwater,WEST BENGAL,2020,26.0,,7.4,86.0,,1.7,,,,,,0.22
