stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
2547,"Amtola On Diamond Harbour Road, 24 Parganas (S)",Groundwater,WEST BENGAL,2021,Safe,2.79,None,29.0,,7.45,4203.0,1.0,0.75,2.0,5.0,
1939,Barrakpore Municipality,Groundwater,WEST BENGAL,2021,Safe,2.79,None,30.5,,7.85,425.5,1.0,0.4,2.0,2.0,
1772,"Barsat Municipality North 24-P, West Bengal",Groundwater,WEST BENGAL,2021,Safe,2.79,None,29.5,,7.55,632.0,1.0,0.3,3.0,3.5,
1777,"Behala Calcutta, West Bengal",Groundwater,WEST BENGAL,2021,Safe,2.79,None,29.5,,7.35,1342.5,1.0,0.3,2.0,3.0,
2537,Bolpur Near Railway Station,Groundwater,WEST BENGAL,2021,Safe,2.79,None,29.5,,7.4,429.0,1.0,0.39,2.0,2.0,
1938,Bsirhat Municipality,Groundwater,WEST BENGAL,2021,Safe,2.82,None,29.5,,8.25,1730.5,1.0,0.3,8.0,9.5,
1934,Central Howrah-Residentail Area,Groundwater,WEST BENGAL,2021,Safe,2.79,None,29.5,,7.25,2483.5,1.0,0.3,2.0,2.0,
1932,Central Kolkata,Groundwater,WEST BENGAL,2021,Safe,2.79,None,30.0,,7.6,554.5,1.0,0.3,2.0,2.0,
1931,Cossipore - North Kolkata,Groundwater,WEST BENGAL,2021,Safe,2.79,None,29.5,,7.3,2578.5,1.0,0.3,2.0,7.5,
1779,"Dankuni (Near Coal Complex), West Bengal",Groundwater,WEST BENGAL,2021,Safe,2.79,None,27.5,,7.5,5407.5,1.0,0.5,2.0,2.0,
1775,"Dhapa Calcutta, West Bengal",Groundwater,WEST BENGAL,2021,Safe,2.79,None,29.5,,7.1,1556.0,1.0,0.3,2.0,2.0,
