monitoring_location,stn_code
"Samarla Kota Canal, Kakinada, East Godavari",2354
"Tulje Bagh Canal, Tekri Drain, Kakinada, East Godavari",2355
"Budameru Canal Nr Bdg At Nh-5, Keesarapally, Krishna",3051
"Guntathippa Drain B/C With Ryves Canal At Ramavarappadu, Krishna",3052
"Tulia Bagh Drain At Vemulavada, East Godavari",3053
"Outlet Of Stp On Godavari, Rajahmundry, East Godavari",3067
Well At Vijaywada,26
"Bore Well. - Krishna Murthy, D.No. 48-16-43 Autonagar Vijjayawada, Krisna Dist",1513
"Bore Well - Vijay Kumar Autonagar Vijayawada, Krishna Dist",1514
Bore Well Of Navlok Gardens Nellore,1516
Bore Well. - Tungbhadra River Near Kurnool,1517
"Bore Well. - Nandyal, Kurnool Dist",1518
"Bore Well - Nagiri, Chittoor Dist",1519
"Bore Well. - Swarnamukhi River, Srikalahasti, Chittoor Dist",1520
"Bore Well. - Near Rama Temple , Ward No.2 , Mindi , Visakhapatnam",1521
Open Well. Peddanuyyi - Vizianagaram,1522
"Bore Well - Near M/S Andhra Sugars Ltd. , Kovvur , W.G.Dist",1523
"Open Well. -Near Partap Nagar Briidge - Kakinada , E.G.Dist",1524
"Bore Well Near Village Secretariat, Pathapadu (V), Krishna",3087
"Hand Pump At Tanam Vill., Vishakhapatnam",3089
"Hand Pump At Pittavanipalem, Vishakhapatnam",3090
"Bore Well At Kapuluppada Dumpsite, Vishakhapatnam",3091
"Bore Well At Arinama Akkivalasa, Srikakulam",3092
"B/W At Alladapalem Village, Pydibhimavaram, Distt Srikakulam",3093
Nagavalli At Thotapalli Regulator,1448
"Vamshadhara, Kalingapatnam, Vizianagaram",2352
"Pulicate Lake , Nellore District",1790
"Kondacharla-Aava Lake, Parawada Pharma City, Vishakhapatnam",2353
Godavari At Polavaram,14
Godavari U/S Rajahmundry,1218
Godavari D/S Rajamundry Of Nalla Channel,2371
Godavari D/S Rajahmundry,1219
Godavari U/S Rajamundry Of Nalla Channel,2370
"Krishna A/C With Tungabhadra, Sangameshwaram",1175
"Vedadri , Guntur Dist",1786
"Amaravati , Guntur Dist",1787
Krishna At Vijaywada,25
"Hamsala Deevi , Guntur Dist",1782
"Krishna D/S Of Srishailam, Kurnool",3083
"Manthralayam , Kurnool Dist",1785
"Tunghabhadra U/S Kurnool, Bavapuram",1174
"Palleru B/C. With Krishna, Jaggayyapet",1178
"Hundri, Joharpur(V), Near Temple, Kurnool",2350
"Pennar B/Cwith Chitravathi, Tadpatri, Unganoor",1255
