monitoring_location,stn_code
"Dikrong River At Nirjuli,",3096
"Dibang River At Roing,",3106
"Dihing River At Miao,",3107
"Gai Nadi Near Hss Likabali,",3105
"River Ganga At Chandrapur, Itanagar,",3095
"River Dikrong At Nirjuli,",3096
"River Pachin At Naharlagun (Below Barapani Bridge),",3103
River Dibang At Roing (U/S),3106
River Dihing At Miao (U/S Of Noa Dihing),3107
"River Senki At Chandranagar, Itanagar, (U/S Of Pachin River)",3095
River Dikrong At Nirjuli (U/S),3096
River Subansiri At Gerukamukh,3097
"River Siang At Ranaghat, Near Rcc Bridge, Pasighat(U/S)",3098
"River Gai Nadi, Near Hss Likabali (D/S)",3105
River Bereng At Chowkham,3108
River Lohit At Alubari (D/S),3099
River Namchik At Kharsang,3100
"River Noa Dihing At Namsai, (D/S Of Dihing)",3109
"River Pachin At Naharlagun (Below Barapani Bridge), (D/S Of River Senki)",3103
