monitoring_location,stn_code
"Digboi, Tinsukia Distt",1533
Karbi Anglong Distt,1534
Sibsagar,1535
(Jorhat,1537
Silchar,1538
Barpeta,1539
Bonaigaon,1540
Guwahati,1541
"Ground Water From Ledo, Margherita",2243
Ground Water From Nazira,2244
Ground Water From Numaligarh (Near Nrl Te Labor Colony),2245
Ground Water From Semenchapari,2246
Ground Water From Silapathar,2247
Ground Water From Lakhimpur Town,2248
Ground Water From Tezpur (Mission Chariali),2249
Ground Water From Nagaon (Panigaon),2250
Ground Water From Jagiroad Near Hpc Effluent Discharge Point,2251
Ground Water Near Msw Dumping Site At Garchuk-Guwahati,2252
Ground Water From Nalbari,2253
Ground Water From Barpeta Road(Rly Station),2254
"Ground Water Near Bprl, Dhaligaon",2255
Ground Water From Kokrajhar District (Hs School ),2256
Ground Water From Dhubri District (College Nagar ),2257
Ground Water From Hamren,2260
Ground Water From Haflong,2261
Ground Water From Karimganj (College),2262
Ground Water From Hialakandi (Near,2263
Ground Water In Panchgram Market Near Cachar Paper Mill,2264
Mer Beel At Madhabpur,2205
Daloni Beel Near Jogighopa,2206
Elangabeel System Pond (Connected To R. Kolang),1263
Bor Beel At Jakai,2207
"Borpukhuri, Nazira",2208
"Gaurisagar Tank, Gaurisagar",2209
"Rajmaw Pukhuri, Jorhat",2210
"Padumpukhuri, Tezpur",2211
"Gophur Tank, Gophur",2212
"Jaipal Pukhuri, Sipajhar",2213
"Botodriva Satra Pond, Nagaon",2214
Saran Beel,2215
"Dighali Pukhuri, Guwahati",2216
"Subhagya Kunda Pond Kamakhya Temple, Guwahati",2217
"Deepar Beel At Boragaon Near Iasst, Guwahati",2218
"Bishnu Puskar Pukhuri Of Hayagrib Madhab Temple, Hajo",2219
"Chand Dubi Beel, Chand Dubi",2220
"Ganga Pukhuri, Nalbari (Gordon School)",2221
Rajadinia Pukhuri At Abhayapuri,2222
Mahamaya Mandir Pukhuri,2223
Rajapukhuri At Gauripur,2224
"Baskandi Pond Inside The Baskandi Madrasa, Baskandi",2225
Sivasagar Tank (Borpukhuri) Near Sivadol,2226
"Hordai Pukhuri, Charaidew",2227
Gala Beel At Dergaon,2228
"Goysagar Tank, Sibsagar",1532
Brahamputra At Kherghat (A/C With Dibang & Dihang),1260
Brahamputra At Dibrugarh,1030
Brahamputra At Nimatighat,1262
Brahmputra At Dhenukhapahar,1526
Brahamputra At Pandu,1031
Brahmaputra At Dhubri,2066
Brahamputra At Jogijhoga Near Bridge,1299
"Brahmputra Near Water Intake Point At Kacharighat, Panbazar, Guwahati",2069
"Brahmaputra River At Chandrapur, Guwahati",2064
"Brahmputra River At Sualkuchi, Dist. Kamrup",2067
"Kathakal, U/S At Matijuri, Dist. Hailakandi",2068
Dhansiri At Golaghat,1259
"Dhansiri At Nagaland- Assam Border, Dimapur",1928
Barak D/S Of Silchar,2240
Beki At Nh-37 Crossing At Barpeta Road,2238
Bharalu At Guwahati,1528
Bhogdoi At Jorhat,1527
"Boginadi Near Bridge Nh-52, Lakhimpur",2233
Borak At Panchagram,1423
Burhidihing At Margherita,1422
Burhidihing At Duliajan (Intake Point Of Oil India Ltd.),2230
Buridihing D/S Near Duliajan Tinsukia,2062
Deepar Beel,1529
"Digboi At Lakhipathe, Reserve Forest, Digboi",1530
Dikhow At Dikhow Bridge Sivasagar,2231
Disang At Gundamghat,1298
