monitoring_location,stn_code
"Bore Well Water At Bhut Nath Road Water Tank Sec-3, Kankarbagh,Patna",1826
"Tap Water Coming From Over Head Tank Pmch Campus, Patna",1827
"Bore Well Water In Campus Of Patna Water Board Head Office, Near High Court, Patna",1828
"Bore Well Water From Igims Campus, Patna",1829
"Bore Well Water (Phed Pump House) Sadar Hospital Campus, Muzaffarpur",1830
"Bore Well Water Mmc Pump House Brahmpura Naka, Muzaffarpur",1831
"Tap Water In Campus Of Kali Asthan, Begusarai",1832
"Tap Water In Campus Of S.P Oofice, Pokharia, Begusarai",1833
"Hand Pump Water Near Govt. Hospital, Purnea",1834
"Hand Pump Water Near Court Lower Court, Purnea",1835
"Hand Pump Water Near Bus Stand Tilks Manjhi Chowk, Begusarai",1836
Begusarai,1837
"Tap Water Near Veer Kuwar Singh Chowk, Munger",1838
"Hand Pump Water In Campus Of Kasturba Water Works, Munger",1839
"Tap Water Phed Pump House Main Road, Motihari",1840
"Tap Well Water From T. Modal Inter School, G.B Road, Gaya",1841
"Tap Water Sample At Ramkund, Gaya",1842
"Phed Water Supply Near Bus Stand, Rajgir",1843
Saharsa Hand Pump Water Near Sadar Hospital,2594
Samastipur Hand Pump Water At Collectriate Campus,2595
Sitamarhi- Hand Pump Water At Sri Janki Mandir,2596
Siwan Borewell Water At Collectriate Campus,2597
Rohtas Bore Well Water From Water Tank Near Dharma Shala Sasaram,2598
Rohtas Hand Pump Water At Bust Stand Sasaram,2599
Vaishali Tap Water At Railway Station Campus Hazipur,2600
Ara (Bhojpur) Bore Well Water At Station Raod Near Rly Station,3138
Araria Hand Pump Water At Bus Stand,3139
Bettiah Hand Pump Water At Railway Station,3140
Bodhgaya Hand Pump Water Near Long Lord Budha Temple,3141
Bikramganj Hand Pump Water At Bus Stand Chowk,3142
Bagaha Hand Pump Water At Bagaha Bazar,3143
Barh Hand Pump Water Near A.N.S. College Barh,3144
Dehri On Sone Hand Pump Water Nera Muffasil Thana More,3145
"Dumraon Bore Well Water At Pani Tanki, Buxar Dumraon Road",3146
Jaynagar Hand Pump Water At Railway Station,3147
Jamalpur Hand Pump Water At Police Staition Jamalpur,3148
Kudra Hand Pump Water At Railway Station,3149
Maner Hand Pump Water At Main Road Near Kali Mandir,3150
"Kawar Lake, Begusarai",2557
Moti Jheel At Motiharii,2571
Tighi Talab At Gaya,2573
Kochbihar Lake (Sagar Dighi),2519
Ganga At Buxar,1074
