monitoring_location,stn_code
At Raipur Region,1620
At Bilaspur Region,1622
"Hand Pump Water 17/10 Nepali Mohlla, Shankar Nagar, Heavy Industrial Area, Bhilai",3171
"Borewell/ Handpump In Rogbahri Village, Korba",3172
"Borewell/ Handpump In Parsabhata, Balco, Korba",3173
"Borewell/ Handpump In Dhanras, Ntpc, Korba",3174
Mahanadi At Sihawa,1851
Mahanadi U/S Rudri Dhamtori Reservoir,1264
Mahanadi U/S Of Rajim,1099
"Mahanadi At Arrang, Raipur",1852
Mahanadi At Kharad,1100
Mahanadi At Sheorinarayan Village,1282
Mahanadi A/C With Mand,1467
Mahanadi At Interstate Boundry,1101
"Hasdeo 100 Meter D/S A/C Of Dengur Nallah Nera C.S.E.B. East Guest House, Korba",3165
Hasdeo D/S Near Urga Village Korba,3168
Hasdeo U/S Korba,1105
Hasdeo U/S Of Champa,1106
"Hasdeo, Drinking Water Intake Well Of Municipal Co. Korba (Before Treatment) At Kohadia Village",3169
"Hasdeo, Drinking Water Intake Well Of Municipal Co. Korba (After Treatment) At Kohadia Village",3170
Kharoon U/S Raipur,1265
Kharoon River A/C Khapri Drain,1846
"Kharoon B/C Khapri Drain, Durg, Raipur Road Bridge",1847
"Kharoon Bundri, Raipur",1853
Arpa D/S Of Bilaspur,1848
Kelo U/S Of Raigarh,1849
Kelo D/S Of Raigarh,1850
Seonath U/S Rajnandgaon,1107
Seonath At Shimga A/C. With R. Kharoon,1266
"Seonath Water Supply Well, Durg",1845
"Sheonath At Jhinghri Village, A/C Of Samoda Nalla",3166
"Sheonath At Rajnandgaon, D/S At Mohad, Rajnandgaon",3167
"Indravati A/C Dantewada Nelsonnar, Dantewada",1854
Shankni A/C Dankani Dantewada,1856
"At Raipur Region, Chhatisgarh.",1620
"At Bilaspur Region, Chhatisgarh.",1622
"Borewell/ Handpump In Rogbahri Village, Korba, Chhatisgarh.",3172
"Borewell/ Handpump In Dhanras, Ntpc, Korba, Chhatisgarh.",3174
"Nehru Nagar Talab, Bhilai, Chhatisgarh.",3164
1621,GEN-4462BF
1622,GEN-C7AF09
1623,GEN-FC5285
"Mahanadi At Arrang, Raipur, Chhatisgarh.",1852
"Mahanadi At Sheorinarayan Village, Chhatisgarh.",1282
"Mahanadi After Confl. With River Mand, Chhatisgarh",1467
"Mahanadi At Interstate Boundry, Chhatisgarh.",1101
"Seonath River Water Supply Well, Durg, Chhatisgarh",1845
"Sheonath At Jhinghri Village, A/C Of Samoda Nalla,",3166
"Kharoon River B/C Khapri Drain, Durg, Raipur Road",1847
Downstream Of Hasdeo River Near Urga Village Korba,3168
Drinking Water Intake Well Of Municipal Co. Korba,3170
"Ground Water At Raipur Region, Chhatisgarh.",1621
"Ground Water At Bilaspur Region, Chhatisgarh.",1622
"Hand Pump Water 17/10 Nepali Mohlla, Shankar Nagar, Heavy Industrial Area, Bhilai, Chhatisgarh.",3171
"Borewell/ Handpump In Parsabhata, Balco, Korba, Chhatisgarh.",3173
"Hitkasa Tailing Dam, Rajhara, Chhatisgarh.(Dalli Rajhara Iron Ore Mines, Dalli Rajhara)",3163
"Mahanadi At Sihawa, Chhatisgarh.",1851
"Mahanadi At Rudri U/S At Dhamtori Reservoir, Chhatisgarh.",1264
"Mahanadi At U/S Of Rajim, Chhatisgarh.",1099
"Mahanadi At Kharad, Chhatisgarh.",1100
"Mahanadi After Confl. With River Mand, Chhatisgarh.",1467
"Mahanadi At Downstream Of Hasdeo River Near Urga Village Korba, Chhatisgarh.",3168
"Seonath At U/S Rajnandgaon,",1107
"Seonath At Shimga After Confl. With R. Kharoon,",1266
"Seonath River Water Supply Well, Durg, Chhatisgarh.",1845
"Seonath At Jhinghri Village, A/C Of Samoda Nalla, Chhatisgarh.",3166
"Seonath At Rajnandgaon, D/S At Mohad, Rajnandgaon, Chhatisgarh.",3167
"Kharoon At Raipur U/S, Chhatisgarh.",1265
"Kharoon River A/C Khapri Drain, Chhatisgarh.",1846
"Kharoon River B/C Khapri Drain, Durg, Raipur Road Bridge, Chhatisgarh.",1847
"Kharoon River Bundri, Raipur, Chhatisgarh.",1853
"Hasdeo At U/S Korba,",1105
Hasdeo At U/S Of Champa,1106
"Hasdeo River 100 Meter Downstream After Confluence Of Dengur Nallah Nera C.S.E.B. East Guest House, Korba,",3165
"Hasdeo At Drinking Water Intake Well Of Municipal Co. Korba (Before Treatment) At Kohadia Village, Chhatisgarh.",3169
"Hasdeo At Drinking Water Intake Well Of Municipal Co. Korba (After Treatment) At Kohadia Village, Chhatisgarh.",3170
"Arpa River D/S Of Bilaspur, Chhatisgarh.",1848
"Kelo River U/S Of Raigarh, Chhatisgarh.",1849
"Kelo River D/S Of Raigarh, Chhatisgarh.",1850
"Indravati River A/C Dantewada River, Nelsonnar, Dantewada, Chhatisgarh.",1854
"Indravati River B/C Godavari At Bhopalpatnam, Dantewada, Chhatisgarh.",1855
"Shankni River A/C Dankani River Dantewada, Chhatisgarh.",1856
"Ground Water At Janta Colony, Station Road, Raipur Region, Chhatisgarh.",1620
Chhattisgarh,1264
"Seonath At U/S Rajnandgaon, Chhatisgarh.",1107
"Hasdeo At U/S Korba, Chhatisgarh.",1105
"Hasdeo At U/S Of Champa, Chhatisgarh.",1106
"Ground Water At Govind Nagar Bilaspur Region, Chhatisgarh.",1622
Bore Well Water Sample Near Tifra I.A. Bilaspur,1622
Bore Well Water Sample From Bec Fertilizer Outside Of Factory Premises (Near Banak Chowk),1623
"Hand Pump Water 14/10 Nepali Mohlla, Shankar",3171
"River Mahanadi At Sihawa, Origin Point Of River Mahanadi",1851
"River Mahanadi At Rudri Reservoir U/S At Rudri,Dhamtari",1264
"River Mahanadi At Rajim,Near Road Bridge.",1099
"River Mahanadi At Arrang, Near Gandhi Bridge",1852
River Mahanadi At Kharod,1100
River Mahanadi At Sheorinarayan Village D/S Near Road Bridge,1282
"River Mahanadi After Confl. Of River Mand,Near Balpur Village.",1467
"River Mahanadi At Interstate Boundry, Near Surjgarh Village",1101
"River Seonath At U/S Rajnandgaon,",1107
River Seonath At Shimga Near Road Bridge,1266
"River Seonath Water Supply Well, Durg, Chhatisgarh.",1845
"River Seonath At Jhinghri Village, A/C Of Samoda Nalla, Chhatisgarh.",3166
"River Seonath At Mohad, Rajnandgaon",3167
River Kharoon At Bhatagaon Near Water Supply Intakewell Raipur,1265
"River Kharoon B/C Khapri Nahla Raipur Road,Chhattisgarh",1846
"River Kharoon A/C Khapri Nahla,Chhattisgarh",1847
"River Kharoon At Village Bendri, Near Water Supply Intakewell",1853
River Hasdeo Up Stream Of Hasdeo Bango Hydel Power Station Station Machadoli Korba,1105
River Hasdeo At U/S Of Champa,1106
"River Hasdeo 100 Meter Downstream After Confluence Of Dengur Nallah Nera C.S.E.B. East Guest House, Korba",3165
"River Hasdeo At Drinking Water Intank Well Of Municipal Co. Korba (Before Treatment ) At Lohadia Village,",3169
River Hasdeo Drinking Water Intake Well Of Municipal Co. Korba After Treatment Plant At Village Kohadia Korba,3170
"River Arpa D/S Of Bilaspur City At Check Dam Outlet Near Deori Khurd, Bilaspur",1848
River Kelo U/S Urdana Village,1849
River Kelo D/S Lahangapali Bridge Midmida Village,1850
River Hasdeo Down Stream Of Hasdeo River Near Village Urga Korba,3168
"River Indravati Nelsonnar,A/C Of Dantewada",1854
"River Indravati,Pandemurga B/C Of Godavari River",1855
"River Shankni Dantewada,A/C Of Dankani River",1856
