monitoring_location,stn_code
W.Yam. Canal C-3 Delhi Branch At R.D.245250,1111
"W.Yam. Canal C-4 Before Enter Into Delhi Branch, R.D.282628",1112
W.Yam. Canal C-7 Delhi Parallel Branch At Khubru Fall Rd- 145250,1115
W.Yam. Canal Wc-4 Delhi Parallel Branch At Panipat,1116
Yamuna At Wazirabad,1120
Yamuna At Nizamuddin,1121
Okhla Bridge (Inlet Of Agra Canal),GEN-DC2A9A
Yamuna At Okhla A/M Of Shahdara Drain,1812
"Yamuna At Wazirabad, Delhi",1120
"Yamuna At Nizamuddin, Delhi",1121
"Yamuna At Okhla Bridge (Inlet Of Agra Canal), Delhi",1375
"Yamuna At Okhla After Meeting Of Shahdara Drain, Delhi",1812
"Well At Alipur, Delhi",3477
3479,GEN-6950AA
3480,GEN-E8E0DD
3483,GEN-CB953F
3485,GEN-DFEB95
3488,GEN-C7B90B
3489,GEN-1B3181
3490,GEN-72F67E
3492,GEN-0060EF
3493,GEN-BA036D
3494,GEN-6DBD26
3496,GEN-0A348E
3498,GEN-FD9DCF
3500,GEN-E2065C
3503,GEN-87F7EE
3514,GEN-728825
3515,GEN-5FEF3E
3516,GEN-CF1CF4
3517,GEN-B5B0DB
3518,GEN-5401AC
3520,GEN-6C0958
3523,GEN-939314
3525,GEN-DA9E6A
3526,GEN-0E4F5C
3531,GEN-E52AD5
3534,GEN-AA97D5
3535,GEN-B99D19
3536,GEN-291D43
3537,GEN-416849
3543,GEN-196F56
3030,GEN-2D9566
3032,GEN-8A5625
3476,GEN-DDCBE2
Delhi,"WESTERN YAMUNA CANAL AT
HAIDERPUR WATER WORKS, DELHI"
Haryana,"W.YAM. CANAL C-3 DELHI BRANCH
AT R.D.245250,"
"River Yamuna At Okhla After Meeting Of Shahdara Drain, Delhi",1812
"Well At Aurbindo Marg, Delhi",3479
"Well At Defence Colony, Delhi",3485
"Well At Dilshad Garden, Delhi",3488
"Well At Naraina Indl Area, Delhi",3518
"Well At Parivesh Bhawan, Delhi",3523
"Well At Paschim Vihar, Delhi",3524
"Well At Patparganj Indl Area, Delhi",3527
3528,GEN-EAD81F
3529,GEN-9BDB8B
3530,GEN-30A0B7
"Well At Rajender Nagar, Delhi",3532
3533,GEN-5A9D8B
