monitoring_location,stn_code
"Canal Up Stream Of Cuncolim Indl.Est. Cuncolim, Salcete (1 Km From M/S Nicoment Industries)",2265
"Canal Downstream Of Cuncolim Indl.Est. Cuncolim, Salcete (Near Railway Bridge)",2266
Cumbarjua Canal Corlim(Discharge Point Of Syngenta Limited),2268
"Creek At Dando Mollo, Velsao, Mamugao",2267
Ground Water From Goalpara Dist. (Goalpara College ),2258
Well At Verna Indi.Estate.(M/S Cipla Limited),2277
Well At Sancoale Indl.Estate,2278
"Well At Zuari Industries Ltd, Zuari Nagar",2279
Well At Kudai Indl. Estate(M/S Cadila Healthcare Limited),2280
Well At Corlim Indl. Estate,2281
Well At Pilerne Industrial Estate(M/S Unichem ),2282
Bore Well At Cuncolim Industrial Estate,3193
Bore Well At Bethora Industrial Estate,3194
Bore Well At Madkaim Industrial Estate,3195
Zuari D/S Of Pt. Where Kumbarjria Canal Joins,1399
Mandovi At Neghbourhood Of Panaji,1400
Zuari At Panchawadi,1475
"Mandovi At Tonca, Marcela",1476
Kalna At Chandel- Pernem,1543
Valvant At Sankli - Bicholim,1544
Madai At Dabos - Valpoi,1545
Khandepar At Opa - Ponda,1546
Talpona At Canacona,1547
Assonora At Assonora,1548
"Khandepar , U/S Codli Near Bridge Opa Waterworks, Sanguem",2270
"Sal Pazorkhoni, Cuncolim(Near Culvert Margao- Canacona National Highway)",2271
"Kushawati Near Bund At Kevona, Rivon, Sanguem",2272
"Sal Near Hotel Leela Mobor, Cavelossim",2273
Mapusa On Culvert On Highway Mapusa-Panaji,2274
"Chapora Near Alorna Fort , Pernem",2275
"Bicholim Varazan Nagar , Bicholim",2276
Zuari At Borim Bridge,3181
Zuari At Marcaim Jetty,3182
"Sal At Khareband, Margao",3183
"Sal At Orlim Bridge, Orlim",3184
Mandovi At Amona Bridge,3185
Mandovi At Iffi Jetty,3186
Mandovi Near Hotel Marriot,3187
Tiracol At Tiracol,3188
Chapora At Siolim,3189
Sinquerim (Candolim Side Near Bridge),3190
Sinquerim Near Nerul Temple,3191
"Ground Water From Goalpara Dist. (Goalpara College ), Assam",2258
Bore Well At Pilerne Industrial Estate,3192
"Salaulim Lake At Salaulim - Sanguem, Goa",1549
"Mayem Lake, Bicholim",2269
Anjunem Lake,3175
Rumder Lake,3176
Carambolim Lake,3177
Raia Lake,3178
Saipem Lake,3179
Curtorim Lake,3180
20013,GEN-FCE1EA
1475,GEN-571D3A
1476,GEN-97275A
1545,GEN-89AE0F
1547,GEN-204DA2
1548,GEN-35464C
3181,GEN-F4AA0D
3182,GEN-8051A3
3183,GEN-D98961
3184,GEN-3EB414
3191,GEN-F02355
2278,GEN-CC7E2B
2281,GEN-0F46C6
3192,GEN-766E42
3193,GEN-68A975
3194,GEN-563CA5
3195,GEN-7F01C9
2269,GEN-51DE85
3175,GEN-CE47BE
3176,GEN-59DFA2
3177,GEN-D36304
3178,GEN-BA95D7
3179,GEN-91378B
3180,GEN-C20A7C
"Zuari At D/S Of Pt. Where Kumbarjria Canal Joins,",1399
"Mandovi At Tonca, Marcela, Goa",1476
"River Kalna At Chandel- Pernem, Goa",1543
"River Valvant At Sankli - Bicholim, Goa",1544
"River Madai At Dabos - Valpoi, Goa",1545
"River Khandepar At Opa - Ponda, Goa",1546
"River Assonora At Assonora, Goa",1548
"River Khandepar At Codli Near Bridge , U/S Opa Wat",2270
"River Sal Pazorkhoni, Cuncolim(Near Culvert Margao",2271
"River Kushawati Near Bund At Kevona, Rivon, Sangue",2272
"River Sal Near Hotel Leela Mobor, Cavelossim",2273
River Mapusa On Culvert On Highway Mapusa-Panaji,2274
"River Chapora Near Alorna Fort , Pernem",2275
"River Bicholim Varazan Nagar , Bicholim",2276
"River Sal At Khareband, Margao",3183
"River Sal At Orlim Bridge, Orlim",3184
River Sinquerim Near Nerul Temple,3191
Goa,"CANAL UP STREAM OF CUNCOLIM
INDL.EST. CUNCOLIM, SA"
Harwale Water Fall,4408
Tiracol Beach,4013
Miramar Beach,4014
Calangute Beach,4015
Morjim Beach,4016
Mobor Beach,4017
Baina Beach,4018
Galgibag Beach,4019
Colva Beach,4020
Vagator Beach,4021
Velsao Beach,4022
Panaji-1 Tonca,20013
Chapoli Dam,4410
"River Khandepar At Codli Near Bridge , U/S Opa Waterworks, Sanguem",2270
"River Kushawati Near Bund At Kevona, Rivon, Sanguem",2272
"Mandovi At Neghbourhood Of Panaji, Goa",1400
River Mandovi At Panaji U/S,10012
"River Sal Pazorkhoni, Cuncolim(Near Culvert Margao- Canacona National Highway)",2271
Salmona Spring,4409
River Sinquerim (Candolim Side Near Bridge),3190
"River Talpona At Canacona, Goa",1547
"Zuari At D/S Of Pt. Where Kumbarjria Canal Joins, Goa",1399
River Zuari At Borim Bridge,3181
River Zuari At Marcaim Jetty,3182
"River Zuari At Cortalim, Goa",1399
"River Mandovi At Neghbourhood Of Panaji, Goa",1400
River Zuari At Panchawadi,1475
"River Mandovi At Tonca, Marcela, Goa",1476
River Salmona Spring,4409
River Mandovi At Panaji U/S Ribandar Chodan Ferry,10012
River Chapora At Siolim,3189
River Mandovi At Amona Bridge,3185
River Mandovi At Iffi Jetty,3186
River Mandovi Near Hotel Marriot,3187
River Tiracol At Tiracol,3188
"Downstream Colva Creek, Colva- Goa",5277
"Upstream Of Bethora Nallah, Bethora, Ponda - Goa",5278
"Downstream Of Bethora Nallah, Bethora, Ponda -Goa",5279
"Creek At Dando Mollo, Velsao, Marmugao",2267
Raitollem Lake,3178
"Downstream Of River Mandovi, M/S Vedanta Pvt. Ltd.",5102
River Kalna At Chandel,1543
River Madei At Dabos,1545
River Mandovi At Panaji,1400
River Mandovi At Tonca,1476
River Sal At Rumder,3176
River Valvanti At Sanquelim,1544
River Zuari At Cortalim,1399
