monitoring_location,stn_code
"Narmada Main Canal, Nr. Village. Limbadia, Dist",2073
"Tapi Canal At Village Umarwada, Near Gidc Estate",2074
Masma Khadi- Olpad- Saras Road,2080
Amlakhadi Creek At Pungam,2081
"Vandkhadi At Village Umarwada, Ta Ankleshwar, Bhar",3196
"Well At Ahmedabad, Gujarat",3
"Well At Baroda, Gujarat",6
"Well At Narol, Ahmedabad, Gujarat",1226
Bhavnagar,1948
Amreli,1949
Junagadh,1950
Surendranagar,1952
Jamnagar,1953
Bhuj,1954
Palanpur,1955
Mehasana,1956
Siddhpur (Dist.Patan),1957
Himatnagar,1958
Nadiad,1959
Dahod,1960
Godhara,1961
Vadodara (Industrial-Nandesari),1962
"Mora-Hajira (Industrial), Hajira",1965
"Gabheni Village, Surat (Industrial)",1966
"Atul,Village G.W, (Valsad)",1967
"Vapi Industrial Area In D/S, Vapi",1968
"Sarigam Village (D/S Of Industrialarea), Vapi",1969
"Borewell D/S Tsdf Site, Gidc Industrial Area, Vapi",1970
Bore Well Of Chhatral Gidc.,2083
Bore Well Of Palsana Village.,2084
Bore Well Of Santej Village.,2085
Bore Well At Msw Disposal Site Of Surat Municipal,2086
B/W- Hazardous W. Disposal Site (Guj. Enviro P.& I,2087
Bore Well Of Sachin Gidc.,2088
"B/W Near Indl. Area Borasara & Navapura, Dist. Sur",2089
Well At Olpad.,2090
From Bore Well Of Navsari Gidc Industries Associat,2091
Bore Well Of Bardoli At Rest House.,2093
Well At Ankleshwar Industrial Area (Bore Well Of M,2094
"Bore Well, Snr. Vinayak Jal Suddhikaran Sahakari M",2096
"Bore Well Of Someshwar Rice Mill, Nr. Bavla Eco Pr",2097
"Bore Well Of Pirana Terminal Pumping Station, Pira",2098
"Borewell Of Gidc,Jhagadia",3207
"Jilla Panchayat School, Near Gram Panchayat Kata F",3208
"Borewell Of Gayatri Pragna School, Bhadarwad Road,",3209
"Borewell At Piramal Glass, Village Tarsadi At Kos",3210
"Borewell At Primary Health Center, Kadodara, Surat",3211
"Borewell Near Center Of Excellence Building, Gidc,",3212
"Borewell, Cetp-Naroda, Gidc, Naroda-Ahmedabad",3213
Borewell Near Gidc Odhav Industrial Association Bu,3214
"Borewell Near Municipal Solid Waste Site- Gyaspur,",3215
Borewell Near Tsdf Site Of Green Environmnet Servi,3216
Borewell Near Tsdf Site Of Naroda Enviro Project.L,3217
"Well Of Modasa, Nagar Palika, Varigruh, Modasa",3218
"Well Of Idar, Nagar Palika, Sakaria, Idar",3219
"Borewell Of Gidc-Nadiad At Gidc Office, Gidc Nadia",3220
"Borewell Of Town Rajpipla, Dist.Narmada",3221
"Borewell Of Gidc, Panoli",3222
Borewell Kadi Industrial Area,3223
Deesa Borewell,3224
Visnagar Borewell,3225
Patan Borewell,3226
Vijapur (Ranasan) Borewell,3227
