monitoring_location,stn_code
W.Yam. Canal Wc- 1(Y.Nagar)100M D/S After Receiving Ind.&Sew.Effl,1109
W.Yam. Canal Wc-2 (Near Karna Lake)G.T.Road Karnal,1110
"W.Yam. Canal Wc-5 Sirsa Branch At Road Bridge, Karnal",1113
W.Yam. Canal Wc-6 Sirsa Branch At Rd.Bridge Jind Kaithal Road,1114
"Gurgaon Canal, Gc-1, (Near Badarpur Border)",1419
Western Yamuna Canal At Tajewala,1886
Western Yamuna Canal At Damla D/S Of Yamuna Nagar,2056
"Ghaggar Gh-1 At Road Brdg. Sirsa, Debwali Road",1025
Ghaggar Gh-2 At Chandarpur Syphon,1026
Kala Amb D/S Markanda,1884
Ghaggar D/S Of Surajpur,1885
Ghaggar Before Ottu Weir (Before Mixing Of Satluj Canal Water),1887
Brahmsarovar Lake At Kurukshetra,1349
Sukhna Lake,1392
Yamuna At Hathnikund,1117
"Yamuna At Kalanaur, Yamuna Nagar",1496
Yamuna At Sonepat,1119
"Brahmsarovar Lake At Kurukshetra, Haryana",1349
1884,GEN-F0FCF3
1885,GEN-D52377
3033,GEN-272E11
"Ghaggar Gh-1 At Road Brdg. Sirsa, Debwali Road, Haryana",1025
River Ghaggar At D/S Of Surajpur,1885
Haryana,"W.YAM. CANAL WC-
1(Y.NAGAR)100M D/S AFTER
RECEIVING"
"Yamuna At Kalanaur, Yamuna Nagar, Haryana",1496
"Kausshalaya Lake, Pinjore, Panchkula",1392
Sohna Lake,3033
Western Yamuna Canal Wc-1(Y.Nagar)100M D/S After Receiving Ind.&Sew.Effl,1109
Western Yamuna Canal Wc-2 (Near Karna Lake)G.T.Road Karnal,1110
"Western Yamuna Canal Wc-5 Sirsa Branch At Road Bridge, Karnal",1113
Western Yamuna Canal Wc-6 Sirsa Branch At Rd.Bridge Jind Kaithal Road,1114
Water Works- Gurgaon,3047
Ghaggar At Sirsa Dabwali Road (Haryana),30017
Ghaggar At Chandrapur Siphon (Haryana),30018
Ghaggar At Ottu Weir (Haryana),30020
Ghaggar Gh-2 At Chandarpur Syphen,1026
Ghaggar At Kala Amb D/S Markanda,1884
Markanda D/S Kala Amb/ Boundary Of Haryana,2625
Handpump Near Jln Canal Near Tilyar Lake At Rohtak,4830
"Borewell In Front Of Cetp Hsiidc Rai, Sonepat",4831
"Borewell In The Premises Of Cetp, Murthal, Sonepat",4832
"Borewell In The Premises Of Dcrust, Murthal, Sonepat",4833
"Borewell In The Premises Of Stp Phed, Kharkhoda, Sonepat",4835
"Tubewell No. 1, Near Upstream Ghaggar River, Village Chiali",4836
"Tubewell No. 2, Near Gurudwara, Village Bhatia",4837
"Hand Pump Installed Near Pir Baba Mandir, Sector - 13, Bhiwani",4838
"Tubewell At Prithla, Palwal",4839
"Tubewell At Hathin, Plawal",4840
"Tubewell At Garhi, Hodal , Palwal",4841
Tubewell Near Police Station,4842
"Gepil, Village Pali, Mohabatabad Crusher Zone, Faridabad",4843
"Borewell Near Posco Company, Sector - 14, Phase - Ii, Village Pathuhera, Hsiidc, Imt, Bawal",4844
"Borewell Of Hsiidc Park, Sector - 1, Imt, Manesar, Gurugram",4845
"Tubewell No. 6 Of Hsiidc, Near Plot No. 237, Sector - 8, Imt Manesar, Gurugram",4846
