monitoring_location,stn_code
"At Kala Amb, H.P",1555
"At Paonta Sahib, H.P",1556
"At Baddi, H.P",1558
"At Nalagarh, H.P",1560
"At Barotiwala, H.P",1559
"At Damtal, H.P",1561
"At Una, H.P",1562
Shimla D/S Of Msw Dumping Siot,1872
Dharamshala Kangra D/S Of Msw Dumping Siot,1873
Solan-D/S Of Msw Dumping Siot-,1874
Baddi Industrial Area,1877
Barotiwala Industrial Area,1878
Nalagarh Industrial Area,1879
Kala Amb Industrial Area,1880
Paonta Sahib Industrial Area,1881
Mehatpur Industrial Area,1882
Una Industrial Area,1883
Hand Pump At Shamshi,2628
Hand Pump At Hamirpur Town,2630
Hand Pump At Nadaun Town,2631
Hand Pump At Bilaspur Town,2632
Hand Pump At Recongpeo,2633
Hand Pump At Shimla,2634
Hand Pump At Kangra Temple/ Town,2636
Hand Pump At Jwalaji Temple,2637
Hand Pump At Chintpurni Temple/ Town,2638
Hand Pump At Chamunda Devi Temple/ Town,2639
Gobindsagar Lake At Bilaspur,1291
Pongdam Lake At Pong Village,1292
"Renuka Lake , 35 Km From Patna Sahib North",1429
Riwalsar Lake,2649
Khaziar Lake,2650
Beas U/S Manali,1001
Beas D/S Manali,2601
Beas U/S Kullu,2602
Beas D/S Kulu,1002
Beas D/S Aut,1003
Beas Exit Of Tunnel Dehal Power House,1005
Beas U/S Mandi,1550
Beas D/S Mandi,1006
Beas D/S Jaisinghpur,2604
Beas D/S Alampur,1007
Beas D/S Pong Dam,1009
Beas At D/S Pandoh Dam,2603
"Satluj B/C With Spiti At Khab, Distt.Kinnaur,",1867
Satluj At Khab,2611
Satluj U/S Rampur,1086
Satluj D/S Rampur,1087
Satluj U/S Tatapani,1013
Satluj U/S Slapper,1014
Satluj D/S Slapper,1015
Satluj D/S Bhakhra,1016
Satluj At Neptha Zakhai,1389
Ravi U/S Madhopur,1088
Ravi U/S Chamba,1089
Ravi At Chamera Reservoir,2614
Ravi D/S Chamera Iii Hep,2615
Ravid/S Of Chamba Town,2613
Parvati B/C To Beas,1290
Parvati U/S Manikaran,2605
Parvati D/S Manikaran,2606
Largi At D/S Mandi,1090
"Sirsa , U/S Sitomajri Nallahgarh",1551
"Sirsa , D/S Nalagarh Bridge",1552
Sirsa D/S Nalagarh Distt. Solan,1868
Swan D/S Nangal Distt. Una,1869
Siuel D/S Surgani,2616
Suketi Khad D/S Mandi,2607
Binwa D/S Paprola/Baijnath,2608
Neugal D/S Thural,2609
Spiti At Khab,2610
Baspa U/S Reservoir Baspa Project,2612
Yamuna U/S Paonta Sahib,1553
