monitoring_location,stn_code
Top Chachi Lake,2394
"Dimna Lake,Dimna",2398
Hazaribagh Meethajhil,2402
Ganga At Rajmahal,1059
Ajay At Masanjore Dam,2401
Damodar D/S Bhairabi At Rajrappa,2378
Damodar At Ramgarh Road Bridge,2380
Konar At Tilaya Dam,2388
Konar At Konar Dam,2389
Nalkari Tributary At Patratu,2379
Damodar At Phusro Road Bridge,2382
Damodar U/S Jamadova,2383
Damodar D/S Sindri,2384
Damodar At Panchet Dam,2391
Barakar At Maithan Dam,2392
Konar At Tenughat Dam,2390
Bokaro At Jarandi,2381
Karo U/S Lohojimi,1035
"Koel At Basia,Dam U/S,Jharkhand",1033
"Koel At Manoharpur After Meeting Koina River D/S,J",1036
North Koel U/S Daltanganj,2376
"North Koel D/S Bccl, Rehla",2377
Sankh At Bolba,1034
Subarnarekha At Chandil Dam,2399
Subarnarekha At Chandil Bridge,48
Subarnarekha At Jamshedpur,24
"Subarnarekha At D/S Jamshedpur,(Tata Nagar),Jharka",49
Subarekha At Ghatisla Road Bridge,2387
"Subarnarekha At Ranchi,(Tatisilwai) Jharkhand",23
Subarnarekha At Namkum Road Bridge,2385
Subarnarekha At Muri Road Bridge,2386
Subarnarekha At Hatia Dam,2395
Subarnarekha At Gatalsud Dam,2397
Jumar At Kanke Dam,2396
"Dimna Lake, Dimna",2398
"Shiv Ganga Pond, Deoghar",2393
"Ganga At Rajmahal,",1059
"Koel At Manoharpur After Meeting Koina River D/S, Jharkand",1036
"Koel At Basia, Dam U/S, Jharkhand",1033
"Subarnarekha At Ranchi, (Tatisilwai)",23
"Subarnarekha At D/S Jamshedpur, (Tata Nagar)",49
2394,GEN-D0921D
2398,GEN-565030
2402,GEN-4DD9CE
2393,GEN-52CF49
U/S Near Lct Ghat,10144
Sangi Dalan,10146
"Damodar River Near Zarangdih Bridge, Bokaro",3555
Confluence Of Bokaro & Damodar River Near Zarangdi,3556
"Koel At Manoharpur After Meeting Koina River D/S,",1036
"Govt. Handpump Near House Of Rajendra Singh Munda, Kokrana Muri",4758
Top Chanchi Lake,2394
"Loco Talab ) Pumpu Talab), At- Barmasia, Dhanbad",4740
"Ranibandh Talab Near Ism, Dhanbad",4741
"Galudih Barrage, Galudih, E.S",4742
"Harmu River, Near Harmu Bridge, Harmu, Ranchi",4753
Harmu River Before Metting To Swarnrekha River,4754
"Jamunia River Near Lohapatti Bridge, Mahuda, Dhanbad",4738
"Katri River, Near Bhatinda Fall, At- Tetengabad, Moonidih, Dhanbad",4739
On Kharkhai River Before Meeting Swarnrekha River,4745
"Koina River, Manoharpur, W.S",4747
