monitoring_location,stn_code
Dadesugur Bridge Gauging Station,3558
Thumbe Water Supply Stations To Mangalore City,3562
U/S Of Upiingady Town,3563
Krs Dam Mandya,3566
D/S Shimsha Near Madduar Town,3567
Water Supply Intake Point To Srirangapatna Town,3568
Water Supply Intake Point To Mandya Town,3569
D/S Of Kr Nagar Bridge,3570
U/S Of Kr Nagar,3571
Water Supply Intake Point To Hunsur Town,3572
D/S Of Kushalanagar Town,3573
Water Supply Intake Point To Madikeri Town,3574
U/S Intake Point To Nanjanagud & Gundlupet At Debur,3575
Water Supply Intake Point To Mysore Pump House,3576
Water Supply Intake Point To T Narasipura,3577
D/S Of Cauvery Maddur Water Supply Treatment Plant At Bachalli,3578
Water Supply Intake Point At Kollegala Dasanapura,3579
Water Supply Intake Point At Madduar,3580
Water Supply Intake Point At T K Halli,3581
Kali D/S West Coast Paper Mill,1444
"Kali U/S Of Wcpm, Dandeli",2780
"Ulsoor Lake Training Centre Of Fish Breeding,Karna",1388
"Heballa Valley Lake At D/S Road Bridge Nr. Mandya, Karnataka",1446
Hebbal Lake,3582
Kukkarahalli Lake,3583
Dalavai Lake,3584
Yennehole Lake,3585
Limbhabudi Lake,3586
Shettykere Lake,3587
Yediyur Lake,3592
"Ulsoor Lake Training Centre Of Fish Breeding, Karnataka",3593
Karihobanahalli Lake,3601
Bellandur Lake,3602
Varthur Lake,3608
Tubrahalli Lake,3610
Kaikondanahalli Lake,3611
Agaram Lake,3612
Puttenahalli Lake (S),3614
Arakere Lake,3615
Kalena Agrahara Lake,3616
Hulimavu Lake,3617
Singasandra Lake,3618
Parappana Agrahara Lake,3620
Haralakunte Lake,3621
Somasundra Palya Lake,3622
Puttenahalli Lake,3624
Jakkur Lake,3627
Mulbhagal Lake,3644
Devarayasamudra Lake,3645
Narasapura Lake,3646
Bugudanahalli Lake,3649
Mathana Kere,3659
Hunasina Kere,3660
Kokkanaghattadoddakere,3661
Sathenahallidoddakere,3667
Sheleramanahallikere,3669
Hullige Tank,3559
Mavenakere,3560
Hundikere (Koppal),3561
Pilikula Tank,3565
Karanjikere,3588
Madiwala Tank,3589
Lalbagh Tank,3590
Sankey Tank,3594
Byrasandra Tank,3595
Hesaraghatta Tank,3597
Herohalli Tank,3598
Madavara Tank,3599
Shivapura Tank,3600
Vengaihnakere,3603
Doddanakundi Tank,3604
Yellamallappa Tank,3605
Dasarahalli Tank,3606
Kalkere Tank,3607
Begur Tank,3619
Nagavara Tank,3626
Allasandra Tank,3629
Yelahanka Tank,3630
Veerapura Tank,3632
Devarakere Tank,3634
Malathahalli Tank,3635
Byramangala Tank,3637
Uttarahalli Doraikere Tank,3640
Dhorekere Tank,3641
Beenniganahalli Tank,3643
Mydala Tank,3648
Melekote Tank,3650
Bheemsandra Tank,3651
Doddakere Tank,3653
Gottigere Lake,3654
Nallikatte Kere Tank,3656
Kaachachalli Koppalukere Tank,3657
Kawshikakere Tank,3662
Joladakatte Tank,3663
Basavanahallikere Tank,3664
Lingappanakatte Tank,3665
Ganigarahosahallikere Tank,3666
Sodharahallikere Tank,3668
Hainarakatte Tank,3670
Hanumanthapurakatte Tank,3671
Sankalapurakere Tank,3672
Havalikere Tank,3673
Sathamangalakeretank,3674
B Kalehallikere Tank,3675
Thavenahallikere Tank,3676
Sharanabaweshwara Kere Tank,3677
Bhutanala Lake,3679
Killa Lake,3680
Angol Mi Tanltank,3681
Kakati Pond,3682
Herekeretank,3683
Kelegeretank,3684
Navalooru Lake,3685
Nirasagarakeretank,3686
Nuggikeretank,3687
Sudanakeretank,3688
Someshwarakeretank,3689
Unakalkeretank,3690
Vimanabhuthikere Tank,3691
Kunduvadakeretank,3692
Bhathikeretank,3693
Shanthisagarkeretank,3694
Kondaggikeretank,3695
Aianakeretank,3696
Krishna U/S Of Ugarkhurd Barrage,1182
Krishna - Ankali Bridge Along Chikkodi Kagwad Road,1889
Krishna D/S Of Narayanpura Dam,1181
Krishna At Tintini Bridge,1028
Krishnad/S Of Devasagar Bdg.,1170
Krishna D/S Of Alamatti Dam,2781
Bhima D/S Of Road Bridge At Gangapur Village,1183
