monitoring_location,stn_code
"Kanoli Canal At Eranjikkal, Kazhekode",3461
"Unthithodu At Eloor, Ernakulam",3467
"Palakkattuthazha- Mthodu At Perumbavoor, Ernakulam",3469
Well At Eloor,19
Well At Chungapally,22
Well At Punalur,35
"Pappanamkode,Thiruvananthapuram",1581
"Nedumangad,Thiruvananthapuram",1582
"Kundara,Kollam Distt.",1583
"Cherthala,Alleppy",1584
"Vyttila,Ernakulam Distt.",1585
Edayar Ernakulam Distt.,1586
Kalamassery Ernakulam Distt.,1587
Punkunnam Trissur Distt.,1588
Malapuram,1589
"Mavoor, Kozhikkode Distt.",1590
Kannur (Municipality) Kannur Disttm,1591
"Payyannur, Kannur Distt.",1592
Fathimapuram (Changanassery),2308
Karoor (Pala),2309
Vaikom,2310
Vadavathoor (Kottayam),2311
"Sarvodapuram, Alappuzha",2313
Kureepuzha (Kollam),2314
K.M.M.L. (Kollam),2315
Chellora Trenching Ground (Kannur),2316
Punnalpettippalam (Tellicherry Municipality,2317
Manjeri,2320
Laloor (Thrissur),2321
Ollur (Thrissur),2322
Brahmapuram M.S.W. Dumpark (Ernakulam),2323
Hazardous Waste Dump (Ambalamughal),2324
Karukamani,2327
"Well At Velliparamba, Kozhekode",3463
"Well Of Temple Parassinikadavu, Kannur",3472
"Well At Payanoor, Kannur",3474
"Well At Karimbam, Kannur",3475
Periyar Near Alwaye-Eloor,17
Periyar At Kalady,18
Chaliyar At Koolimadu,20
Chaliyar At Chungapally,21
"Kallada At Perumthottamkadavu, Punaloor",42
Muvattapuzha At Vettikkattumukku,43
Chalakudy At Pulickalka-Davu,1154
Karamana At Moonnattumukku,1155
Pamba At Chengannur,1156
Periyar At Sewage Discharge Point,1338
Meenachil At Kidangoor,1339
Manimala At Kalloopara,1340
Pamba At Thakazhy,1341
Achenkoil At Thumpamon,1342
Manimala At Thondra,1384
Vamanapuram,1442
Achenkoil At Chennithula,1443
Amaravila,1563
Ayur,1564
Pamba Down,1565
Thirurangady,1566
Kuttiyady Estate,1567
Valayam,1568
Thaliparamba,1569
Hosdurg,1570
Kakkadavu,1571
Padiyathadka,1572
Irumpanam,1573
Neyyar At Aruvipuram,2284
Mamom At Mamom Bridge,2285
Ayroor At Ayroor Bridge,2286
R Ithikkara At Ithikkara,2287
Pallickal At Nellimukal,2288
Karuvannurr At Karuvannur Bridge,2289
Puzhackal At Puzhackal Bridge,2290
Keecheri At Vadakkanchery Bridge,2291
Thirur At Thalakkadathur Bridge,2292
Kadalundi At Hajirappally,2293
Kallai At Kallai Bridge,2294
Corapuzha At Kanayankode,2295
Thallassery At Pathippalam,2296
Ancharakandy At Meruvamba,2297
Kuppam At Rayarom,2298
Ramapuram At Ramapuram Bridge,2299
Peruvamba At Chandappura,2300
Kavvai At Kuttiyol Palam,2301
Neelaswaram At Nambiarkal Dam,2302
Pullur At Pullur Br.,2303
Mogral At Mogral Br.,2304
Shriya At Angadimogaru,2305
Uppala At Uppala Br.,2306
Manjeswar At Bajrakkara Br.,2307
Korayar At Kanjikode,2326
Bharathapuzha At Kuttippuram,2331
Bharathapuzha At Pattambi,2332
Periyar At Muppathadam,2333
Periyar At Pathalam,2334
Periyar At Kalamassery,2335
Periyar At Purappallikavu,2336
Kadambayar At Brahmapuram,2337
Kadambayar At Manckakadavu,2338
"Maniyankode Puzha At Maniyankode Bridge, Wayanad",3459
"Kalpathi Puzha At Kalpathi, Palakkad",3460
"Chaliyar At Nilambur, Malappuram",3464
"Achenkoil At Kallarakadavu, Pathanamthitta",3465
"Achenkoil At Pandalam (Near Ayyappa Temple), Pathanamthitta",3466
"Periyar At Kwa Intake- Aluva, Ernakulam",3468
"Karamana At Aruvikara, Thiruvananthapuram",3471
Oruvathilkotta Lake,1383
Sasthamcotta Lake,1385
Ashthamudi Lake At Quilon,1441
Paravurlake,1574
Kochi (Oil Tanker Jetty),1575
Thekkady Lake,1576
Kodungalloor Lake,1577
Kayamkulam Lake,1578
Alappuzha Lake,1579
Pookote Lake,1580
Lake Vembanadu At Pathiramanal (Alappuzha),2312
Pazhassi Reservoir (Kannur),2318
Rsvr At Malampuzha,2328
Rsvr At Bhoothathanketu,2329
Rsvr At Edamalayar,2330
"Vellayani Lake At Vandithadom, Thiruvananthapuram",3470
Pond At (Padmanabha) Sree Padmanabha Swamy Temple (Tvpm),2325
Mananchira Pond At Kozhekode,3462
Kabbani At Muthankara,1207
Bhavani At Elachivazhy,1208
"Well At Eloor, Kerala",19
"Well At Chungapally, Kerala",22
