monitoring_location,stn_code
"Well, Shri Rao Prajapati Well",52
"Open Well/Tube Well Industrial Area, Govindpura",1616
"Open Well/Tube Well Industrial Area Mandideep, Dis",1617
Ground Water Sampling At Two Points In Industrial,1618
"Tube Well At Jainabad, Near Tapti River Bridge, Pumping Stn. Burhanpur",1897
"Kathoda, Jabalpur",2143
"Madai Gram, Jabalpur",2144
"Mehatwas, Nagda",2145
"Bhagatpuri Village, Nagda",2146
"Dosigaon, Ratlam",2148
"Culvert On A.B. Road, Maksi",2149
"Trenching Ground, Near Garden, Dev Guradiya Road, Indore",2150
"Trenching Ground In The Premises Of M/S Rishabh Masala Udyog, Indore",2151
"Trenching Ground In The Premises Of M/S Lakhani Foot Wear, Indore",2152
"Ibrahimganj Near Bus Stand, Bhopal",2153
"Tube Well/ Hand Pump At Industrial Area, Dewas",3332
"Hand Pump Water At Banskhedi, Bhopal",3333
Tube Well Near Bus Stand At Betul,3334
"Tube Well/ Hand Pump At Industrial Area Rechhai, J",3335
"Tube Well/ Hand Pump At Industrial Area, Chhindwar",3336
Tube Well/ Hand Pump At Indl,3337
"Hand Pump Near Panchayat Bhawan, Village Tinawali",3338
"Tube Well/ Hand Pump Near Manglia Industrial Area , Indore",3339
"Tube Well At Near Trenching Ground, Indore",3340
"Tube Well At Sector-Iii, Pithampur Industrial Area",3341
"Borewell Water At Village Tarpur, Sector-Ii, Pithampur, Idustrial Area",3342
"Tube Well Near Industrial Area Udyog Vihar , Churat, Rewa",3343
"Tubewell At Indl Area, Shahdol",3344
"Upper Lake At Bhopal (Intake Point), M.P.",1373
Lower Lake At Bhopal Outlet M.P.,1374
Multai Tank Lake At Villa. Khari On Betul- Amravati,1466
Khandari Reservoir Water Off Take Point,2128
Periat Tank Jabalpur,2129
Madhav Lake Shivpuri,2130
Yashwant Sagar At Indore,2131
Bilawali Talab At Indore,2132
Sirpur Talab At Indore,2133
Nagchun Talab At Khandwa,2134
Govindgarh Tank,2135
"Shahpura Lake At Weir Near Ayushman Hospital, Bhop",2136
Upper Lake At Yatch Club,2137
Upper Lake At Karbala Club,2138
Upper Lake At Bairagarh Club,2139
"Kerwa Dam Near Rest House, Bpl",2140
Janunia Talab Near W/S,2141
Choral Dam Near Indore,3296
"Mitha Talab, Dewas",3297
Pond Water At Lakoda,3298
Hanumantal Jabalpur,3299
"Ranital Talab, Jabalpur",3300
Moti Talab At Balaghat,3301
"Pipliya Pala Talab, Indore",3302
"Rani Talab, Rewa",3303
"Rihand Resrvoir, Singrauli",3304
Betwa U/S Beena,2107
Betwa D/S Beena,2108
"Betwa At Nayapur D/S Mandideep Indl. Area No.1, District Raisen",2119
"Betwa Near Road Bridge, Bhojpur",2121
Betwa Near W/S Intake Well Point Raisen,2122
"Betwa Near Intake Point, Vidisha",1614
"Betwa At Charantirghat, Vidisha",2124
Betwa D/S After Mixing Of Bais At Vidisha,2125
"Kaliasot Near Road Bridge, Mandideep",2120
Sone At Chachai,1142
Sone At Amlai,1371
Sone At Origine Amarkantak,1610
"Sone At Amlai, 100 Metre D/S After Mixing Of Atps",3327
Sone At Devload Out- Let Of Bansagar Dam,1612
"Chambal At Tal Village Near Bridge, Ujjain",3309
"Chamla At W/S Intake Point Badnagar, Ujjain",3310
Chambal At Nagda U/S (Water Intake Point),1365
Chambal D/S Nagda,1366
"Chambal At Gandhi Sagar Dam, Rampura",1418
Chambal At Dholpur,1609
Parvati Near Intake Point Pillukhedi Distt. Rajgarh,1615
"Parvati A/C Of Vindhyachal Nalla, Pilukhedi",2126
"Gohad Dam, Gohad",1607
Khan At Kabit Khedi (Near Indore),1367
Kshipra At Ramghat At Ujjain,1369
Kshipra At Trivenisangam (1 Km. D/S Of Sangam),1370
Kshipra At Siddhawat (D/S) Of Ujjain,1468
Sindh At Dabra,1608
"Bichia, Bridge Govindgarh Road",2117
Sankh At Tigra Reservoir,1433
"Chambal At Jawnpawa, From Origin Point, Indore",3308
Johila Near Narojabad Near Umaria Road Bridge,1611
"Khan At Sakkar Khadi, Indore",2110
Khan At Sanwer,2111
"Kolar Dam Water Supply Intake Well, Distt. Sehore,",1613
"Kshipra At Gaughat, Ujjain",3315
"Kshipra At U/S Of Mahidpur City, Ujjain",3316
"Kshipra At W/S Intake Point Of Dewas, Ujjain",3317
Mandakini At Chitrakut,1372
"Jamuni U/S Bariyaghat Near Intake Point, Tikamgarh",3311
"Simrar At Katni Near Acc W/S Intake Point, Jablapur",3326
"Newaj W/S Intake Point, Shujalpur, Ujjain",3319
"Tons At Madhavgarh, Near Phed W/S Intake Point, Satna",3328
"Tons At Chakghat Near W/S Pumping Station, Rewa",3329
Tons At Chakghat,1143
Tons At Madhavgarh,1144
Mahi At Badnawar,1233
"Mahi At Ranisingh Village, Ratlam, Ujjain",3318
"Shivna At Ramghat, Mandsaur",2102
"Jammer At Dholowad, Ratlam",2103
Malei At Jaora,2104
Chillar At Shajapur,2105
Narmada Near Source At Amarkantak,1242
"Narmada At Amarkantake From Origin Point, Rewa",3321
Narmada At D/S Of Kapildhara,2118
Narmada At Mandla Near Road Bdg,1241
"Narmada At Mandla, Near Shamshanghat, Jabalpur",3322
"Narmada Lalpur, Jabalpur",2099
"Narmada At Lalpur, Near Water Supply Intake Point, Jabalpur",3323
"Narmada At Panchwatighat, Before Mixing With Bawanganga Jabalpur",3324
"Narmada At Sarswatighat, After Mixing With Bawanganga Jabalpur",3325
Narmada At Narsinghpur,1240
Narmada At Hoshangabad U S,1234
Narmada At Korighat Hoshangabad,2123
Narmada At Sethanighat,44
Narmada At Hoshangabad D S,1235
River Narmada At Nemawar,2106
"River Narmada Near Punasa Dam, Punasa",2113
Narmada At D S Of Omkareshwar,1430
"River Narmada Near Mortakka Bridge, Badwah",2112
Narmada At Mandleshwar,45
Narmada At Maheshwar,1431
Narmada At Badwani,1239
"Chota Tawa B/C, With Narmada",1236
"Gour River Bhoga Door, Jabalpur",2100
Katni Near Nagar Nigam,2101
River Kunda At Khargone,2114
Tapi At Nepanagar,9
Tapi At Burhanpur,10
Tapi At Hathnur,1250
Tapti At Nepa Nagar 100 Metre D/S After Mixing Pandhar Nalla,2115
"Denwa Near Sarni, Road Bridge",2127
Wainganga At Balaghat,1213
Wainganga At Chindwara,1214
"Wainganga At Chhapara, Near W/S Intake Point, Jabalpur",3330
"Wainganga At Chhapara, Near Road Bridge After Mixi",3331
Kanhan At Chindwara Before Mixing Boregaon Growth,3312
52,GEN-9A1158
"Open Well/Tube Well Industrial Area, Govindpura, Bhopal, M.P",1616
"Ground Water Sampling At Two Points In Industrial Area Malanpur, M.P",1618
"Tube Well At Jainabad, Near Tapti River Bridge, Pumping Stn. Burhanpur, M.P.",1897
2143,GEN-9F44E9
2145,GEN-C182F9
2148,GEN-E21E4E
3334,GEN-331316
"Tube Well/ Hand Pump At Industrial Area Rechhai, Jabalpur",3335
"Tube Well/ Hand Pump At Industrial Area, Chhindwara",3336
"Hand Pump Near Panchayat Bhawan, Village Tinawali Rairu",3338
3345,GEN-38A77A
"Ground Water Near Bus Stand, Dist Narsingpur",3822
"Ground Water Near Bus Stand, Dist Seoni",3826
"Ground Water Primary School Dhobi Ghat, Dist Singrouli",3837
"Ground Water Near Shiv Mandir, Amlori Ncl, Project Singrouli",3839
"Ground Water Sarveswar Raja Colony Jayant, Singrouli",3841
"Ground Water Near Entrance Gage Of Vivekananad Statue, Nigahi, Singrouli",3843
Tube Well Water Sample Of Sidhi City,3854
Multai Tank Lake At Villa. Khari On Betul-Amravati Road M.P.,1466
"Madhav Lake, Shivpuri",2130
"Shahpura Lake At Weir Near Ayushman Hospital, Bhopal",2136
Janunia Talab Near W-S,2141
"Kalisindh Reservoir At Sarangpur, Rajgarh",2142
"Gokalpur Talab, Dist Jabalpur",3830
"Dal Sagar Talab, Dist Seoni",3831
Sitapat Talab Dhar,3849
Bagdoon Talab Pithampur,3850
Mahi At Sherkhi Bridge,3206
Anas River Near Road Bridge Jhabua,3848
Narmada At Mandla Near Road Bdg. M.P.,1241
Narmada At Narsinghpur M.P.,1240
Narmada At Hoshangabad U S M.P.,1234
Narmada At Nemawar,2106
"Narmada At Panchwatighat, Before Mixing With Bawanganga River, Jabalpur",3324
"Narmada At Sarswatighat, After Mixing With Bawanganga River, Jabalpur",3325
Narmada At D S Of Omkareshwar M.P.,1430
"Narmada At Maheshwar, M. P.",1431
"Narmada Near Mortakka Bridge, Badwah",2112
"Narmada Near Punasa Dam, Punasa",2113
Narmada River At D/S Of Kapildhara,2118
Narmada At Hoshangabad D S M.P.,1235
"Narmada At Badwani, M.P.",1239
Narmada Near Source At Amarkantak M.P.,1242
Narmada River At Dharampuri,3847
"Chota Tawa Before Confl. With River Narmada, M.P.",1236
Katni River Near Nagar Nigam,2101
"Hiran, Nh 7 Road Bridge, Sihora, Dist Jabalpur",3828
"Hiran, Nh 12 Road Bridge Vil Vikrampur ,Dist Narsingpur",3829
Tapi At Hathnur M.P.,1250
Tapi At Nepa Nagar 100 Metre D/S After Mixing Pandhar Nalla,2115
"Wainganga At Balaghat, M.P.",1213
"Wainganga At Chindwara, M.P.",1214
"Wainganga At Chhapara, Near Road Bridge After Mixing Moti & Chamariya Nalla, Jabalpur",1908
"Kanhan At Chindwara Before Mixing Boregaon Growth Centre Nalla, Jabalpur",3312
2144,GEN-7DC1C7
2146,GEN-936A40
2147,GEN-0D73A2
2149,GEN-D30960
2153,GEN-CB8DA6
2154,GEN-1E8C39
3333,GEN-2BE9BD
3826,GEN-A292F1
3827,GEN-B5B8C4
3854,GEN-31C0B3
2129,GEN-CD4BB3
2130,GEN-F15D33
2131,GEN-A869CC
2132,GEN-F6E794
2133,GEN-C902B4
2135,GEN-9A49A2
2137,GEN-9BB6DE
2138,GEN-194310
2141,GEN-5D6646
3296,GEN-42CD63
3297,GEN-7A4BF9
3298,GEN-FA8463
3299,GEN-737136
3300,GEN-63BFD6
3301,GEN-8217BB
3302,GEN-6FAB6E
3303,GEN-F24AD6
3304,GEN-0E9D93
3831,GEN-CAC8E1
3849,GEN-4F5A97
3850,GEN-F550E0
"Tons At Chakghat, M.P.",1143
"Tons At Madhavgarh, M.P.",1144
"Betwa U/S, Beena",2107
"Betwa D/S, Beena",2108
"Chambal At Nagda D/S, M.P.",1366
"Chambal At Gandhi Sagar Dam, Rampura, Mp",1418
Parvati Near Intake Point Pillukhedi Distt. Rajg,1615
Kariyari U/S Before Mixing With Waste Water Of M/S,3313
"Gohad Dam, Gohad, M.P",1607
"Kshipra At Ramghat At Ujjain, M.P.",1369
"Kshipra At Siddhawat (D/S) Of Ujjain., M.P.",1468
River Choupan At Vijaypur 100 Metre D/S Of Nfl Nal,3307
"Sankh At Tigra Reservoir, M.P.",1433
"Jamuni At Bariyaghat U/S Near Intake Point, Tikamg",3311
"R.Johila Near Narojabad Near Umaria Road Bridge, M",1611
"R.Sone At Devload Out Let Of Bansagar Dam, M.P",1612
Narmada At Sethanighat M.P.,44
Narmada At Mandleshwar M.P.,45
"Narmada At Panchwatighat, Before Mixing With Bawan",3324
"Narmada At Sarswatighat, After Mixing With Bawanga",3325
"River Hiran, Nh 7 Road Bridge, Sihora, Dist Jabalp",3828
"Simrar At Katni Near Acc W/S Intake Point, Jablapu",3326
"Well, Shri Rao Prajapati Well , M. P.(T/W Of Hanif Khan S/O Jabbar Khan, Amrawati Road, Burhanpur )",52
"Open Well/Tube Well Industrial Area Mandideep, Distt. Raisen, M.P",1617
"Well At Madai Gram, Jabalpur",2144
"Well At Bhagatpuri Village, Nagda",2146
"Well At Pratal Nagar, Dewas",2147
"Well At Culvert On A.B. Road, Maksi",2149
"Well At Trenching Ground, Near Garden, Dev Guradiya Road, Indore",2150
"Well At Trenching Ground In The Premises Of M/S Rishabh Masala Udyog, Indore",2151
"Well At Trenching Ground In The Premises Of M/S Lakhani Foot Wear, Indore",2152
