monitoring_location,stn_code
Bassein Creek At Bassin In Thane Dt,1316
Thane Creek At Elephanta Island,1317
Mahim Creek At Mahim Bay,1318
Vashi Creek At Airoli Bridge.,2184
Vashi Creek At Vashii Bridge.,2185
"Ulhas Creek At Reti Bunder, D/S Of Kalyan-Bhiwandi Bridge, Kalyan, Thane",2791
"Ulahs Creek At Mumbra Reti Bunder, Village Mumbra, Thane",2792
"Thane Creek At Kalwa Road Bridge, Kalwa, Thane",2793
"Ulhas Creek At Koshlet Reti Bunder, Kolshet, Thane",2794
"Ulhas Creek At Gaimukh At Nagla Bunder On Ghod Bunder Road, Nagla, Thane",2795
"Ulhas Creek At Versova Bridge, Versova, Vasai, Thane",2796
"Bhayander Creek At D/S Of Railway Bridge, Jasal Park Choupathy, Navghar, Bhayander, Thane",2797
"Kharekuran Murbe Creek, Kharekuran, Palghar, Thane",2798
"Dandi Creek, Dandi, Palghar, Thane",2799
"Sarawali Creek, Sarawali, Palghar, Thane",2800
"Savta Creek, Savta, Dahanu, Thane",2801
"Dahanu Creek At Dahanu Fort, Danugaon, Dahanu, Thane",2802
"Panvel Creek At Kopra Bridge, Kopra, Panvel, Raigad",2803
"Karambavane Creek At Chiplum, Karambavane, Ratnagiri",2804
Chikhali Nallah Meets Godavari River.,2178
"Rabodi Nallah, Rabodi, Thane",2782
"Colour Chemical Nallah, Village- Majiwada, Thane",2783
"Sandoz Nallah, Sandozbaug, Thane",2784
"Bpt Navapur (Discharge From Midc Tarapur), Navapur, Palghar, Thane",2785
"Tarapur Midc Nalla (Near Sump 1), Tarapur, Palghar, Thane",2786
"Tarapur Midc Nalla (Near Sump 2), Tarapur, Palghar, Thane",2787
"Tarapur Midc Nalla (Near Sump 3), Midc Tarapur, Palghar, Thane",2788
"Nalla At D/S Of Aklai Mandir, Aklai, Malshiras, Solapur",2789
"Pimpal-Paneri Nalla Near Finolex Industries, Yahganigaon, Ratnagiri",2790
Mira-Bhayander,1985
Dahanu,1986
Vasai,1987
Palghar,1988
"Msw Site, Taloja, Raigad",1989
"Msw Site, Pimpri- Chinchwad, Pune",1992
"Khaperkheda, Nagpur",1995
"Koradi, Nagpur",1996
"Raipur, Nagpur",1997
"Bhahmni, Kalmeshwar, Nagpur",1998
Sangera Gondia,1999
"Sukali, Amravati",2001
"Akot, Akola",2002
"Parvati Indl. Estate, Yadrav, Shirol",2004
"Khanjirenagar, Ichalkaranji",2005
"Midc, Shinoli, Chendgad",2006
"Savali, Sangli",2007
"Rasulwadi- Sambarwadi, Sangli",2008
"Bore Well At Katpur, Near Z.P School.",2200
"Dug Well At Ghane Kunt, Near Awasthi, Owned By Shri Rajendra Amre",2202
Hand Pump In The Premises Of Zilla Parishad Primary School,2203
"Dug Well Owned By Shri Deshmukh, Malegaon, Baramati, Pune",2819
"Dug Well Owned By Shri Shivaji Baban Darekar, Sanaswadi, Shirur, Pune",2820
Bore Well At Bale,2821
Kalu At Atale Village,1092
Ulhas U/S Of Nrc Bund At Mohane,1093
Ulhas U/S Of Badlapur,1094
Patalganga At Shilphata,1151
Kundalika At Roha City,1152
Bhatsa D/S Of Pise Dam Near Pise Village (Ulhas),1461
Patalganga Near Intake Of Midc W/W,1462
Ulhas Atjambhul Water Works.,2162
Vashisti U/S Of Three M Paper Mills Near M/S Multifilms Plastic Pvt. Ltd. At Kherdi.,2164
Mithi,2168
Kundalika At Are Khurd ( Saline Zone ),2198
Savitri At Ovale Village.,2199
"Amba D/S Of Waken Bridge-U/S Of Js Petrochemicals, Wakenphata, Roha",2651
"Bhatsa D/S Of Liberty Oil Mills, Satnel, Shahapur, Thane",2653
"Bhatsa U/S Of Liberty Oil Mills, Satnel, Shahapur, Thane",2654
"Kan Near Sakri Water Works, Sakri, Dhule",2670
"Kundalika Near Salav Bridge (Salina Zone), Salav, Roha, Raigad",2671
"Kundalika At Dhatav At Jackwell, Dhatav, Roha, Raigad",2672
"Muchkundi At Waked Near M/S Asahi India Glass Ltd, Waked, Lanja, Ratnagiri",2676
"Patalganga D/S Of Kharpada Bridge, Kharpada, Khalapur, Raigad",2685
"Patalganga At Vyal Pump House, Vyal, Khalapur, Raigad",2686
"Patalganga At Khalapur Pumping Station, Khalapur, Raigad",2687
"Patalganga At Savroli Bridge, Khalapur. Raigad",2688
"Patalganga At Gagangiri Maharaj Temple, Khopoli, Khalapur, Raigad",2689
"Pehlar Dam On Pehlar -Inlet Of Water Works, Pehlar, Vasai, Thane",2696
"Savitri Jackwell At Upsa Kendre, Nangalwadi, Mahad, Raigad",2701
"Savitri At Shedav Doh, Mahad, Raigad",2702
"Savitri At Dadli Bridge, Dadli, Mahad, Raigadh",2703
"Savitri At Muthavali Village, Mahad, Raigadh",2704
"Surya U/S Of Surya Dam, Dhammi, Vikramgad, Thane",2706
"Surya At Midc Pumping Station, Garvashet, Palghar, Thane",2707
"Surya At Intake Of Vasai-Virar W/S Scheme, Masvan, Palghar, Thane",2708
"Tansa Near Road Bridge, Village Dakewali, Wada, Thane",2709
"Vaitarna Near Road Bridge, Gandhare Village, Wada, Thane",2712
"Vashishti D/S Of Three M Paper Mills Near Chiplun Water Intake Jackwell, Kherdi, Ratnagiri",2713
"Vashishti U/S Of Pophali Near Konphansawane Bridge, Chiplun, Ratnagiri",2714
"Arnala Sea, Arnala, Vasai, Thane",2805
"Uttan Sea, Uttan, Bhayander, Thane",2806
"Navapura Sea, Navapur, Palghar, Thane",2807
"Sea Water At Nariman Point, Colaba, Mumbai",2808
"Sea Water At Malabar Hill, Walkeshwar, Mumbai",2809
"Sea Water At Haji Ali, Worli, Mumbai",2810
"Sea Water At Shivaji Park, Dadar, Mumbai",2811
"Sea Water At Juhu Beach, Juhugaon, Santacruz, Mumbai",2812
"Sea Water At Ganapathipule, Ratnagiri",2813
"Sea Water At Bhagwati Bunder Near Ultra Tech Cement Jetty, Mirkarwada, Ratnagiri",2814
"Madvi Sea Water Near Jodhale Maruti Temple, Madvigaon, Ratnagiri",2815
Tapi At Ajnand Village,1313
Tapi At Bhusawal Us,1251
Tapi At Uphad Village,1314
Girna At Jalgaon,1252
Girna At Malegaon (Manmad),1253
Rangavali D/S Of Navapur,1907
"Purna A/C Of Morna, Nandura Village",2155
"Amravati D/S Of Dondaicha, Dhule",2652
"Bori D/S Of Amalner, Jalgaon",2658
"Burai B/C To Tapi Mukudas, Dhule",2659
"Gomai D/S Of Shahada, Dhule",2666
"Hiwara D/S Of Pachora, Jalgaon",2667
"Mor Near Padalshe, Jalgaon",2674
"Morna D/S Railway Bridge, Akola",2675
"Panzara Near Panzarakan Ssk Ltd, Panzara, Dhule",2684
"Pedhi Near Road Bridge At Dadhi-Pedhi Village, Bhatkuli, Amravati",2695
"Titur D/S Of Chalisgaon, Jalgaon",2710
Waghur B/C Sakegaon With Tapi Jalgaon,2718
"Godavari At Jayakwadi Dam, Aurnagabad, Maharashtra",1312
Godavari River Near Someshwar Temple,2177
Godavari River At Saikheda,2182
"Godavari River At Hanuman Ghat, Nashik City",2179
Godavari River At Nandur- Madmeshwar Dam.,2183
"Godavari River At Kapila- Godavari Confluence Point, Tapovan",2181
Godavari River Near Tapovan.,2180
"Godavari At Panchavati At Ramkund, Maharashtra",1096
"Godavari At Nasik D/S, Maharashtra",1211
"Godavari At U/S Of Gangapur Dam, Nasik, Maharashtra",1095
"Godavari River At U/S Of Aurangabad Reservoir, Kaigaon Tokka Near Kaigaon Bridge",2160
Godavari River At U/S Of Paithan At Paithan Intake Pump House At Jayakwadi,2158
Godavari River At D/S Of Paithan At Pathegaon Bridge,2159
"Godavari At Jalna Intake Water Pump House, Shahabad",2161
Godavari At Nanded,1210
Godavari At Raher,1209
Godavari At Latur Water Intake Near Pump House At Dhamegaon,2157
"Bindusara At Beed Near Intake Water Pump House At Dam, Paligaon, Beed",2657
"Wardha D/S Of Erai Hadasti, Chandrapur",2719
"Wardha U/S Of Erai River Hadasti, Chandrapur",2720
"Wardha U/S Of Acc Ghuggus. , Chandrapur",2721
Wardha D/S Of Acc Ghuggus,2174
Wardha At Confluence Point Of Penganga & Wardha At Juad,2156
Wardha At Rajura Bridge,1212
Wainganga A/C With Kanhan,1910
Wainganga U/S Of Ellora Paper Mill.,2173
Wainganga D/S Of Ellora Paper Mill.,2172
"Wainganga U/S Of Gaurav Paper Mills, Near Jackwell.",2175
"Wainganga D/S Of Gaurav Paper Mills, Near Jackwell.",2176
Wainganga At Ashti,11
Kolar B/C To Kanhan At Kamptee,1908
Kanhan D/S Of Nagpur,1909
"Kanhan U/S Of M/S Vidharbha Paper Mill, Sinora",2170
"Kanhan D/S Of M/S Vidharbha Paper Mill, Sinora",2171
Purna At Dhupeshwar,1913
"Nira At Pulgaon Cotton Mill, Wardha",1315
"Manjra D/S Of Latur Near Latur-Nanded Bridge, Bhatkheda, Latur",2673
"Darna At Chehedi Pumping Station, Chehedi, Nashik",2660
"Darna At Aswali (Darna Dam), Lgatpuri, Nashik",2661
"Darna At Mes Site Pumping Station, Bhagur, Nashik",2662
"Darna At Bhagur Pumping Station Near Pandhurli Bridge, Bhagur, Nashik",2663
"Darna At Sansari , Nashik",2664
"Penganga Near Water Supply Scheme Of Umarkhed Mc Belkhed, Umarkhed, Yavatmal",2697
"Penganga D/S Of Isapur Dam, Isapur, Pusad, Yavatmal",2698
"Penganga At Mehkar- Buldana Road Bridge, Mehkar, Buldana",2699
