monitoring_location,stn_code
Morambamarin (Thoubal Dist.),2836
Mapithel Dam On Thoubal,2853
Singda Dam (Imphal West Dist.),2859
"Khuga Dam On Khuga River ,Cc Pur",2877
Barak Near Noney (Nh 35) Tml Dist.,2838
Manipur At Sekmaijing (Tbl Dist.),2852
Thoubal At Phadom (Tbl Dist.),2854
Wangjing At Heirok (Tbl Dist.),2855
Thoubal At Yairipok (Thoubal Dist.),2856
Manipur At Thoubal,2857
"Nambul At Shamushang, Uk Road (Imphal West)",2858
Nambul At Naoremthong (Imphal West),2860
Kangla Moat (Imphal West),2861
Imphal At Shamurou ( Imphal West),2862
Iril At Kangla Siphai (Imphal East),2863
Imphal At Sekmai (Imphal East),2864
"Jiri At Jarimukh, Jiribam (Imphal East)",2865
Jiri At Jiri (Imphal East),2866
Maha At Chandel,2867
Chakpi At Chakpikarong Chandel,2868
Barak At Senapati,2869
"Thoubal At Songkhong, (Ukhrul Dist.)",2870
"Thoubal At Yongul Kong, (Ukhrul Dist.)",2871
Thoubal At Litan (Ukhrul Dist.),2872
Iril At Lilong (Thoubal Dist.),2873
Irang At Tamenglong,2874
Barak At Nh 53(Tamenglong Dist.),2875
Wangjing At Wangjing (Thoubal Dist.),2876
Lokchao At Bishnupur Dist.,2878
Ethai Barrage On Manipur At Bishnupur Dist.,2879
Nambol At Bishnupur.,2880
Loktak Lake At Thanga,1425
Loktak Lake At Bishnupur,1426
Sendra (Loktak Lake),1629
"Karang,Island (Loktak Lake)",1630
"Pumlen Lake ,Tokpaching (Thoubal Dist)",2837
Pukhri At Langmeidong (Thoubal Dist.),2839
Lamjao Pukhri Achouba (Thoubal Dist.),2840
Hiranmei Pukhri (Thoubal Dist.),2841
Langmeidong Pukhri (Thoubal Dist.),2842
Pond At Lalambung (Imphal West Dist.),2843
Lilong Pukhri (Imphal West Dist.),2844
Pond At Ngairangbam (Imphal West Dist.),2845
Pond At Moidangpok (Imphal West Dist.),2846
Pond At Maibam Lokpaching (Bsp Dist.),2847
Pond At Kakwa Bazar (Imphal West Dist.),2848
Chanam Pukhri (Imphal West Dist.),2849
Ningthem Pukhri (Imphal East Dist.),2850
Pond At Kongba Bazar (Imphal East Dist.),2851
Moreh,1923
"Loktak Lake At Thana, Manipur",1425
"Loktak Lake At Bishnupur, Manipur",1426
"Sendra (Loktak Lake), Manipur",1629
"Karang Island(Loktak Lake), Manipur",1630
"Pumlen Lake At Tokpaching, Distt. Thoubal, Manipur",2837
"Pukhri At Langmeidong, Distt. Thoubal, Manipur",2839
"Lamjao Pukhuri At Achouba, Distt. Thoubal, Manipur",2840
"Hiranmei Pukhuri At Thoubal, Manipur",2841
"Langmeidong Pukhuri At Thoubal, Manipur",2842
"Pond At Lalambung, Imphal West, Manipur",2843
"Lilong Pukhuri At Imphal West, Manipur",2844
"Pond At Ngairangbam, Imphal West, Manipur",2845
"Pond At Moidangpok, Imphal West, Manipur",2846
"Pond At Maibam Lokpaching, Imphal West, Manipur",2847
"Pond At Kakwa Bazar, Imphal West, Manipur",2848
"Chanam Pukhuri, Imphal West, Manipur",2849
"Ningthem Pukhuri, Imphal East, Manipur",2850
"Pond At Kongba Bazar, Imphal East, Manipur",2851
2836,GEN-6E0E24
1424,GEN-489D03
1457,GEN-01D8BA
1458,GEN-4DCAE3
1624,GEN-932796
1625,GEN-A981F2
1626,GEN-BC5738
1627,GEN-97D014
1628,GEN-EFB76C
1925,GEN-0950CA
1926,GEN-5103C3
1927,GEN-E5B294
2852,GEN-881C6E
2855,GEN-1A6727
2856,GEN-139738
2857,GEN-449177
2859,GEN-A226E4
2860,GEN-894DB6
2862,GEN-1EC3E7
2863,GEN-E6CBC6
2864,GEN-EF0D17
2867,GEN-1A99F6
2868,GEN-8B3BAC
2870,GEN-327708
2872,GEN-7E0A02
2873,GEN-EFD7E9
2874,GEN-E6AF40
2876,GEN-12A1D0
2877,GEN-F07607
2878,GEN-A6DB4E
2879,GEN-EC8B57
2880,GEN-C61F57
1920,GEN-44968A
1921,GEN-9F6992
1922,GEN-333222
1923,GEN-414E77
1924,GEN-B139E1
2882,GEN-2EF35A
"Imphal At Mahabali, Manipur",1424
"Imphal At Koirengei, Manipur",1457
"Hump Bridge, Manipur",1625
"Kiyamgi, Manipur",1627
"Minuthong(Imphal River, Manipur",1628
"Khujairok River, Moreh",1926
"Sekmai River, Kakching",1927
"Wangjing River At Heirok, Distt. Thoubal, Manipur",2855
"Thoubal River At Yairipok, Distt. Thoubal, Manipur",2856
"Manipur River At Thoubal, Manipur",2857
"Nambul River At Samusang (U.K. Road), Distt. Imphal",2858
"Singda Dam At Nambul River, Imphal West, Manipur",2859
"Nambul River At Naoremthong, Imphal West, Manipur",2860
"Kangla Moat, Imphal West, Manipur",2861
"Imphal River At Samurou, Imphal West, Manipur",2862
"Iril River At Kangla Siphai, Imphal East, Manipur",2863
"Imphal River At Sekmai, Imphal East, Manipur",2864
"Maha River At Chandel, Manipur",2867
"Chakpi River At Chakpikarong, Chandel, Manipur",2868
"Thoubal River At Litan, Ukhrul, Manipur",2872
"Iril River At Lilong, Ukhrul, Manipur",2873
"Wangjing River At Wangjing, Distt. Thoubal, Manipu",2876
"Khuga Dam On Khuga River, Churachandpur, Manipur",2877
"Lokchao River At Bishnupur, Manipur",2878
"Ethai Barrage On Manipur River At Bishnupur, Manip",2879
"Nambul River At Bishnupur, Manipur",2880
Kakching,1920
Hand Pump At Churachandpur,2883
Loktak Lake At Thana,1425
Loktak Lake At Sendra,1629
Loktak Lake At Karang Island,1630
Pumlen Lake At Tokpaching,2837
Pukhri At Langmeidong,2839
Lamjao Pukhuri At Achouba,2840
Hiranmei Pukhuri At Thoubal,2841
Langmeidong Pukhuri At Thoubal,2842
Pond At Lalambung,2843
Lilong Pukhuri,2844
Pond At Ngairangbam,2845
Pond At Moidangpok,2846
Pond At Maibam Lokpaching,2847
Pond At Kakwa Bazar,2848
Chanam Pukhuri,2849
Ningthem Pukhuri,2850
Pond At Kongba Bazar,2851
Morambamarine Canal,2836
Imphal At Mahabali,1424
Imphal At Koirengei,1457
Imphal At Kiyamgi,1627
Imphal At Minuthong,1628
"Kangla Moat, Imphal West",2861
Imphal River At Samurou,2862
Imphal River At Sekmai,2864
Irang River At Tamenglong,2874
Iril At Porampet,1458
Iril At Lilong,1624
Iril River At Kangla Siphai,2863
Iril River At Lilong,2873
Khuga River (Location Pl),1925
Khuga Dam On Khuga River,2877
Lokchao River At Bishnupur,2878
Maha River At Chandel,2867
Manipur River At Sekmaijan,2852
Manipur River At Thoubal,2857
Ethai Barrage On Manipur River,2879
Nambul At Hump Bridge,1625
Nambul At Heirangoithong,1626
Nambul River At Samusang (U.K. Road),2858
Singda Dam At Nambul River,2859
Nambul River At Naoremthong,2860
Nambul River At Bishnupur,2880
Thoubal River At Yairipok,2856
Thoubal River At Shong Kong,2870
Thoubal River At Litan,2872
Wangjing River At Heirok,2855
"Wangjing River At Wangjing,",2876
River Imphal At Mahabali,1424
River Imphal At Koirengei,1457
River Iril At Porampet,1458
River Iril At Lilong,1624
River Nambul At Hump Bridge,1625
River Nambul At Heirangoithong,1626
River Imphal At Kiyamgi,1627
River Imphal At Minuthong,1628
River Khuga (Location Pl),1925
"River Khujairok River, Moreh",1926
