monitoring_location,stn_code
"Police Bazar, Shillong",1634
"Mawlai, Shillong",1635
"Industrial Estate, Byrnihat",1636
Sohra Cherrapunjee,1637
Shangpung,1638
"Mawthadrishan Well At Markasa, West Khasi Hills",3385
"Jakrem Hot Spring At Jakrem, West Khasi Hills",3386
Umtrew At Byrnihat East Meghalaya,1427
"Kyrhukhla Near Sutnga Khlieriat, Jaintia Hills Dt",1428
Myntdu Jowai,1631
Ganol Tura,1632
Simsang Williamnagar,1633
"Umkhen At Wah Kdait, East Khasi Hills",3350
"Umkhen At Ksehpongdeng, East Khasi Hills",3351
"Umkhen At Diengpasoh, East Khasi Hills",3352
"Umiam Mawphlang At Nongkrem, East Khasi Hills",3353
"Umiam Mawphlang At Umtyngngar, East Khasi Hills",3354
"Umiam Mawphlang At Mawphlang, East Khasi Hills",3355
"Umiam Mawphlang At Shella, East Khasi Hills",3356
"Umngot At Smit, East Khasi Hills",3357
"Umngot At Dawki, East Khasi Hills",3358
"Umkhrah At Demthring, Shillong",3359
"Umkhrah Atumkaliar, Shillong",3360
"Umkhrah Atmawlai, Slaughter",3361
"Umkhrah At Mawpdang, Mawlai",3362
"Umshyrpi At Risa Colony, East Khasi Hills",3363
"Umshyrpi At Law College, Dhanketi, East Khasi Hills",3364
"Umshyrpi At Umshyrpi Bridge, East Khasi Hills",3365
"Umtrew At Umran, Ri- Bhoi",3366
"Myntdu At Leshka, Jayantia Hills",3379
"Bugi At Mibanpara, South Garo Hills",3383
"Bugi At Dalu, South Garo Hills",3384
"Nonbah At Nangstoin Marke, West Khasi Hills",3367
"Kynshi At Nangkhnum, West Khasi Hills",3370
"Kynshi At Ranikor, West Khasi Hills",3371
"Rilang At Mawkyrwat, West Khasi Hills",3372
"Wah Blei At Riangdo, West Khasi Hills",3373
"Wah Blei At Shdaddkhar, West Khasi Hills",3374
Lukha At Myndihati (Tributary Of Lunar),3375
Lukha At Sunapur (Tributary Of Lunar),3376
"Myntang At Nartiang, Jayantia Hills",3377
"Myntang At Mynso, Jayantia Hills",3378
"Damring (Krishnei River) At Resubelpara, East Garo Hills",3380
"Manda (Dudhai River) At Jampa, East Garo Hills",3381
"Manda (Dudhai River) At Wagaisi, East Garo Hills",3382
"Umiam Lake At Barapani,",1347
"Ward Lake At Shilong East, Khasi Hill Dt",1348
Thadlaskein Lake,1459
"Umiam Lake At Outfall Of Umiam River Into Lake, Ri- Bhoi",3346
"Umiam Lake At Middle Point, Ri- Bhoi",3347
"Umiam Lake Atnear United Christian College, Ri- Bhoi",3348
"Tasek Lake At Songsak (Naphak), East Garo Hills",3349
"Sohra, Cherrapunjee",1637
Mawthadrishan Well At Markasa,3385
Jakrem Hot Spring At Jakrem,3386
"Umiam Lake At Barapani, Meghalaya",1347
"Ward Lake At Shilong East, Khasi Hill Dt., Meghalaya",1348
"Thadlaskein Lake, Meghalaya",1459
1427,GEN-970AF3
1631,GEN-6BA3AF
1632,GEN-0771FC
1633,GEN-21FE5B
3350,GEN-B7EE0D
3351,GEN-0B6ACE
3352,GEN-0987B8
3356,GEN-A36B59
3357,GEN-0CD6A6
3358,GEN-971086
3363,GEN-664DD8
3365,GEN-B445E3
3366,GEN-07F75D
3383,GEN-0668E2
3384,GEN-251775
"Myntang River At Nartiang, Jayantia Hills",3377
"Myntang River At Mynso, Jayantia Hills",3378
"Damring River (Krishnei River) At Resubelpara,",3380
"Manda River (Dudhai River) At Jampa,",3381
Manda River (Dudhai River) At Wagaisi,3382
1635,GEN-42A396
1638,GEN-7E2305
3385,GEN-131F38
3386,GEN-31CA0C
"Umtrew At Byrnihat East, Meghalaya",1427
"Myntdu River Jowai, Meghalaya",1631
"Ganol River Tura, Meghalaya",1632
"Umkhen River At Wah Kdait, East Khasi Hills",3350
"Umiam Mawphlang River At Nongkrem, East Khasi Hill",3353
"Umiam Mawphlang River At Umtyngngar, East Khasi Hi",3354
"Umiam Mawphlang River At Mawphlang, East Khasi Hil",3355
"Umiam Mawphlang River At Shella, East Khasi Hills",3356
"Umngot River At Smit, East Khasi Hills",3357
"Umngot River At Dawki, East Khasi Hills",3358
"Umkhrah River At Demthring, Shillong",3359
"Umkhrah River Atumkaliar, Shillong",3360
"Umkhrah River Atmawlai, Slaughter",3361
"Umkhrah River At Mawpdang, Mawlai",3362
"Umshyrpi River At Risa Colony, East Khasi Hills",3363
"Umshyrpi River At Law College, Dhanketi, East Khas",3364
"Umshyrpi River At Umshyrpi Bridge, East Khasi Hill",3365
Lukha River At Myndihati (Tributary Of Lunar),3375
Lukha River At Sunapur (Tributary Of Lunar),3376
"Myntdu River At Leshka, Jayantia Hills",3379
"Bugi River At Dalu, South Garo Hills",3384
"Manda River (Dudhai River) At Jampa, East Garo Hil",3381
"Police Bazar, Shillong (Police Bazaar Spring)",1634
"Mawlai, Shillong (Mawpdang Spring)",1635
"Industrial Estate, Byrnihat (Narbong Well - Spring)",1636
"Sohra, Cherrapunjee (Wah U Dkhar - Spring)",1637
Shangpung (Umsahep Spring),1638
Borewell At Good Shaphard Parish In Ladrymbai,4323
Borewell At Khliehwah Shasem - A In Khliehriat,4324
Borewell At Khliehwah Shasem - B In Khliehriat,4325
Umiam Lake At Barapani,1347
Ward'S Lake At Shillong,1348
"Thadlaskein Lake, Jowai",1459
Umiam Lake At Outfall Of Umiam River Into Lake,3346
Umiam Lake At Middle Point,3347
Umiam Lake Atnear United Christian College,3348
"Tasek Lake At Songsak (Naphak),",3349
Bugi River At Mibanpara,3383
Bugi River At Dalu,3384
Ganol River Tura,1632
Garobadha,4112
"Kyrhukhla Near Sutnga Khlieriat, Jaintia Hills",1428
Myntdu River Jowai,1631
Simsang River Williamnagar,1633
Nangalbibra Bridge,4111
Simsang River At Baghmere,4326
Umiam Mawphlang River At Nongkrem,3353
Umiam Mawphlang River At Umtyngngar,3354
Umiam Mawphlang River At Mawphlang,3355
Umiam Mawphlang River At Shella,3356
"Umkhen River At Wah Kdait,",3350
"Umkhen River At Ksehpongdeng,",3351
Umkhen River At Diengpasoh,3352
"Umkhrah River At Mawlai, Near Slaughter House",3361
"Umngot River At Smit,",3357
Umngot River At Dawki,3358
Umshyrpi River At Risa Colony,3363
"Umshyrpi River At Law College, Dhanketi,",3364
Umshyrpi River At Umshyrpi Bridge,3365
Umtrew At Byrnihat East,1427
"Umtrew River At Umran,",3366
Damring River (Krishnei River) At Resubelpara,3380
"Deep Tube Well At Dongkamon Nongmensong, Shillong",4904
"Dug Well At Forest Colony, Polo, Shillong",4905
"Deep Tube Well At Laban Last Stop, Shillong",4906
Umiam Lake At Outfall Of Umiam Into Lake,3346
River Umtrew At Byrnihat East,1427
"River Kyrhukhla Near Sutnga Khlieriat, Jaintia Hills",1428
River Myntdu Jowai,1631
River Ganol Tura,1632
River Simsang Williamnagar,1633
"River Umkhen At Wah Kdait,",3350
"River Umkhen At Ksehpongdeng,",3351
River Umkhen At Diengpasoh,3352
River Umiam Mawphlang At Nongkrem,3353
River Umiam Mawphlang At Umtyngngar,3354
River Umiam Mawphlang At Mawphlang,3355
River Umiam Mawphlang At Shella,3356
"River Umngot At Smit,",3357
River Umngot At Dawki,3358
"River Umkhrah At Demthring, Shillong",3359
"River Umkhrah Atumkaliar, Shillong",3360
