monitoring_location,stn_code
Ramhlum (Northern Part),2054
Mission Vengthlang (Southern Part),2055
"Bawngkawn Hand Pump, Near Hb Petrolpump",3729
Selesih Hand Pump,3730
Tuikual Hand Pump,3731
Chaltlang Hand Pump Near Temi Tyre Works,3732
S Hlimen Hand Pump,3733
"Zobawk Veng Hand Pump, Lunglei",3739
"Chanmari Hand Pump, Lawngtlai",3742
"Project Neng Hand Pump, Serchhip",3748
"Bethel Veng Hand Pump, Champhai",3758
Tiawang Sairang,3709
"Serlui Stream, Reiek Kai Phe Water Treatment Plant",3710
"Vaipuanpho, Reiek Kai",3711
"Tuikual Stream, Reiek Kai",3712
"Sakhisih Stream,Vengthlang",3713
Tuirial Upstream Near Sumnath Village,3714
"Tuirial Airfield, Near Dumping Ground",3715
"Damdiai Stream, Airfield, Near Dumping Ground",3716
"Tuirial Airfield, After Dumping Ground",3717
"Chite Stream, Armed Veng Near Mini Sports Complex",3718
Tuirini Seling,3719
"Tuivawl Near Tuivawl Bridge, Keifang",3720
"Lawibuai Stream, Lawibual Village",3721
"Tamdil Lake, Saitual",3723
"Lungli Tuikhur, Republic Veng",3725
"Ramhlun 'S' Tuikhur, Near Community Hall",3726
"Tuithang Veng, Tuikhur",3727
"Khurpui Tuikhur, S Hlimen",3728
"Tlawng River, Upstream Zobawk, Lunglei",3734
Mat River,3735
"Tlawng Pialthleng, Zotlang, Lunglei",3736
"Vaitui Tuikhur, Theiriat, Lunglei",3737
"Sap Tuikhur, Serkawn Nearby",3738
"Saikah Stream, Lawngtlai",3740
"Khupui Tuikhur, Lawngtlai",3741
"Phe Reservoir, Helipad, New Saiha",3743
Chhimtuipui Kawlchaw,3744
"Chhochhopa Tuikhur, Saiha",3745
Tuikum Serchhip,3746
"Sesah Stream, Serchhip",3747
"Lahmun Phaizau, Mamit",3749
Teirei River,3750
Tut River,3751
"Tuichhuahen Stream, Kolasib",3752
"Hmar Veng Tuikhur, Kolasib",3753
Tlawng D/S Bairabi,3754
Tiau Champhai,3756
Tuipui Champhai,3757
Lawbuai Fishpond,3722
"Pond,Near Thermal Power Plant, Bairabi",3755
"Ramhlun S Tuikhur, Near Community Hall",3726
"Chaltlang Hand Pump, Near Remi Tyre Works",3732
"Vaitui Tuikhur,Theiriat, Lunglei",3737
"Project Veng Hand Pump,Serchhip",3748
"Hmag Veng Tuikhur, Kolasib",3753
"Pond Near Thermal Power Plant, Bairabi",3755
2055,GEN-9AFEFC
3730,GEN-D8C24C
3731,GEN-7EC3B3
3733,GEN-64D52E
3734,GEN-9D752C
3735,GEN-DC0C39
3736,GEN-3E195B
3737,GEN-3DB11D
3738,GEN-167384
3739,GEN-20885C
3742,GEN-1F72E2
4128,GEN-770C0E
"Bawngkawn Hand Pump,Near Hb Petrol Pump",3729
3753,GEN-258E13
"Electric Veng Tuikhur, Lungkei (Spring)",4124
"Pawhhawn Tuikhur, Nr Gm Hss, Vengsang, Champhai (Spring)",4126
"Khurpui Tuikhur, New Colony, Saiha (Spring)",4127
"Tuivamit Tuikhur, Aoc Veng, Lawngtlai (Spring)",4129
"Ngharpet Veng Tuikhur, Lungsir, Mamit (Spring)",4133
"Khurpui Tuikhur, Lawngtlai",3741
"Hand Pump, New Saiha Bazar",4128
River Tlawng Downstream Aizawl,2051
"River Tlawng Downstream, Bairabi",3754
"River Tlawng River, Suarpui, Bairabi Hepp Dam Site, Bairabi Vill",4121
"River Tlawng River,Pialthleng Zotlang, Lunglei",3736
"River Tlawng River,Upstream Zobawk,Lunglei",3734
River Tlawng Sairang,3709
River Tlawng Upstream Aizawl,2050
"River Tuirial Dam, Tuirial Hepp, Saipum Vill",4118
River Tuirial Lower Catchment,2053
"River Tuirial River, Airfield After Dumping Ground",3717
"River Tuirial River, Airfield, Nr Dumping Ground",3715
"River Tuirial River, U/S Nr Sumanth Village",3714
River Tuirial Upper Catchment,2052
"River Serlui Stream, Reiek Kai, Phe Water Treatment Plant",3710
"River Vaipuanpho Stream, Reiek Kai",3711
"River Tuikual Stream,Reiek Kai",3712
"River Sakhisih Stream, Mission Vengthlang",3713
"River Damdiai Stream, Airfield After Dumping Ground",3716
River Chithe Stream Armed Veng Nr Mini Sports Complex,3718
"River Tuirini River, Seling",3719
"River Tuivawl Near Tuivawl Bridge, Keifang",3720
"River Lawibual Stream, Lawibual Village",3721
"River Challui, Lengpui",3724
River Mat River,3735
"River Saikah Stream, Lawngtlai",3740
"River Chhimtuipui River, Kawlchaw",3744
"River Tuikum River, Serchhip",3746
"River Sesah Stream, Serchhip",3747
"River Lahmun River, Phaizau, Mamit",3749
"River Teirei River, Near Bawngva Viilage, Mamit",3750
"River Tut River, Near Dapchhuah Village",3751
"River Tuichhuahan Stream, Kolasib",3752
"River Tiau River, Champhai",3756
"River Tuipui River, Champhai",3757
"River Chithe Stream, Nr Sipmui'S Stp, Bethelem Vengthlang",4114
"River Tuikual Stream, U/S Nr New Secretariat Complex, Dinthar",4115
"River Tlawng At Phe Water Reservoir, Tuikhuahtlang, Aizawl",4116
"River Phe Water Reservoir, Tawizo Stream Water, Rulchawm Village",4117
"River Tuirial Dam, Tuirial Hepp, Saipum Village",4118
"River Serlui B Dam, Serlui'B'Hepp Site, Bilkhawthlir Village",4119
"River Teirei River, D/S Nr Confluence Pt With Tlawg River, Sapmara Village",4120
"River Tlawng River, Suarpui, Bairabi Hepp Dam Site, Bairabi Village",4121
"River Khawthlangtuipui River, Tlabung",4122
"River Tuipui Darzokai River, Chhimtuipui, Tuipui D Village",4123
"River Tuipui, U/S Nr Confluence Pt Keilungliah Stream, Vengthar, Champhai",4125
"River Ngengpui Stream, Nr Kaladan Multi Modal Rd, Ngengpui",4130
"River Chengkawl Lui At Phe Reservoir, Chawnhu Village",4131
"River Vaitui Tuikhur,Theiriat, Lunglei (Waterfall- Vanva River)",4132
"Ramhlun 'N' Spring Water, Aizawl",2054
"Mission Vengthlang Spring Water, Aizawl",2055
"Lungli Spring Water, Republic Veng, Aizawl",3725
"Ramhlun 'S' Spring Water, Near Community Hall, Aizawl",3726
"Tuithiang Veng Spring Water, Aizawl",3727
"Khurpui Spring Water, South Hlimen, Aizawl",3728
"Selesih Hand Pump, Aizawl",3730
"Tuikual Hand Pump, Aizawl",3731
"Chaltlang Hand Pump, Near Remi Tyre Works, Aizawl",3732
"South Hlimen Hand Pump, Aizawl",3733
"Vaitui Spring Water, Theiriat , Lungei",3737
"Sap Tuikhur Spring Water, Serkawn, Lunglei",3738
"Zobawk Hand Pump, Lunglei Dist.",3739
"Khurpui Spring Water, Lawngtlai",3741
"Chhochhopa Spring Water, New Colony, Saiha",3745
"Hmar Veng Spring Water, Kolasib",3753
"Electric Veng Spring Water, Lunglei",4124
"Pawhhawn Spring Water, Nr Gm Hss, Vengsang, Champhai",4126
"Khurpui Spring Water, New Colony, Saiha",4127
"F Lallawmawma Well, New Saiha, Saiha Dist.",4128
"Tuivamit Spring Water, Aoc Veng, Lawngtlai",4129
"Ngharpet Veng Spring Water, Lungsir, Mamit",4133
"Lawibual Fishpond, I.T.I Veng, Aizawl",3722
"River Tlawng D/S, Rimawi Veng, Bairabi,Kolasib Dist.",3754
"River Tlawng D/S, Suarpui, Bairabi Hepp Dam Site, Bairabi,Kolasib Dist.",4121
"River Tlawng Mid Stream, Reiek Kai, Aizawl, U/S Of Tlawng Bridge",2050
"River Tlawng U/S, Pialthleng Zotlang, Lunglei",3736
"River Tlawng U/S, Zobawk Village, Lunglei Dist.",3734
"River Tuirial Mid Stream, Tuirial Village, U/S Of Tuirial Bridge",2052
"River Tuirial D/S, Hepp Dam, Saipum, Kolasib Dist.",4118
"River Tuirial Mid Stream, Airfield, D/S Of Tuirial Waste Management Centre, Aizawl Dist",3717
"River Tuirial Mid Stream, Airfield, U/S Of Tuirial Waste Management Centre, Aizawl Dist.",3715
"River Tuirial Upstream, Sumsuih,Aizawl Dist",3714
"River, Tlawng Mid Stream, Reiek Kai, Aizawl, D/S Of Tlawng Bridge",2051
"River, Tlawng Sairang",3709
"River, Tuirial Mid Stream, Tuirial Village, D/S Of Tuirial Bridge",2053
"Tlawng River, U/S, Pialthleng Zotlang, Lunglei",3736
"Tuirial River, Upstream, Sumsuih,Aizawl Dist",3714
"Tuirial River, Mid Stream, Airfield, U/S Of Tuirial Waste Management Centre, Aizawl Dist.",3715
"Tuirial River, Mid Stream, Airfield, D/S Of Tuirial Waste Management Centre, Aizawl Dist",3717
"River, Serlui Stream, Reiek Kai, Near Phe Water Treatment Plant, Aizawl",3710
"Vaipuanpho Stream, Ailawng, Mamit Dist.",3711
"River Tuikual Stream, U/S, Mizoram New Capital Complex , Dinthar, Aizawl",4115
"Tuikual Stream, D/S, Reiek Kai, Near Phe Water Treatment Plant, Aizawl",3712
"Sakhisih Stream, Mission Vengthlang, Aizawl",3713
"Damdiai Stream, Airfield, Near Tuirial Waste Management Centre, Aizawl Dist",3716
"Chite Stream, Armed Veng, Near Mini Sports Complex, Aizawl",3718
"Tuirini River, Seling, Saitual Dist",3719
"Tuivawl River, Keifang Village, Near Tuivawl Bridge,Saitual Dist",3720
"Lawibual Stream, I.T.I Veng, Aizawl",3721
"Challui Stream, Lengpui, Aizawl Dist",3724
"Tlawng River, U/S, Zobawk Village, Lunglei Dist.",3734
"Mat River, Dawn Village, Near Mat Bridge,Lunglei Dist.",3735
"Chhimtuipui River, Kawlchaw, Near Chhimtupui Bridge, Saiha Dist.",3744
"Tuikum River, Near Phe Water Treatment Plant, Serchhip",3746
"Sesah Stream, Dinthar, Serchhip",3747
"River Phe Reservior (Lahmun River), Mizo Veng, Mamit",3749
"River Teirei Bawngva, Mamit Dist.",3750
"River Tut Dapchhuah, Mamit Dist.",3751
"River Tuichhuahen Stream, Near Phe Water Treatment Plant, Kolasib",3752
"River Tiau, Zokhawthar, Near Tiau Bridge,Champhai Dist.",3756
"River Tuipui Near Phe Water Treatment Plant, Champhai Dist.",3757
"River Chite Stream, Near Sipmiu'S Stp, Bethlehem",4114
"River Serlui D/S, Serlui 'B' Hepp Dam, Bilkhawthlir, Kolasib Dist.",4119
"River Teirei D/S Nr Confluence Pt With Tlawng River, Sapmara, Bairabi,Kolasib",4120
"River Khawthlangtuipui ,Tlabung, Lunglei",4122
"River, Tuipui D Darzokai, Hnahthial Dist.",4123
"River Tuipui U/S, Nr Confluence Pt Keilungliah Stream, Vengthar, Champhai",4125
"River Ngengpui Stream, Nr Kaladan Multi Modal Rd, Lawngtlai Dist.",4130
"River Vantawng Water Fall, Thenzawl, Serchhip Dist.",4132
