monitoring_location,stn_code
"Dhansiri, Full Nagarjan",1796
"Dhansir,Bridge Near Purana Bazaar",1797
Near Check Gate (Dimapur Khutkhuti Road),1798
"Dhansir, Town Boundary Bridge (Diphu Road)",1799
"Dhansir, Nuton Basti",1800
"Chathe At Medziphema, Dimapur",1929
Dzu D/S Kohima Town,1930
Borewell At Kohima Village In Kohima,2896
"Borewell At Kamdi Bazar, Peren",2897
"Borewell At Dhansiripar, Dhansiripar Division, Dimapur",2899
"Openwell At Lungwiram Village, Dimapur",2901
"Borewell At Thahekhu Village, Dimapur",2902
"Openwell At Signal Angami Village, Dimapur",2903
"Openwell At Naga Cemetery, Dimapur",2904
"Borewell At Signal Point, Dimapur",2905
"Pudumpukhuri, Dimapur, Nagaland",2886
"Bangla Fishery, Dimapur, Nagaland",2887
Dhansiri At Full Nagarjan,1796
Dhansiri At Town Boundary Bridge (Diphu Road),1799
"Dhansiri At Bridge Near Purana Bazaar, Nagaland",1797
Dhansiri At Nuton Basti,1800
Dhansiri At Near Check Gate (Dimapur Khutkhuti Road),1798
"Dhansiri River Near Bridge At Nh15, Dhansiri Bhalukmari Jungle, Udalguri",3764
Dhansiri River At Jahaighat,3792
"Chathe River Near Christian Institute Of Health Sciences And Research (Cihsr), Dimapur",2888
Dzucha Ru In Kohima,2889
Sano Ru In Kohima,2890
"Dzuna Ru In Kohima, Adjoining The New Kohima Municipal Council Solid Waste Management Site, Nagaland",2892
Dzuna Ru (Confluence Of Dzucha & Dzuna Ru) In Kohima,2893
"Milak River At Tuli, Mokokchung",2894
"Milak River At Paper Nagar, Tuli, Mokokchung",2895
2897,GEN-6E3197
2900,GEN-F9FD26
2901,GEN-A57E89
2902,GEN-379A7B
2904,GEN-B8B9C7
2905,GEN-314450
"Town Boundary Bridge (Diphu Road), Nagaland",1799
"Nuton Basti, Nagaland",1800
Chathe River Near Christian Institute Of Health Sc,2888
"Dzuna Ru In Kohima, Adjoining The New Kohima Munic",2892
"Milak River At Tuli, Mokokchung, Nagaland",2894
"Openwell At Doyapur Dhansiripar Division, Dimapur",2898
"Openwell At Toulazouma Village, Dimapur",2900
"Pudumpukhuri, Dimapur",2886
"Bangla Fishery, Dimapur",2887
Dzuna Ru In Kohima,2889
"Dzuna Ru In Kohima, Adjoining The New Kohima Municipal Council Solid Waste Management Site,",2892
Nagaland,1797
"Health Sciences And Research (Cihsr),",2888
Dzudza Ru In Kohima,2889
River Dhansiri At Full Nagarjan,1796
"River Dhansiri At Bridge Near Purana Bazaar, Nagaland",1797
River Dhansiri At Nuton Basti,1800
River Dhansiri At Near Check Gate (Dimapur Khutkhuti Road),1798
River Dhansiri At Town Boundary Bridge (Diphu Road),1799
River Dhansiri At Ganesh Nagar,30070
River Dhansiri At Nagarjan Bridge,30071
River Dhansiri At Khatkati Gate,30072
River Dzu D/S Kohima Town,1930
"River Chathe At Medziphema, Dimapur",1929
"River Chathe Near Christian Institute Of Health Sciences And Research (Cihsr), Dimapur",2888
River Dzucha Ru In Kohima,2891
River Dzudza Ru In Kohima,2889
"River Dzuna Ru In Kohima, Adjoining The New Kohima Municipal Council Solid Waste Management Site, Nagaland",2892
River Dzuna Ru (Confluence Of Dzucha & Dzuna Ru) In Kohima,2893
River Sano Ru In Kohima,2890
"River Milak At Tuli, Mokokchung",2894
"River Milak At Paper Nagar, Tuli, Mokokchung",2895
Openwell At Kohima Village ?T? Khel (House No.21),2896
Borewell At Kamdi Bazaar,2897
Openwell At Doyapur Near Dimasa Baptist Church,2898
Borewell At Dhansiripar Near Sibrai (Shiv) Temple,2899
Openwell At Toulazouma Village (House No.379),2900
Openwell At Lungwiram Village Near Lungwiram Baptist Church,2901
"Borewell At Thahekhu Village, Block 3, Near Railway Crossing",2902
"Borewell At Signal Angami Village, House No 93",2903
"Openwell Near Naga Cemetery (Old), (House No.10)",2904
"Borewell At Npcb, Signal Point",2905
River Dhansiri At Full Nagarjan Bridge,1796
River Dhansiri At Bridge Near Purana Bazaar,1797
River Dhansiri At Notun Bosti Near Naga Cemetery (Old),1800
"River Dhansiri At Kushiabill , Near Kachari Local Ground",1798
River Dzu At Dzu Bridge,1930
"River Chathe Near Icar, Medziphema",1929
River Chathe At Bridge Near Cihsr,2888
Dzucha Ru,2891
Dzudza Ru Below Hydro Project Station,2889
Kha Ru Adjoining Municipal Council Swm Site,2892
River Dzucha Confluence Of Dzucha And Kha Ru,2893
Sanuo Ru Below New Secretariat,2890
"River Milak At Borbora Ward, Tuli",2894
"River Milak At Paper Nagar, Tuli",2895
