monitoring_location,stn_code
Jobra( Origin Of Talaganda Cnal),2428
"Naubazar, Cuttack City",2429
"Atharabanki(Water Intake Point Of Ppl, Iffco & Ppt)",2430
Puri,2439
Paradeep,2440
Gopalpur,2441
"Jagatpur Industrial Area, Cuttack",1644
"Madhupatna- Kalyan Nagar Area, Cuttack",1645
"Bidanashi - Tulasipur Area, Cuttack",1646
"Badambari Area, Cuttack",1647
"Ranihat- Mangalabagh Area, Cuttack",1648
"Khandagiri Area, Bhubaneswar",1649
"Capital Hospital Area, Bhubaneswar",1650
"Old Town- Samantaraaipur Area, Bhubaneswar",1651
"Kalpna - Laxminagar Area, Bhubaneswar",1652
"Mancheswar Industrial Area, Bhubaneswar",1653
"Secretariat- Governor House- Oldbus Stand Area, B",1654
"Near Sea Beach, Puri",1655
"Near Jagannath Temple, Puri",1656
"Hospital - Busstand- Maushima Temple Area, Puri",1657
"Near River Kushabhadra, Puri",1658
Rushikulya U/S Ganjam,1455
Rushikulya D/St Ganjam,1456
Nagavalli D/S Jaykaypur,1642
Nagavalli D/S Rayagada,1643
"Nagavalli, Penta U/S Jaykaypur Town",2422
"Budhabalanga, D/S Of Baripada Town",2423
Budhabalanga D/S Balasore,2424
"Kerandi(Intake Well Of Nalco Refinary, Hal, Sunabeda)",2425
Vamsadhara Muniguda (D/S Of M/S Vedantaalumina Project),2426
Vamsadhara Gunupur (Interstate Boundry),2427
Chilka Lake (Ramsar Site),2437
Anshupa,2438
"Bindu Sagar, North (Lingraj Temple)",2431
Narendra Pokhari,2432
Indradyumna Pond,2434
Swetaganga,2435
Parvati Sagar,2436
Mahanadi At Hirakud Reservoir,1281
Mahanadi U/S Sambalpur,1270
Mahanadi D/S Sambalpur,1271
Sambhalpur Fds At Huma,2405
Mahanadi D/S (A/C With R. Ong Sonepur U/S),1272
Mahanadi A/C With R.Tel (Sonepur D/S),1274
Mahanadi At Tikarpada,1275
Mahanadi At Narsinghpur,1276
Mahanadi U/S Cuttack,1277
Mahanadi D/S Cuttack,1278
"Mahanadi, Mundali(Water Intake Point Of Bhubaneswar City",2406
"Mahanadi, Power Channel D/S Near Burla",2404
"Mahanadi, Paradeep U/S (Before Industrial Activity At Paradeep)",2407
Mahanadi D/S Paradeep,1639
Birupa At Choudwar,1640
"Mahanadi, Bhubaneswar Fd/S ( 2 Km A/C Of Gangua Nallah With Daya)",2411
Ib At Sundargarh,1267
Ib At Jharsuguda (Intake),1268
Ib D/Sbrajrajnagar (Intake),1269
Ib U/S Raj Nagar,1300
Bheden B/C With Ib,2403
Kathajodi D/S Cuttack,1301
Kuakhai U/S Bhubaneswar,1279
Kuakhai D/S Bhubaneswar,1280
"Kuakhai, Fu/S Bhubaneswar",2410
"Serua, Fds Cuttack, Sankhatrasa",2409
Tel At Manamunda,2408
Brahmani U/S Panposh,1037
Brahmani D/S Panposh,1038
Brahmani D/S Rourkela,1302
"Brahmani, Fds Rourkela At Biritola",2414
Brahmani At Bonaigarh,1039
Brahmani At Rengali,1040
Brahmani At Samal,1041
Brahmani U/S Talcher,1303
"Talcher Fu/S (Intake Well Of Mcl, Talcher)",2415
Brahmani Fd/S Talcher,2416
"Brahmani At Kamalanga, Orissa",1042
"Dhenkanal D/S, Dhenkanal Town",2417
Brahmani At Bhuban,1043
Kabatabandha (Before Impact Of Industrial Activity In Kalinganagar Area),2418
Brahmaniu/S Dharmashala,1044
Brahmani At Pattamundai,1045
Khanditara (D/S Of Industrial Activities At Kalinga Nagar),2419
Kharsrota At Aul,2420
Koel U/S (A/C Of Karo),2413
Baitarni At Joda,1081
Baitarni At Anandpur,1082
Baitarni At Jajpur,1083
