monitoring_location,stn_code
Dhanaula Drain Falling Into Lassara Drain Near Vill. Dhunas,2906
Hudiara Drain At Vill. Dhahuke (Where It Enters Pakistan),2907
Outlet Of Nadiala Drain Into Dhakansu Nallah,2908
Outlet Of Shreyans Paper Mill Falling Into Tallewal Drain,2909
Outlet Of Khanna Paper/R.C.Paper Into Tung Dhab Drain,2910
Outlet Of Pathlawa Drain Falling Into Est Bein,2911
"Petrol Pump Opp. Hero Cycle, Ludhiana",1898
"Bhagwan Singh, H.No.907, Dasmesh Nagar, Gali No. 6, Ludhiana",1899
"Gurchaaran Singh Haibowal Dairy Complex, Ludhiana",1900
"Dusshera Ground Industrial Estate, Ludhiana",1901
"Shukla Tea Stal Point, Ludhiana",1902
"Punjab Agricultureal University, Ludhiana",1903
Dera Bassi,2918
Hamira Village,2920
"Leather Complex, Jalandhar",2922
Mandi Gobindgarh,2924
Nangal,2926
Ropar,2928
Toansa,2930
"Near Landfill Site, Amritsar",2916
"Near Harmandir Saheb, Amritsar",2917
Ghaggar At Mubarakpur Rest House (Patiala),1023
Ghaggar At 100M D/S Conf. With R. Saraswati (Patiala),1024
"Ghaggar Near Bankarpur, Dera Bassi",1295
Ghaggar D/S Ratanheri A/C Of Patiala Nadi,1473
Ghggar D/S Chhatbir,1698
Ghggar U/S Dhakansu Nallah,1699
Ghggar D/S Dhakansu Nallah,1700
Ghggar D/S Jharmal Nadi,1701
Ghggar U/S Jharmal Nadi,1702
Ghaggar At Moonak,1703
Ghggar D/S Sardulgarh,1704
Ghggar U/S Sardulgarh,1705
Ghggar P/S Budha Nallah,2914
Harike Lake At Harike Village,1297
Harike Lake D/S From Canal,1382
Ranjit Sagar Reservoir,2912
Beas At Talwara H/W,1693
Beas U/S Pathankot,1694
Beas D/S Pathankot,1695
Beas At 1Km.D/S Of Effl. Dish. Point At Mukerian,1294
Beas At G.T.Road Under Bdg. Near Kapurthala,1011
Beas U/S Goindwal,1696
Beas 100M D/S Indust. Disch. Goindwal,1012
"Beas At Harike, Punjab",1697
East Kali Bein Falling Into River Beas,2913
"Satluj 100M U/S Of Headworks, Nangal",1017
"Satluj 100M D/S , Nangal",1018
Satluj 1 Km. D/S Of Zenith,1293
Satluj D/S Kiratpur Sahib,1814
Satluj U/S Head Works Ropar,1019
Satluj D/S Nfl,1380
Satluj U/S Budha Nallah (Upper),1690
"Satluj 100M D/S Budha Nala Confl., Ludhiana",1020
"Satluj At Boat Bdg. Dharmkotnakodar Road, Jalandhar",1021
Satluj D/S East Bein Basin,1381
Satluj U/S Hussaniwala - H/W Ferozepur,1691
Satlujd/S Hussaniwala-H/W Ferozepur,1692
"Satluj, 100 Mt. D/S Of Pacl, Nangal",2915
"Satluj At Bridge Harike, Amritsar",1022
"Ravi U/S Of Madhopur H/W, Gurdaspur",1097
"Near Landfill Site, Amritsar, Punjab",2916
"Near Harmandir Saheb, Amritsar, Punjab",2917
"Dera Bassi, Punjab",2918
"Hamira Village, Punjab",2920
"Leather Complex, Jalandhar, Punjab",2922
"Mandi Gobindgarh, Punjab",2924
"Nangal, Punjab",2926
"Ropar, Punjab",2928
"Toansa, Punjab",2930
"Harike Lake At Harike Village, Punjab",1297
"Harike Lake D-S From Canal, Punjab",1382
"Ranjit Sagar Reservoir, Punjab",2912
20025,GEN-73B022
20026,GEN-91D5CF
20027,GEN-09CE3C
20028,GEN-C4D2CE
1698,GEN-9FE97F
1703,GEN-375C71
1704,GEN-A588A6
1705,GEN-2A27B8
"Satluj At 100M U/S Of Headworks, Nangal",1017
"Satluj At 1 Km. D/S Of Zenith, Punjab",1293
"Satluj At D/S Kiratpur Sahib, Punjab",1814
"Satluj At 100M D/S , Nangal",1018
Satluj At U/S Head Works Ropar,1019
"Satluj At D/S Nfl, Punjab",1380
"Satluj At U/S Budha Nallah (Upper), Punjab",1690
"Satluj At 100M D/S Budha Nala Confl., Ludhiana",1020
"Satluj At D/S East Basin, Punjab",1381
"Satluj At U/S Hussaniwala H/W Ferozepur, Punjab",1691
"Satluj At D/S Hussaniwalah/W Ferozepur, Punjab",1692
"Satluj At 100 Mt. D/S Of Pacl, Nangal, Punjab",2915
Satluj River D/S Trt Of Rampur Hydel Electric Project,3869
