monitoring_location,stn_code
"River Narmada Main Canal (Before Entering In Rajasthan State), Tehsil Sanchore, Jalore",2932
"Gang Canal At Khakka Hear Near Hindumal Kot, Ganganagar",2933
Masitawala Head Hanumangarh,2934
"Well Of Loomji, Chaudhary, Near Nayagaon, Pali, (U/S 1 Km. From Pali Town)",1415
"Well Of Bhopal Singh, 24 Km. From Pali Town",1416
"Riico Pump House Near Monto Motors, Mia, Alwar",1706
"Bore Well In Modi Alkalis & Chemicals, Mia, Alwar",1707
"Well Kothi In Village Bagar Rajput, Alwar",1708
"Well At Village Santhla Very Near Bhiwadi Industrial Area, Bhiwadi",1709
"Well At Village Alupur, Very Near Bhiwadi Industrial Area, Bhiwadi",1710
"Well At Village Harchandpur, Very Near, Bhiwadi To Bhiwadi Industrial Area, Bhiwadi",1711
"Well At Village Bhiwadi , Very Near, Bhiwadi To Bhiwadi Industrial Area, Bhiwadi",1712
"Well At Village Gattal, Near, Bhiwadi To Bhiwadi Industrial Area, Bhiwadi",1713
Hand Pump Near Secondary School About 300Mt. From Kansua Nallah Kota,1715
"Chaudhary Ka Well Village Paniala, Kotaputali Near Associated Alcohol Breveries Ltd Jaipur",1720
"Phed Well Near Railway Line Jhotawara, Jaipur",1721
"Kodra Dam, Mount Abu",1717
"Jawai Dam, Sirohi",2947
"Hemawas Dam, Pali",2948
"Ranakpur Dam, Ranakpur, Pali",2949
Pichola Lake At Udaipur (Water Intake Point),1285
Udaisagar Lake At Udaipur (Intake Pt.),1286
Pushkar Lake,1414
Fateh Sagar Lake At Udaipur Intake Point Of Phed,1481
Kayalana Jheel Jodhpur,1714
"Nakki Lake, Mt. Abu",1716
"Lake Jet Sagar, Bundi",2935
"Jaisamand Lake, Alwar",2936
"Lake Siliserh, Alwar",2937
"Lake Rajsamand, Rajsamand- Point No. 1, Rajsamand",2938
"Lake Rajsamand, Rajsamand- Point No. 2, Rajsamand",2939
"Gape- Sagar Lake, Dungarpur",2940
"Lake Jaisamand, Salumber, Udaipur, Point No. 1",2941
"Lake Jaisamand, Salumber, Udaipur, Point No. 2",2942
"Lodha Talab, Banswara- Dungarpur Road, Banswara",2943
"Jalmahal, Jaipur",2944
"Chambal Entering In Rajasthan At Gandhi Sagar Dam, Kota",2955
Chambal At Kota U/S (Intake Pt. Near Barrage),1288
Chambal At Kota D/S (2 Km. From City),1289
Chambal At Rameshwarghat Nr. Sawaimadhopur,1413
"Parvati B/M Chambal At Khatoli, Kota",2954
"Kali Sindh At Anicut Of M/S Cfcl Gadepan, Kota",2953
"River Kali Sindh At Barod Road Bridge, Kota",2956
"Banas,Dhanari Dam, Near Swaroopganj, Sirohi",2950
"Banas,Near Newta Dam, Jaipur",2952
"Banas,Bisulpur Dam, Tonk",2951
"Chhapi ,U/S Of Chhapi Dam, Jhalawar",2945
"Ujad,U/S Of Bhim Sagar Dam, Jhalawar",2946
Mahi (D/S) Conf With R. Chap (Under Sagwara-Sarhi Rd. Bdg.),1232
Mahi Near Rajasthan Border At Kadana Dam,1229
Meshwa Near Rajasthan Border At Samlaji,1224
"Well Of Bhopal Singh, 24 Km. From Pali Town, Rajasthan",1416
"Bore Well In Modi Alkalis & Chemicals, Mia, Alwar, Rajasthan",1707
"Well At Village Santhla Very Near Bhiwadi Industrial Area, Bhiwadi, Rajasthan",1709
"Well At Village Harchandpur, Very Near, Bhiwadi To Bhiwadi Industrial Area, Bhiwadi, Rajasthan",1711
"Well At Village Gattal, Near, Bhiwadi To Bhiwadi Industrial Area, Bhiwadi, Rajasthan",1713
"Chaudhary Ka Well Village Paniala, Kotaputali Near Associated Alcohol Breveries Ltd Jaipur, Rajasth",1720
"Hand Pump Of Vidhani Village Goner Road Jaipur, Rajasthan",1723
"Public Hand Pump Before Sanganer Pulia, Rajasthan",1725
"Village Vinayakia, Jodhpur (Hiralal Kumhar)",2016
"Pichola Lake At Udaipur (Water Intake Point), Rajasthan",1285
Udaisagar Lake At Udaipur (Intake Pt.) Rajasthan,1286
"Pushkar Lake, Rajasthan",1414
"Fateh Sagar Lake At Udaipur Intake Point Of Phed, Rajasthan",1481
"Kayalana Jheel Jodhpur, Rajasthan",1714
"Nakki Lake, Mt. Abu, Rajasthan",1716
"Lake Jet Sagar, Bundi, Rajasthan",2935
"Jaisamand Lake, Alwar, Rajasthan",2936
"Lake Siliserh, Alwar, Rajasthan",2937
"Lake Rajsamand, Rajsamand- Point No. 1, Rajsamand, Rajasthan",2938
"Lake Rajsamand, Rajsamand- Point No. 2, Rajsamand, Rajasthan",2939
"Gape- Sagar Lake, Dungarpur, Rajasthan",2940
"Lake Jaisamand, Salumber, Udaipur, Point No. 1, Rajasthan",2941
"Lake Jaisamand, Salumber, Udaipur, Point No. 2, Rajasthan",2942
"Lodha Talab, Banswara- Dungarpur Road, Banswara, Rajasthan",2943
"Jalmahal, Jaipur, Rajasthan",2944
2934,GEN-5DC126
2947,GEN-AD8E88
2948,GEN-15C00B
"Mahi (D/S) Conf With R. Chap (Under Sagwarasarhi Rd. Bdg.), Rajasthan",1232
"Mahi Near Rajasthan Border At Kadana Dam,",1229
"Meshwa Near Rajasthan Border At Samlaji,",1224
2017,GEN-8D8818
2019,GEN-EA6B2E
2023,GEN-5531A5
2029,GEN-093B60
2030,GEN-2D579D
2032,GEN-535269
2970,GEN-6DB291
2971,GEN-AF44C4
2972,GEN-0F21F0
2976,GEN-A209CA
2987,GEN-AE1D2C
2988,GEN-FAA453
4168,GEN-E46BC0
4169,GEN-219289
4170,GEN-ADC8CA
4177,GEN-13B919
4178,GEN-155841
1414,GEN-7A6741
4179,GEN-91F573
"Kodra Dam, Mount Abu, Rajasthan",1717
"Jawai Dam, Sirohi, Rajasthan",2947
"Ranakpur Dam, Ranakpur, Pali, Rajasthan",2949
4171,GEN-1BD36C
Rajasthan,"RIVER NARMADA MAIN CANAL
(BEFORE ENTERING IN RAJASTHAN
STATE), TEHSIL SANCHORE,
JALORE, RAJASTHAN"
River Chambal Entering In Rajasthan At Gandhi Saga,2955
"Chambal At Kota D/S (2 Km. From City), Rajasthan",1289
River Parvati Before Meeting River Chambal At Khat,2954
"Bisulpur Dam, Tonk, Rajasthan",2951
"Upstream Of Chhapi Dam, Jhalawar, Rajasthan",2945
"Upstream Of Bhim Sagar Dam, Jhalawar, Rajasthan",2946
"Well Of Loomji, Chaudhary, Near Nayagaon, Pali, (U/S 1 Km. From Pali Town), Rajasthan",1415
"Riico Pump House Near Monto Motors, Mia, Alwar, Rajasthan",1706
"Well Kothi In Village Bagar Rajput, Alwar, Rajasthan",1708
"Well At Village Alupur, Very Near Bhiwadi Industrial Area, Bhiwadi, Rajasthan",1710
"Well At Village Bhiwadi , Very Near, Bhiwadi To Bhiwadi Industrial Area, Bhiwadi, Rajasthan",1712
"Hand Pump Near Secondary School About 300Mt. From Kansua Nallah Kota, Rajasthan",1715
"Chaudhary Ka Well Village Paniala, Kotaputali Near",1720
"Phed Well Near Railway Line Jhotawara, Jaipur, Rajasthan",1721
"Well Of Goojaron Ki Talai, Mohana Road Sanganer Jaipur, Rajasthan",1724
"Pabupura Road Near Civil Air Port, Jodhpur (Mangilal Rathor)",2015
"Village Vinayakia, Jodhpur (Badri Kumhar)",2017
"Village Vinayakia, Jodhpur (Hukum Singh Rathore)",2018
"New Fatehpura, 200 Ft.From Panchwati Nallah, Udaipur",2020
"Near Arvind General Store, Aloo Factory, Kacchi Basti, Sardarpura, Udaipur",2021
"Near Rana Pratap Nagar, Railway Station, Udaipur",2022
"Hotel Orient Place, Subhas Nagar, Udaipur",2023
"In Side Shiv Temple Near Air Force Station Amer Road, Jaipur",2024
"Near Shree Kalyaneshwar Mahadev Temple, Jai Singh Pura Khurd, Jaipur.",2025
"Near Abn Central Academy, Susilpura, Sodala, Jaipur.",2027
"Near Samshan Vishwakarma Nagar, Maharanifarm, Jaipur",2028
"Near 9 No. Petrol Pump, Near Adarsh Nagar Gate, Ajmer",2031
"Well Infront Of Singhana Police Station, Singhana, Jhunjhunu, Rajasthan",2960
"Well Of Sh Mnagal Chand Meena, Manpur Macheri, Jaipur, Rajasthan",2961
"Well Of Sh Mool Chand Raiger, Manpur Macheri, Jaipur, Rajasthan",2962
"Well Of Riico At Leather Complex, Manpur Macheri, Jaipur, Rajasthan",2963
"Well At India Public School, Manpur Macheri, Jaipur, Rajasthan",2964
"Shri Girdhari Singh Choudhary Near Bandi River Bridge, Pali Bye Pass Road, Pali, Rajasthan",2965
"Shri Girdhari Singh Rajpurohit Near Village Punayata, Jodhpur- Sumerpur Bye Pass Road, Pali, Rajasthan",2966
"Sh. Pol Singh Purohit, Village Punayata, Pali, Rajasthan",2967
"Sh. Bhana Ram Kalal, Dharu Nagar, Near Main Mandia",2968
"M/S Specialty Silica Ltd., Mia Alwar Agro Food Park, Alwar, Rajasthan",2969
"Riico Tube Well, Ria, Behror, Rajasthan",2970
"Riico Tube Well, Ria, Neemrana, Rajasthan",2971
"Riico Tube Well, Ria, Sotanala, Rajasthan",2972
"Riico Tube Well, Ria, Shahjahanpur, Rajasthan",2973
"Village Agyara, Tehsil- Ramgarh, Alwar, Rajasthan",2974
"Village Bager Meo, Tehsil- Ramgarh, Alwar, Rajasthan",2975
"Sujan Ganga, Bharatpur, Rajasthan",2976
"Well Of Ram Chandra Dewra, Village- Sangaria, Jodhpur, Rajasthan",2977
"Well Of Birma Ram Patel, Salawas, Jodhpur, Rajasthan",2982
"Well Of Girdhari Ram Meghwal, Village- Nandwan, Jodhpur, Rajasthan",2985
"Tube Well Of Girdhari Lal, Bhituja, Rajasthan",2986
"Cwr Of Phed, Bhituja, Rajasthan",2987
"Well Of Pema Ram Mali, Bhituja, Rajasthan",2988
"Well Of Babulal Ukkad Ji Mali, Sakarna Bera, Balotra, , Jodhpur, Rajasthan",2989
"Well Of Bhiksingh S/O Amar Singh Purohit, Sakarna Bera, Balotra, Jodhpur, Rajasthan",2990
"Well Of Bhag Ji Laxman Ram Mali, Sakarna Bera, Balotra, Jodhpur, Rajasthan",2991
"Well Of Choutha Ram Pusa Pam, Left Side Of Bridge Luni, Balotra, Rajasthan",2993
"Bore Well Sh. Prem Chand, Village Phalsha Mode Ria Chopnadi, Rajasthan",2999
"Bore Well Sh. Umesh Kumar S/O Sh. Horidwari Ram 3A-16 Uit, Bhiwadi, Rajasthan",3000
"Bore Well Sh. Bhram Jeet Service Station, Bhiwadi, Rajasthan",3001
"Bore Well M/S R.C. Palace Hotel, Bhiwadi, Rajasthan",3002
"Bore Well Office Of Raj. Housing Board, Bhiwadi, Rajasthan",3003
"Bore Well Of M/S Modern Public School, Bhiwadi, Rajasthan",3004
"Bore Well Of M/S Kundan Edible Food Product, Khuskhera, Rajasthan",3005
"Hand Pump Near Nevta Tiraha, Nevta Dam, Sanganer, Jaipur, Rajasthan",3006
"Bore Well Near Stp At Gajadharpura, Jaipur",4165
"Bore Well Near Msw Site/ Kanota Dam, Jaipur",4166
"Hand Pump At Village Mandapia, Bhilwara",4168
"Hand Pump At Village Mangrop, Bhilwara",4169
"Hand Pump At Village Atoon, Bhilwara",4170
"Hand Pump Near Riico Inustrial Area, Aajoliyon Ka Khera, Gangrar, Chittorgarh",4176
"Borewell Of Jyoti Uchch Madhymic Vidhyalaya, Nayagaon, Rampur Mundana, Bhiwadi",4180
"Borewell In The House Akram Khan, Amlaki, Kharganj Indl Area, Tijara, Alwar",4181
"Borewell At Ro Of Rspcb, Bhiwadi, Tijara, Alwar",4182
"Borewell At Star Hospital, Infront Of Stp, Bhiwadi, Tijara, Alwar",4183
"Borewell In Cetp Premises, Bhiwadi, Tijara, Alwar",4184
"Handpump In Front Of Urban Improvement Trust, Civil Lines, Ajmer",4759
"Handpump Within Premises Of Nagar Parishad Office, Old City Road, Deshwali Mohalla, Krishangarh",4760
"Tube Well Of M/S Balotra Water Pollution Control And Research Foundation Trust (Cetp) Khed Road, Balotra",4761
"Tube Well Of M/S Vishal Processor, Bher Ji Ki Badi, Balotra,",4762
"Borewell Of Shri Pemaram Mali/Dhudaram Mali, Bithuja, Balotra",4763
"M/S Abhishek Kothari, Nakoda Road Mewa Nagar, Jasol, Pachpadra,",4764
"Borewell Of Ajanta Textiles Nakoda Road, Jasol,",4765
"Borewell Of Amritlal S/O Bacharaj & Joint Krishi Form Kh. No. 66/15, Bithuja",4766
"Open Well Of Sagnaram Mali S/O Rajaram Mali, Khasra No. 9, Sindri",4767
"Openwell Of Shri Ishwar Singh Mali S/O Bhurji Mali, Dhanna Ki Dhani Bilasar,",4768
"Riico Tubwell No. 1, Located Near Ganpati Tubes & Fabrication (P) Ltd Sp-A-53(A), Ria, Bhiwadi, Opposite To Wheel'O City At T-Point, Tehsil- Tijara",4774
"Riico Tubewell No. 3 Located On Road Side Close To Indag Rubber And Opposite To Honda Showroom, Neelam Chowk, Bhiwadi, Tehsil- Tijara",4775
"Riico Tubwell No. 27 Located Opposite To Megatech International, G-1428, Phase-V, Rampur Mundana In Riico Open Area, Bhiwadi, Tehsil- Tijara",4776
"Riico Tubewell No. 31, Located Near Bkl Lifestyle, Plot No. 1228, Ria, Bhiwadi, Opp. To Acro Paints-Ii, Tijara",4777
"Riico Tubewell No. 34, Located On Road Side Of 220 Kva Power Station, Close To Bkt(Esi Hospital), Rampur Mundana Ris Bhiwadi, Tijara,",4778
