monitoring_location,stn_code
Dikchu B/C With Teesta Near Nhpc Hydroelectric Power Project,1802
River Dikchu B/C With Teesta Near Nhpc Hydroelectric Power Project,1802
River Teesta A/C Of Rivers Lachenchu And,1801
River Teesta A/C With Ranichu At Singtam,1807
River Teesta A/C With Rangichu After Meeting The Industrial Effluents From The Town Rangpo,1808
River Teesta At Melli Downstream,1809
River Rangit At Dam Site (Nhpc),2034
River Rangit At Legship,2035
River Rangit At Reshi,2036
River Rangit At Jorethang,2037
River Rangit At Triveni,2038
River After Confluence Of Ranichu And Rorachu At Ranipool,1805
"River Ranichu Before Confluence With Teesta At Singtam, Sikkim",1806
"River Maney Khola At Burtuk Near Army Base Camp, 4 Km U/S Of Gangtok",1803
"River Maney Khola A/C With Ray Khola At Adampool After Meeting Waste Of Stp, Gangtok",1804
Changu Lake,5291
Menmoitso Lake,5290
River Dikchu Before Confluencs With River Teesta Near Nhpc Hydroelectric Power Project Dikchu,1802
River Teesta After Confluencs Of Rivers Lachenchu And Lachungchu At Chungthang,1801
River Teesta After Confluencs With Ranichu At Singtam,1807
River Teesta After Confluencs With Rongpochu After Meeting The Industrial Effluents From The Town Rangpo,1808
River Teesta At Melli Downstream Melli,1809
River Rangit At Triveni Melli,2038
River Ranichu Before Confluence With Teesta At Singtam,1806
"River Maney Khola After Confluencs With Ray Khola At Adampool After Meeting Waste Of Stp, Gangtok",1804
River Rangpo U/S Dam Site,5281
River Rangpo D/S Dam Site,5282
River Rongli U/S Dam Site,5283
River Rongli D/S Dam Site,5284
River Rangpo At Power House D/S Of Gati Infra Pvt. Ltd.,5285
River Rangpo At U/S Of Rorathang Bazar (Above Swiss Garnier),5286
River Rangpo At D/S Of Rorathang Bridge,5287
River Rangpo At D/S Of Pharma Plant Kumrek,5288
River Rangpo At D/S Of Power House Of Madhya Bharat,5289
