monitoring_location,stn_code
Well At Musiri,32
Collector Well At Thirupuvanam For Madurai Wat. Supply Scheme,1449
Tambiraparani Road Bridge Near Madura Coats,1159
Tambiraparani Road Bridge Near M/S. Sun Paper Mill Cheranma Devi Cause Way,1160
Tambiraparani At Tirunelveli Collectorate,1161
Tambiraparani At Murappanadu,1162
Tambiraparani At Thirupudaimarudhur Pappankulam,1328
Tambiraparani At Railway Bridge Near Ambasamudram,1329
Tambiraparani At Arumuganeri,1330
Palar At Vaniyambadi Water Supply Head Work,1450
Tambiraparani At Eral,3025
"Tambiraparani At Kallidaikurichi, Tirunelveli",3026
"Tambiraparani At Srivaikundam, D/S Of Sk Anaicut, Tirunelveli",3027
"Tambiraparani At Vellakovil, Tirunelveli",3028
"Tambiraparani At Seevalaperi, Conf. Pt. Of Kuttralaam D/S Of Palayamkottai, Tirunelveli",3029
Kodaikanal,1420
Ooty Lake,1421
Yeraud Lake,1452
Veeranam Lake At Cuddalore,3007
Poondi Reservoir,3008
Red Hills Lake,3009
Porur Lake,3010
Pulicate Lake,3011
Cauvery At Mettur,50
Cauvery At Rn Pudur,1322
Cauvery At Pallipalayam,51
"Cauvery At Erode Near Chirapalayam, Tamilnadu",1320
Cauvery At Velore Near Kattipalayam,1323
"Cauvery At Pugalur, Karur",3015
Cauvery At Mohanur Near Pattaipalayam,1324
Cauvery At Thirumukkudal Confluence Pt. For Amravati,1451
Cauvery At Musiri,31
"Cauvery At Pettaivaithalai, Trichy",3016
Cauvery U/S Tiruchirapalli,1202
Cauvery D/S Tiruchirapalli,1325
"Cauvery At Grand Anicut, Trichy",1203
Cauvery At Thanjavur,1206
"Cauvery At Mayiladuthurai, Nagapattinam",3018
"Cauvery At Komarapalayam, Namakal",3012
"Cauvery At Urachikottai, Erode",3013
"Cauvery At Vairapalayam, Namakal",3014
"Cauvery At Kumbakonam, Thanjavu",3017
Cauvery At Coleroon,GEN-FBA70C
Cauvery At Pitchavaram,GEN-82C2F0
Bhavani At Pathirakaliamman Koil,1201
Bhavani At Sirumugai,1204
Bhavani At Bhavani Sagar,1321
Bhavani At Bhavani,1205
"Bhavani At D/S Of Bhavani Sagar, Sathyamangalam, Erode",3019
Amravati At 1Km D/S From Eff.Dis. Pt. At Madhuthukkulam,1319
"Bhavani U/S Of Kalingarayan Canal (B5), Erode",3020
"Bhavani D/S Of Kalingarayan Canal (B10), Erode",3021
Sarabanga At Salem D/S Of Textile Dying Industries Effluent,3024
"Thirumanimuthar At Salem, D/S Of Sago & Textile Dying Industries",3022
"Vasista At Salem, D/S Of Sago Industries Effluent",3023
"Well At Musiri, Tamil Nadu",32
"Collector Well At Thirupuvanam For Madurai Wat. Supply Scheme, Tamilnadu",1449
"Kodai Kanal Lake, Tamilnadu",1420
"Udhagamadalem Lake (Ooty), Tamilnadu",1421
"Yercaud Lake, Salem, Tamilnadu",1452
"Veeranam Lake At Cuddalore, Tamilnadu",3007
"Poondi Lake At Thiruvallur, Tamilnadu",3008
"Redd Hills At Thiruvallur, Tamilnadu",3009
"Porur Lake At Thiruvallur, Tamilnadu",3010
"Pulicate Lake At Thiruvallur, Tamilnadu",3011
"Cauvery At Pettaivaithalai, Trichy, Tamilnadu",3016
"Cauvery At Tiruchirappalli U/S, Tamilnadu",1202
"Cauvery At Tiruchirappalli D/S, Tamilnadu",1325
"Cauvery At Trichy, Grand Anaicut, Tamilnadu",1203
"Cauvery At Thanjavur, Tamilnadu",1206
"Cauvery At Mayiladuthurai, Nagapattinam, Tamilnadu",3018
"Cauvery At Komarapalayam, Namakal, Tamilnadu",3012
"Cauvery At Urrachikottai, Erode, Tamilnadu",3013
"Cauvery At Vairapalayam, Namakal, Tamilnadu",3014
"Cauvery At Kumbakonam, Thanjavur, Tamilnadu",3017
"Cauvery At Coleroon, Tamilnadu",1326
"Cauvery At Pitchavaram, Tamilnadu",1327
Cauvery At Pallippalayam,51
"Cauvery At Velore Near Kattipalayam, Tamilnadu",1323
"Cauvery At Pugalur, Karur, Tamilnadu",3015
"Cauvery At Mohanur Near Pattaipalayam, Tamilnadu",1324
"Cauvery At Thirumukkudalconfl. Pt.Of R. Amravati, Tamilnadu",1451
"Cauvery At 1Km. D/S Of Bhavani River Confl., Tamilnadu",31
"Bhavani At Pathirakaliamman Koil, Tamilnadu",1201
"Bhavani At Sirumugai, Tamilnadu",1204
"Bhavani At Bhavani Sagar, Tamilnadu",1321
"Bhavani At Bhavani, Tamilnadu",1205
"Bhavani At D/S Of Bhavanisagar, Sathyamangalam, Erode, Tamilnadu",3019
"Bhavani At U/S Of Kalingarayan Canal (B5), Erode, Tamilnadu",3020
"Bhavani At D/S Of Kalingarayan Canal (B10), Erode, Tamilnadu",3021
"Sarabanga At Salem, D/S Of Textile Dyeing Industries Effluent, Tamilnadu",3024
"Thirumanimuthar At Salem, D/S Of Sago & Textile Dying Industries, Tamilnadu",3022
"Vasista At Salem, D/S Of Sago Indusries Effluent, Tamilnadu",3023
Tambiraparani At Bdg.Nr. Madura Coats Ltd.Papavina,1159
"Tambiraparani At Cheranmadevi, Cause Way, Tamilnad",1160
"Tambiraparani At Tirunelveli, Collectorate, Tamiln",1161
"Tambiraparani At Murappanadu, Tamilnadu",1162
"Tambiraparani At Pappankulam, Tamilnadu",1328
"Tambiraparani At Rail Bdg. Nr. Ambasamudam, Tamiln",1329
"Palar At Vaniyambadi Water Supply Head Work, Tamil",1450
"Tambiraparani At Eral, Thothukudi, Tamilnadu",3025
"Tambiraparani At Kallidai Kurichi, Tirunelveli, Ta",3026
"Tambiraparani At Srivaikuntam, D/S Of Sk Anaicut,",3027
"Tambiraparani At Vellakoil, Tirunelveli, Tamilnadu",3028
"Tambiraparani At Sivalaperi, Confluence Point Of K",3029
"Suriyampalayam Borewell (Hand Pump) Owned By Erode Corporation Loated Opposite To M/S. Pioneer Processing India Pvt. Ltd., Bhavani Main Road, R.N. Pudur Post, Erode",4810
"Borewell Located At M/S. Phoenix Textile Processors, Vendipalayam, Erode",4811
"House Of Thiru Murugan, S/O. Esakki, No.16B, Meenakshipuram, Anna Nagar, Tirunelveli",4814
"Municipal Corporation Bore Well Located In Perumalpuram Street, Naranammalpuram, Tirunelveli",4815
Author Â– Mukkani Agragaram Street Infront Of Thiru N. Samuthrapandi House Bore Well,4816
Eral Â– Charmam Arunachala Swamy Temple West Of Bore Well,4817
"Alwarthirunagari Â– Veterinary Dispensary, West Car Street Near Over Head Tank Of Bore Well",4818
Srivaikundam Â– Block Development Office Â– Open Well,4819
Srivaikundam Â– Tneb Sub Station 33 Kva Opposite To Tirunelveli Main Road Open Well,4820
Borewell Near Kambarasampettai Intake Well (Trichy Upstream),4821
"Paramasivam Water Service Station, Block No.13 Bsnl Exchange Opposite, Mettur Dam Â– 636 402.",4824
"M. Kaliappan, Sangilimuniyappan Kovil, Erikkadu, Mettur",4825
"Sakthi Nagar, Near Municipality Sewage Treatment Plant, Kompurankadu, Mettur",4826
"Over Head Tank At Tirur Village, Tiruvallur Taluk, Tiruvallur Panchayat Un",4823
Chennai Waterways At Captain Cotton Canal (Erukanjeri),10049
Chennai Waterways At Cc X Bc Confluence (Kodungaiyur),10050
Chennai Waterways At Buckingham Canal (Tidal Park),10052
Chennai Waterways At Mambalam Drain (Golf Course),10056
Chennai Waterways At Otteri Nullah (Origin),10047
Chennai Waterways At Otteri Nullah (Kilpauk Garden),10048
Chennai-1 Nesapakkam (Zone-Iv),20032
Chennai-2 Perungadi(Zone-V),20033
Chennai-3Kodungaiyur (Zone I&Ii),20034
Chennai-4 Koyambedu (Zone-Iii),20035
Erode-2,20038
Trichy,20040
Karur,20041
Tirchirappallli- Srirangam,20043
Thanjavur,20044
Tirunelveli,20045
Kumbakonam,20047
"Palar At Vaniyambadi Water Supply Head Work, Tamilnadu",1450
"Tambiraparani At Bdg.Nr. Madura Coats Ltd.Papavinasam, Tamilnadu",1159
"Tambiraparani At Cheranmadevi, Cause Way, Tamilnadu",1160
"Tambiraparani At Tirunelveli, Collectorate, Tamilnadu.",1161
"Tambiraparani At Rail Bdg. Nr. Ambasamudam, Tamilnadu",1329
"Tambiraparani At Arumuganeri, Tamilnadu",1330
