monitoring_location,stn_code
"Outlet Of Stp On Godavari, Bhadrachalam, Khammam",3054
"Treated Effluents Of 339 Mld Stp, Amberpet, Hyderabad Before Joining To Musi, Hyderabad",3055
"Outlet Of Stp, Nagole On River Musi, Ranga Reddy",3057
"Outlet Of Stp, Khairatabad On Hussainsagar Lake, Ranga Reddy",3058
"Outlet Of Stp, Safilguda Lake, Ranga Reddy",3059
"Outlet Of Stp, Durgam Cheruvu, Rangareddy",3060
"Outlet Of Stp, Nallacheruvu On Musi, Rangareddy",3061
"Outlet Of Stp, Saroor Nagar, Rangareddy",3062
"Outlet Of Stp On River Godavari At Mancherial, Adilabad",3063
"Outlet Of 4Mld Stp On River Godavari At Ramagundam, Karimnagar",3064
"Outlet Of 14Mld Stp On Godavari, Ramagundam, Karimnagar",3065
Well At Kuyyura,15
Well At Tadavai,16
Well At Peddavoora,27
"B/W. - Nagaram(V), Palvoncha, Khammam Dist.",1515
"B/W - Ida , Near Chaitanya Chlorides , Pashamaylam , Medak Dist.",1525
"B/W. - East Of Saicheruvu , Paidipally (V), Warangal Dist",1791
"B/W -Near Ckm College , Enumamula (V) , Warangal Dist.",1792
"O/W - Bhoomaiah Near Ashponds Of Ntpc , Kundanpally (V) , Ramagundam , Karimnagar",1793
"B/W - Manakondur (V) , Karimnagar Dist.",1794
"B/W. - Panchayat Office , , Bollaram (V) Medak Dist.",1795
"B/W - Sri Ramnagar Colony, Sakkar Nagar, Bodhan, Nizamabad Dist.",1810
"B/W. - Primary School - Rudravelli (V) , Bibinagar (M), Nalgonda Dist.",1811
"B/W At J.Narasimha Rao’S House, 14Nos. Area, Ramavaram, Near Mws Dumpsite, Kothagudem, Khammam",3088
"B/W At Akbarnagar, Ramagundam, Karimnagar",3094
"Hussain Sagar Lake, Budameru",1391
"Saroonagar , Ranga Reddy Dist",1788
"Himayat Sagar Lake , R.R.Dist",1789
"Laxminarayana Chevuru At Edulabad, Rangareddy",2340
"Miralam Lake Near Zoo Park, Rangareddy",2341
"Noor Md. Kunta, Kattedan, Rangareddy",2342
"Ramappa Lake, Warangal",3068
"Shameerpet Lake, Shameerpet, Ranga Reddy",3069
"Fox Sagar, Jeedimetla, Ranga Reddy",3070
"Langarhouse Lake, Hyderabad",3071
"Safilguda Lake, Ranga Reddy",3072
"Hasmathpet Lake, Hasmathpet, Ranga Reddy",3073
"Banjara Lake, Banjara Hills, Ranga Redd",3074
"Nalla Chevuru, Rangareddy",2344
"Sai Chevuru, Near Tannery Industries, Desaipet, Warangal",2345
"Bhadrakali Chevuru, Bhadrakali Temple, Warangal",2346
"Asani Kunta, Kajipally, Medak",2347
Durgam Chevuru,2357
Pedda Chevuru,2359
"Rangadhamuni Cheruvu, Ranga Reddy",3075
"Amber Cheruvu, Kukatpally, Ranga Reddy",3076
"Kapra Cheruvu, Kapra, Ranga Reddy",3077
"Pragathinagar Cheruvu, Kukatpally, Ranga Reddy",3078
Dharmasagar Tank Near Warangal,1447
Bibinagar Tank,1464
"Gandigudem , Medak District",1780
"Kistareddypet Tank , Medak Dist",1783
"Premajipet Tank, Kattedan, Rangareddy",2343
"Kajipally Tank, Kajipally, Medak",2348
Mallapur Tank,2358
"Waddepally Tank, Kazipet, Warangal",3084
"Chinna Waddepally Tank, Warangal",3085
"Saki Tank, Patancheru, Ranga Reddy",3086
"Godavari At Basara, Adilabad",2360
"Godavari At Mancherial, Near Rly Bdg B/C Of Rallavagu",2361
"Godavari D/S Ramagundam, Near Fci Intake Well, Karimnagar",2362
"Godavari D/S Kamalpur At M/S Rayons Ltd. Discharge Point, Warangal",2366
"Godavari At Godavarikhani, Near Bathing Ghat, Karimnagar",2363
"Godavari U/S Ramagundam, Karimnagar",2364
"Godavari, D/S Of Ramanugundam",2356
"Godavari U/S Kamalpur M/S Ap Rayons Ltd. Intake Well, Warangal",2365
Godavari At Mancherial,13
"Godavari U/S At Bhadrachalam Bathing Ghat, Khammam",2367
"Godavari D/S Bhadrachalam Bathing Ghat, Khammam",2368
"Godavari At Burgampahad, Khammam",2369
"Karakavagu U/S Of At Paloncha, Khammam",3080
"Karakavagu D/S Of At Paloncha, Khammam",3081
"Sabari At Kunavaram, Khammam",2373
Manjeera At Gowdicharla B/C With Nakkavagu,2374
Manjeera At Gowdicharla A/C With Nakkavagu,2375
"Manjeera Near Ganapathi Sugars , Dist Medak",1781
Manjera At Raipallu,1157
Maner U/S Warangal,1215
Maner At Somnapalli,1158
"Kinnerasani A/C Of Ktps Ash Pond Effluents, Khammam",2372
"Thangadi , Mahaboobnagar Dist",1784
Krishna At Gadwal Bridge,39
Krishna At Wadapally A/C With Musi (Shifted From 1220),1465
Musi U/S Hyderabad,1172
Musi D/S Hyderabad,1173
"Musi At Nagole, Rangareddy",2339
"Musi Reservoir At Kasaniguda, Nalgonda",3082
"Muneru B/C. With Krishna, Nandigama",1177
"Nakkavagu, Bachugudem, Medak",2349
Well At Tadavai A.P.,16
"B/W. - East Of Saicheruvu , Paidipally (V), Warangal Dist.",1791
"Saroonagar , Ranga Reddy Dist.",1788
"Himayat Sagar Lake , R.R.Dist.",1789
"Laxminarayana Chevuru At Edulabad, Rangareddy,",2340
"Noor Md. Kunta, Kattedan, Rangareddy,",2342
"Hasmathpet Lake, Hasmathpet, Ranga Reddy,",3073
