monitoring_location,stn_code
"Near Pragati Vidyabhawan, Agartala",1729
"Gilatali Canal, West Tripura",3387
"Palatana Canal At D/S Of Pollution Outfall, South Tripura",3388
"Ghandha Charra Canal At Domburnagar, Dhalai",3389
"Samanu Charra Canal At Chawmanu, Dhalai",3390
"Well At Udaipur (Tubewell), Tripura",1405
"Well Around Udaipur (Tubewell), Tripura",1406
"Kunjban, Agartala, Tripura",1730
"Lankamura, Tripura",1731
"A.D.Nagar, Agartala, Tripura",1732
"Shibnagar, Agartala, Tripura",1733
"Gandhigram, Agartala, Tripura",1734
"Tube Well At Hapania, West Tripura",3423
"Tube Well At Nagicherra, West Tripura",3424
"Tube Well At Bodhjung Nagar, West Tripura",3425
"Tube Well At B.C.Manu, South Tripura",3426
"Tube Well At Shantir Bazar, South Tripura",3427
"Tube Well At Bagafa, South Tripura",3428
"Tube Well At 82 Mile, Dhalai",3429
"Tube Well At Jawahanagar, Dhalai",3430
"Tube Well At Kulai, Dhalai",3431
"Tube Well At Churaibari (Interstate Boundry), North Tripura",3432
"Tube Well At Kameswar, Industrial Estate Area, North Tripura",3433
"Tube Well At Kumarghat, Industrial Estate Area, North Tripura",3434
Gumti U/S South Tripura,1403
Gumti At D/S South Tripura,1404
"Haorad/S Chandrapur, Agartala",1726
"Howrah At Dashamighat, West Tripura",3397
"Howrah At Aralia, West Tripura",3401
"Howrah At Kalabagan, West Tripura",3402
"Howrah At Joynagar, West Tripura",3403
"Gumati At Rajdharnagar, South Tripura",3406
"Gumati At Amarpur, South Tripura",3407
"Gumati At Thirthamukh, South Tripura",3408
"Gumati D/S Subhas Setu, Dhajanagar, Udaipur City, South Tripura",3409
"Feni At Sabroom (Interstate Boundry), South Tripura",3410
"Feni At Chotokhil Battala, South Tripura",3411
"Muhari At Bankar (Interstate Boundry), Belonia, South Tripura",3412
"Muhari At Muharichar, South Tripura",3413
"Khowai At Trisha Bari, Teliamura, West Tripura",3398
"Khowai At Kumari Madhuti Setu, West Tripura",3399
"Khowai At Chakmaghat, West Tripura",3400
"Khowai At Karailong, Teliamura, West Tripura",3404
"Burigaon At Bishalgarh, West Tripura",3405
"Dhalai D/S Chandraipara, Of Ambassa Town, Dhalai",3414
"Dhalai D/S Kamalpur, Dhalai",3415
"Dhalai At Manik Bhandher, Dhalai",3416
"Longai At Damcherra (Interstate Boundry), North Tripura",3420
"Juri At Krishnapur, D/S Of Dharmanagar, North Tripura",3421
Deo D/S Pecharthal North Tripura,3422
Laxmi Narayan Bari Palace Compound,1727
"Rudrasagar, Sonumura",1728
"Dhambur Lake, Dhalai",3391
"Shipahijala Pond, West Tripura",3392
"Bramakunda Pond, West Tripura",3393
"Kalyansagar At Matarbari, South Tripura",3394
"Mahadeb Dighi, South Tripura",3395
"Jagannath Dighi, South Tripura",3396
"Manu At Manughat, Confl Point Of Chawmanu Charra & Manu River, Dhalai",3417
Manu D/Sat Kailashahar,3418
Manu At Kumarghat,3419
"Tube Well At Gour Nagar, North Tripura",3435
"Laxmi Narayan Bari Palace Compound, Tripura",1727
"Rudrasagar, Sonumura, Tripura",1728
3387,GEN-4A1165
1403,GEN-4EDAA1
1404,GEN-186A15
1406,GEN-B7087C
1730,GEN-851300
1731,GEN-B29EED
1732,GEN-270EDD
1733,GEN-4FA53B
1734,GEN-AB2B41
3423,GEN-3D324C
3424,GEN-71A5C0
3426,GEN-5D2C2C
3427,GEN-5421E0
3428,GEN-4500E4
3429,GEN-CAA202
3430,GEN-2D2C83
3431,GEN-84C2D4
3435,GEN-5B970A
3436,GEN-61F258
4185,GEN-B207F5
4186,GEN-0AB922
4188,GEN-C76DB1
4189,GEN-09E765
4190,GEN-77CDFC
4191,GEN-331CC2
4200,GEN-86DBA8
4201,GEN-0530E2
4202,GEN-7D265A
4203,GEN-7E0529
4204,GEN-333588
4205,GEN-22785D
4206,GEN-769AC3
4207,GEN-D7B76E
4208,GEN-4A71E4
4209,GEN-590494
4210,GEN-EF3561
4211,GEN-E3B0AB
4212,GEN-44B422
4213,GEN-872DD3
4214,GEN-76C538
4215,GEN-1D54C7
4216,GEN-BD853B
4217,GEN-8196E8
4218,GEN-D278DF
3391,GEN-DBB422
4192,GEN-CD474F
4193,GEN-377028
4194,GEN-99296A
4195,GEN-A5E308
4196,GEN-0FD4B8
4221,GEN-74D90A
"Gumti At U/S South Tripura, Tripura",1403
"Gumti At D/S South Tripura, Tripura",1404
"Chandrapur, Agartala D/S Of Haora River, Tripura",1726
"Khowai River At Trisha Bari, Teliamura, West Tripu",3398
"Khowai River At Kumari Madhuti Setu, West Tripura",3399
"Howrah River At Aralia, West Tripura",3401
"Howrah River At Joynagar, West Tripura",3403
"Khowai River At Karailong, Teliamura, West Tripura",3404
"Gumati River At Amarpur, South Tripura",3407
"Gumati River At Subhas Setu, Dhajanagar, D/S Udaip",3409
"Feni River At Sabroom (Interstate Boundry), South",3410
"Feni River At Chotokhil Battala, South Tripura",3411
"Muhari River At Bankar (Interstate Boundry), Belon",3412
"Dhalai River At Chandraipara, D/S Of Ambassa Town,",3414
"Dhalai River At Kamalpur D/S, Dhalai",3415
"Dhalai River At Manik Bhandher, Dhalai",3416
"Longai River At Damcherra (Interstate Boundry), No",3420
"Juri River At Krishnapur, D/S Of Dharmanagar, Nort",3421
"Deo River At Pecharthal D/S, North Tripura",3422
Tripura,"NEAR PRAGATI VIDYABHAWAN,
AGARTALA, TRIPURA"
"Manu River At Manughat, Confl Point Of Chawmanu Ch",3417
"Tube Well At Kailashahar, North Tripura",3436
4187,GEN-22CF8D
Tube Well At Arundhati Nagar,4188
Tube Well At Debendra Chandra Nagar,4190
Tube Well At Suryamoni Nagar,4191
"Tube Well At Amar Sagar, Udaipur",4205
"Tube Well At Dhani Sagar, Udaipur",4206
Tube Well At Chawmanu,4212
Mbb College Lake,4192
"Dimasagar Lake, North Gate",4193
Lalbahadur Dighi Pond,4194
Durgabari Pond,4195
Radhanagar Pond,4196
Chaturdash Debata Bari Pond,4197
Katal Dighi Pond,4221
"Katakhal Canal At Near Pragati Vidyabhawan, Agartala, Tripura",1729
Chandrapur Canal,4198
Katakhal Canal At Kalikapur,4199
"Burigaon River At Bishalgarh, West Tripura",3405
"Dhalai River At Chandraipara, D/S Of Ambassa Town, Dhalai",3414
"Feni River At Sabroom (Interstate Boundary), South Tripura",3410
"Gumti River At Rajdharnagar, South Tripura",3406
"Gumti River At Amarpur, South Tripura",3407
"Gumti River At Thirthamukh, South Tripura",3408
"Gumti River At Subhas Setu, Dhajanagar, D/S Udaipur City, South Tripura",3409
"Haora River, D/S Of Chandrapur, Agartala D/S Of Tripura",1726
"Haora River At Dashamighat, West Tripura",3397
"Howrah River At Kalabagan, West Tripura",3402
"Juri River At Krishnapur, D/S Of Dharmanagar, North Tripura",3421
"Khowai River At Trisha Bari, Teliamura, West Tripura",3398
"Khowai River At Chakmaghat, West Tripura",3400
"Longai River At Damcherra (Interstate Boundry), North Tripura",3420
"Muhari River At Bankar (Interstate Boundry), Belonia, South Tripura",3412
"Muhari River At Muharichar, South Tripura",3413
Tube Well At Jirania,4185
Tube Well At Dokli,4186
Tube Well At Badharghat,4187
Tube Well At Nanadannagar,4189
Tube Well At Bishalgarh,4200
Tube Well At Sonamura,4201
Tube Well At Bishramganj,4202
Tube Well At Karbook,4203
Tube Well At Amarpur,4204
Tube Well At Sabroom,4207
Tube Well At Jolaibari,4208
Tube Well At Belonia,4209
Tube Well At Ambassa,4210
Tube Well At Kamalpur,4211
Tube Well At Teliamura,4213
Tube Well At Khowai,4214
Tube Well At Dharmanagar,4215
Tube Well At Damcherra,4216
Tube Well At Kanchanpur,4217
Tube Well At Panisagar,4218
Tube Well At Rajnagar,4637
Tube Well At Champaknagar,4638
Tube Well At Ranirbazar,4639
Tube Well At Melaghar,4641
Tube Well At Manubazar,4647
Tube Well At Kaladepha Manu,4648
"Tube Well At Chakmaghat, Teliamura",4651
Tube Well At Teliamura Market,4652
Tube Well At Pecharthal,4653
"Rudrasagar North Lake,Tripura",4642
Rudrasagar East Lake Tripura,4643
Rudrasagar West Lake Tripura,4644
"River Gumti At U/S South Tripura, Tripura",1403
"River Gumti At D/S South Tripura, Tripura",1404
"River Haora D/S Of Chandrapur, Agartala D/S Of Tripura",1726
"River Haora At Dashamighat, West Tripura",3397
"River Khowai At Trisha Bari, Teliamura, West Tripura",3398
"River Khowai At Kumari Madhuti Setu, West Tripura",3399
"River Khowai At Chakmaghat, West Tripura",3400
"River Howrah At Aralia, West Tripura",3401
"River Howrah At Kalabagan, West Tripura",3402
"River Howrah At Joynagar, West Tripura",3403
"River Khowai At Karailong, Teliamura, West Tripura",3404
"River Burigaon At Bishalgarh, West Tripura",3405
"River Gumti At Rajdharnagar, South Tripura",3406
"River Gumti At Amarpur, South Tripura",3407
"River Gumti At Thirthamukh, South Tripura",3408
"River Gumti At Subhas Setu, Dhajanagar, D/S Udaipur City, South Tripura",3409
"River Feni At Sabroom (Interstate Boundary), South Tripura",3410
"River Feni At Chotokhil Battala, South Tripura",3411
"River Muhari At Bankar (Interstate Boundry), Belonia, South Tripura",3412
"River Muhari At Muharichar, South Tripura",3413
"River Dhalai At Chandraipara, D/S Of Ambassa Town, Dhalai",3414
"River Dhalai At Kamalpur D/S, Dhalai",3415
"River Dhalai At Manik Bhandher, Dhalai",3416
"River Longai At Damcherra (Interstate Boundry), North Tripura",3420
"River Juri At Krishnapur, D/S Of Dharmanagar, North Tripura",3421
"River Deo At Pecharthal D/S, North Tripura",3422
"River Haora At Bordowali,",4640
"River Manu At Manughat, Confl Point Of Chawmanu Charra & Manu River, Dhalai",3417
"River Manu At Kailashahar D/S, North Tripura",3418
"River Manu At Kumarghat, North Tripura",3419
Tube Well At Dukli Industrial Area,4186
"Rudrasagar Lake, Sonumura, Tripura",1728
"Jagannath Dighi, Gomati Tripura",3396
"Mahadeb Dighi, Gomati Tripura",3395
"River At Bordowali, Haora",4640
River Chelikhola D/S Of Burigaon,4645
River Deo At Kanchanpur,4655
River Deo At Santipur,4219
River Deo At Subash Nagar,4220
River Golaghati U/S Of Burigaon River,4646
River Juri At Chamtali,4654
River Chelikhola D/S Of Burigaon Burigaon River,4645
River Manu At Manubazar,4649
River Manu At Chailengta,4650
