monitoring_location,stn_code
"Upper Ganga Canal D/S Harikipauri, Haridwar",2726
Handpump In Village Damauda At Kashipur Near M/S India Glycoles Ltd.,1748
Ground Water At Sitar Ganj Industrial Area- 1,3440
Ground Water At Sitar Ganj Industrial Area- 2,3441
Ground Water At Pantnagar Industrial Area- 1,3442
Ground Water At Pantnagar Industrial Area- 2,3443
Ground Water At Shantipuri Kichha- 1,3444
Ground Water At Shantipuri Kichha- 2,3445
Ground Water At Kashipur Moradabad Road- 1,3446
Ground Water At Kashipur Moradabad Road- 2,3447
Ground Water At Kashipur Bajpur Road- 1,3448
Ground Water At Kashipur Bajpur Road- 2,3449
"Ground Water At Sidcul Industrial Area- 1, Haridwar",3450
"Ground Water At Sidcul Industrial Area- 2, Haridwar",3451
Ground Water At Bhagwan Industrial Area- 1,3452
Ground Water At Bhagwan Industrial Area- 2,3453
Ground Water At,3454
Ground Water At Roorkee Industrial Area- 2,3455
"Ground Water At Selaqui Industrial Area- 1, Dehradun",3456
"Ground Water At Selaqui Industrial Area- 2, Dehradun",3457
Naini Lake At Nainital (Water Intake Point),1362
Bheemtal Lake,3437
Bhagirathi At Gangotri,1491
Alkananda B/C Mandakini At Rudra Prayag,1484
Mandakini B/C Alkalnada At Rudraprayag,1485
Alkananda A/C Mandakini At Rudraprayag,1486
Alkananda B/C To Bhagirathi At Devprayag,1487
Bhagirathi B/C With Alaknanda At Devprayag,1488
Alkananda A/C With Bhagirathi At Devprayag,1489
Ganga At Rishikesh U/S,1060
Ganga A/C Ofsong Near Satyanarayan Temple D/S Raiwala,2725
Upper Ganga D/S Roorkee,2727
Ganga D/S Haridwar,1061
Yamuna At Yamunotri,1492
Yamuna At Hanumanchatti,1493
Yamuna U/S Of Lakhwar Dam,1494
Yamuna At U/S Dak Patthar,1490
"Suswa At Mothrawala, Dehradun",2724
Gola At Haldwani,2728
Bhalla U/S Kashipur,2734
Bhalla At Lohia Bridge D/S Kashipur,2735
Dhela U/S At Kashipur Moradabad Road Bridge,2732
Dhela D/S At Thakurdwara Aliganj Road,2733
Kichha At Kichha U.S. Nagar,2729
Kosi At Kashipur Bajpur Road Bridge,2731
"Nandaur U/S Sitarganj Industrial Area, Us Nagar",2736
"Nandaur D/S Sitarganj Industrial Area, Us Nagar",2737
