monitoring_location,stn_code
"Noai Canal North 24 Parganas, Near Ganga Nagar Motibridge",2512
"Kharda Canal North 24 Parganas, Near Jayshree Chemical Industry",2513
Mine Pit Water Assansol,1766
"Durgapur Town, Near Iisco, Burdwan",1767
"Durgapur Town, Burdwan",1768
"Inside Hindustan Liver Factory, Haldia",1769
Near Ioc Refinery Haldia,1770
"Kalyani Industrial Area, Nadia",1771
Barsat Municipality North 24-P,1772
"Tangra, Calcutta",1773
Topsia Calcutta,1774
Dhapa Calcutta,1775
Garia Calcutta,1776
Behala Calcutta,1777
Domjur Howrah,1778
Dankuni (Near Coal Complex),1779
Rishra,1813
Cossipore - North Kolkata,1931
Central Kolkata,1932
"Near Galvanisation Unit, Howrah",1933
Central Howrah-Residentail Area,1934
Inside Kolkata Leather Complex,1935
Residential Area - Sonarpur,1936
Rajarhat - New Township,1937
Bsirhat Municipality,1938
Barrakpore Municipality,1939
Near The Phosphate Company- Rishra,1940
"Near Fly Ash Dumping Site- Kuntighat, Bandel",1941
Near Exide Industries-Haldia,1942
"Inside Tata Metaliks, Kharagpur",1943
Kharagpur Industrial Area,1944
English Bazar- Maldah,1945
Geokhali Bunglow Midnapur- East,2510
"Sdo Office, Ranaghat",2515
"Sdo Office, Krishnanagar",2516
Fulbari Barrage,2526
Ground Water Point Inside Burdwan University,2528
Ground Water Point Near Burdwan Station,2529
Hot Spring At Bakreshwar,2530
Suri Town Near Bus Stand,2533
Visva Bharati,2535
Nalhati Railway Station Of Birbhum,2536
Bolpur Near Railway Station,2537
Moregram Crossing,2538
Sati Ghat At Bankura Town,2540
Dwarika At Bishnupur Town,2542
Sdo Office At Bishnupur Town,2543
Ground Water Point At Purulia Rk Mission,2545
Uluberia College At Howrah,2546
"Amtola On Diamond Harbour Road, 24 Parganas (S)",2547
"Hidco Office, Rajarhat",2548
"Rabindrasarovar National Lake, Calcutta",1765
Hatishala Ghat On Dudhpukur At Tarakeshwar,2503
Mainh Ghat On Dudhpukur At Tarakeshwar,2504
Hunuman Ghat On Dudhpukur At Tarakeshwar,2505
Mirikh Lake,2520
Water Reservior At Delo,2521
Sinchal Lake For Darjeeling,2522
Belboni Lake Near Barjora,2539
Sahebbandh At Purulia,2544
Ganga At Baharampore,1080
"Nabadip On Ganga,Ghoshpara Near Monipurghat",2511
"Tribeni On Ganga, Near Burning Ghat",2506
Ganga At Palta,1054
Ganga At Serampore,1472
Ganga At Dakshineshwar,1053
Ganga At Howrah-Shivpur,1471
Ganga At Garden Reach,1470
Ganga At Uluberia,1052
Ganga At Diamond Harbour,1469
"Kaljani D/S Of Alipurdwar, Municipality Discharge Point",2524
Damodar At Dishergarh Vill.(Nr.Bihar-West Bengal Border),1331
Damodar At D/S Of Iisco After 3Rd Outfall At Dhenna Village,1332
Damodar At Narainpur A/C Of Nunia Nallah,1333
Damodar Near Mujher Mana Village A/C Of Tamla Nallah,1334
"Hooghly, Durgachak, Near Pathikali",1335
"Damodar,Water Intake Point For Burdwan Town",2527
Barakar At Asansol (Water Intake Point),1336
"Rupnarayan , D/S At Kolaghat, Near Kolaghat Rail Bridge No.3",2509
Rupnarayan B/C To River Ganga Near Geonkhali,1337
Dwarakeshwar Water Intake Point For Bankura Town,2541
"Dwarka, U/S Of Tarapith At Sadhak Bamdeb Ghat",2531
"Dwarka , D/S Of Tarapith, At Satighat",2532
"Silabati, D/S At Ghatal",2508
"Jalangi, D/S Of Krishna Nagar",2514
Churni D/S Of Santipur Town,1764
"Churni, Majhadia",2518
"Matha Bhanga, Gobindapur",2517
"Mayurakshi, Water Intake Point For Suri Town",2534
"Kansi, D/S Midnapore, Near New Hanuman Mandir, Gandhighat",2507
Mahananda At Siliguri,1946
"Mahananda D/S, Ramghat",2525
"Vindyadhari, U/S Haroa Bridge",2549
Vindyadhari D/S Malancha Burning Ghat,2550
"Karola, D/S Of Jalpaiguri, Near Min Bhawan",2523
Teesta At Siliguri,1947
1766,GEN-96A93B
"Durgapur Town, Near Iisco, Burdwan, West Bengal",1767
1768,GEN-DB2945
"Inside Hindustan Liver Factory, Haldia, West Bengal",1769
1770,GEN-E5A4D6
"Kalyani Industrial Area, Nadia, West Bengal",1771
"Tangra, Calcutta , West Bengal",1773
1774,GEN-F0BDA0
"Dhapa Calcutta, West Bengal",1775
1776,GEN-7DD024
"Behala Calcutta, West Bengal",1777
1778,GEN-6709E8
"Dankuni (Near Coal Complex), West Bengal",1779
1813,GEN-F542EA
1932,GEN-52D275
1934,GEN-8562AE
1936,GEN-11108A
1938,GEN-AD4CC1
1940,GEN-95E683
"Near Fly Ash Dumping Site-Kuntighat, Bandel",1941
1942,GEN-519C84
1944,GEN-6F2688
2510,GEN-4E0223
2516,GEN-8D09E4
2530,GEN-55A988
2535,GEN-0747B9
2537,GEN-40C48D
2540,GEN-9657C1
2543,GEN-1B1132
2546,GEN-92A0E7
2548,GEN-0E4A2C
"Rabindrasarovar National Lake, Calcutta, West Bengal",1765
Hanuman Ghat On Dudhpukur At Tarakeshwar,2505
Ganga At Howrah- Shivpur,1471
"Mine Pit Water Assansol, West Bengal",1766
1767,GEN-E8FD4A
1769,GEN-7EB7EA
1771,GEN-21BE9A
1772,GEN-299570
1773,GEN-4ABE17
1775,GEN-36D753
1777,GEN-E9B73B
1779,GEN-8C01A7
1931,GEN-15D185
1933,GEN-1E913E
1935,GEN-8D55A2
1937,GEN-136F95
1939,GEN-F22E47
1943,GEN-C3395D
1945,GEN-2D00F4
2515,GEN-415E1A
2526,GEN-234833
2528,GEN-6BE93F
2529,GEN-82CA5D
2533,GEN-4DE754
2536,GEN-F7AC67
2538,GEN-1BF0C5
2542,GEN-C3A690
